,äÓñ{ïœêîÇÃÇ›,+ê›íËâ∑ìx
0,0.88,7.2
4,76.82,83.82
8,32.29,26.54
11,0.39,12.81
12,51.77,32.11
13,38.25,28.15
27,35.17,21.42
32,24.56,24.12
33,98.09,107.55
34,43.63,15.18
37,12.29,7.97
44,54.95,10.49
54,20.76,25.29
55,108.16,114.79
63,72.91,54.66
64,72.18,29.43
67,94.04,71.18
69,54.34,44.16
70,58.05,55.05
77,33.08,49.33
80,39.89,18.25
81,85.28,79.26
84,50.29,59.43
86,35.33,43.03
90,7.43,7.15
92,94.21,49.24
93,30.51,45.76
101,35.83,33.01
102,19.1,15.0
105,15.76,18.59
108,128.33,126.86
109,8.07,24.34
112,31.06,2.23
113,31.72,25.63
114,11.6,13.58
120,30.8,5.72
121,6.89,32.3
