,äÓñ{ïœêîÇÃÇ›,é¿ê—,+ê›íËâ∑ìx,+ãÛí≤â“ì≠éûä‘,ëSïœêîÇ†ÇË
1,24.69,16.0,24.69,24.69,24.69
2,26.3,21.0,26.3,26.3,26.3
3,17.86,19.0,17.86,17.86,17.86
4,15.14,4.0,15.14,15.14,15.14
5,13.69,3.0,13.69,13.69,13.69
6,27.75,36.0,27.75,27.75,27.75
9,36.74,38.0,36.74,36.74,36.74
10,27.19,32.0,27.19,27.19,27.19
11,18.19,14.0,18.19,18.19,18.19
12,24.13,3.0,24.13,24.13,24.13
13,23.25,32.0,23.25,23.25,23.25
14,38.88,42.0,38.88,38.88,38.88
15,30.99,21.0,30.99,30.99,30.99
17,21.77,25.0,21.77,21.77,21.77
18,17.28,3.0,17.28,17.28,17.28
19,21.44,3.0,21.44,21.44,21.44
20,31.33,36.0,31.33,31.33,31.33
22,26.83,19.0,26.83,26.83,26.83
23,26.83,24.0,26.83,26.83,26.83
24,17.28,21.0,17.28,17.28,17.28
25,30.77,20.0,30.77,30.77,30.77
27,39.46,37.0,39.46,39.46,39.46
28,26.83,37.0,26.83,26.83,26.83
31,17.86,26.0,17.86,17.86,17.86
32,17.86,11.0,17.86,17.86,17.86
33,13.69,4.0,13.69,13.69,13.69
35,37.85,49.0,37.85,37.85,37.85
38,17.86,26.0,17.86,17.86,17.86
39,29.91,3.0,29.91,29.91,29.91
40,29.91,19.0,29.91,29.91,29.91
41,39.46,54.0,39.46,39.46,39.46
42,37.85,27.0,37.85,37.85,37.85
44,43.05,48.0,43.05,43.05,43.05
48,44.49,72.0,44.49,44.49,44.49
50,44.49,55.0,44.49,44.49,44.49
51,44.49,33.0,44.49,44.49,44.49
53,34.93,48.0,34.93,34.93,34.93
54,34.93,51.0,34.93,34.93,34.93
55,44.49,50.0,44.49,44.49,44.49
57,44.49,50.0,44.49,44.49,44.49
59,31.88,52.0,31.88,31.88,31.88
60,34.93,45.0,34.93,34.93,34.93
