,äÓñ{ïœêîÇÃÇ›,+ê›íËâ∑ìx
0,3.25,4.91
1,13.78,16.65
2,4.77,3.85
3,4.44,2.86
4,26.35,19.78
5,120.57,119.92
7,7.22,7.99
9,3.36,0.13
12,26.84,15.26
13,2.15,3.61
15,1.67,0.12
17,2.95,0.62
18,18.63,18.99
19,90.19,78.81
22,1.42,3.57
23,0.52,5.25
27,3.13,1.68
28,4.98,2.7
30,2.94,0.48
33,98.28,87.64
36,0.26,1.21
37,0.77,2.5
39,12.07,11.01
40,1.18,3.92
41,1.01,2.25
44,3.71,5.93
45,4.42,5.0
46,2.56,0.25
47,46.04,36.77
48,17.99,15.56
49,15.39,12.88
51,2.31,4.14
52,3.73,0.56
53,13.64,10.49
55,6.42,4.27
56,17.57,14.52
57,16.85,14.33
59,7.74,4.59
60,0.38,3.9
61,4.61,3.76
62,2.31,1.77
63,1.33,0.27
64,3.96,4.99
65,9.37,7.15
67,71.24,82.97
69,1.8,1.33
71,14.58,12.72
79,2.68,0.64
80,25.35,24.08
81,152.95,143.74
82,4.47,4.5
83,1.41,1.5
84,1.4,3.2
87,15.98,20.22
88,99.78,85.04
90,4.96,1.79
92,9.48,6.03
93,1.36,2.77
94,39.88,40.34
95,19.27,12.94
96,2.82,2.45
97,1.28,2.25
100,6.32,1.72
102,22.24,24.41
103,12.42,13.94
104,6.96,5.53
105,0.46,1.36
106,7.34,4.96
107,6.68,12.68
108,8.83,5.42
109,63.9,46.9
110,13.79,12.21
111,4.18,5.87
112,1.68,0.79
113,5.41,5.48
115,41.28,41.86
116,62.24,69.86
117,2.65,5.67
118,1.75,1.06
119,0.72,3.69
121,3.39,4.36
122,30.97,31.6
123,50.14,57.68
124,3.73,3.93
125,2.3,2.19
126,2.06,0.15
127,9.1,6.39
129,33.36,31.83
132,12.46,7.71
133,17.39,11.05
134,2.97,4.33
135,0.99,2.44
136,4.63,9.38
140,0.07,3.08
141,0.4,0.23
142,7.12,5.04
143,35.88,36.49
144,22.62,20.65
146,0.28,0.8
148,11.96,9.3
149,7.5,5.92
150,27.68,27.99
152,6.88,4.1
154,1.12,2.15
155,4.5,4.74
156,4.1,7.75
157,25.75,23.83
158,53.65,46.81
159,1.77,1.16
160,9.16,8.69
161,2.87,0.25
163,13.63,10.5
166,17.79,13.15
167,11.12,10.28
168,11.07,8.53
169,5.57,2.7
170,3.23,2.54
171,20.5,16.57
172,18.43,18.7
173,4.47,5.26
174,1.38,3.8
175,7.02,6.58
176,8.55,7.05
177,3.33,2.29
178,2.2,5.56
179,78.49,70.67
181,6.28,5.87
182,8.61,8.21
