,äÓñ{ïœêîÇÃÇ›,è⁄ç◊ïœêîÇ†ÇË
0,3.13,3.13
1,17.35,17.35
3,8.17,8.17
5,3650.24,3650.24
6,5.9,5.9
7,11.78,11.78
8,12.72,12.72
9,14.49,14.49
11,3.26,3.26
12,2112.1,2112.1
15,18.24,18.24
16,4.47,4.47
17,4.98,4.98
19,4812.67,4812.67
20,6.52,6.52
21,46.94,46.94
22,25.0,25.0
23,15.38,15.38
24,30.23,30.23
25,8.45,8.45
26,2460.74,2460.74
28,20.82,20.82
30,8.04,8.04
33,4371.06,4371.06
34,4.52,4.52
36,34.06,34.06
37,33.8,33.8
38,31.19,31.19
39,1.81,1.81
40,3426.21,3426.21
42,36.53,36.53
43,34.06,34.06
44,12.97,12.97
45,25.79,25.79
46,16.03,16.03
47,5330.97,5330.97
50,16.12,16.12
53,16.39,16.39
54,4686.57,4686.57
56,0.3,0.3
57,15.8,15.8
58,15.88,15.88
