,äÓñ{ïœêîÇÃÇ›,è⁄ç◊ïœêîÇ†ÇË
1,9.53,9.53
2,9.53,9.53
3,44.86,44.86
4,9.53,9.53
5,10.27,10.27
6,9.53,9.53
7,9.53,9.53
8,9.53,9.53
9,9.53,9.53
10,9.53,9.53
12,9.53,9.53
13,12.03,12.03
14,43.99,43.99
15,10.27,10.27
18,10.27,10.27
19,12.03,12.03
21,9.53,9.53
23,9.53,9.53
26,9.53,9.53
27,9.53,9.53
28,12.03,12.03
29,10.27,10.27
30,10.27,10.27
31,10.27,10.27
33,10.27,10.27
34,12.03,12.03
35,43.99,43.99
38,10.27,10.27
39,12.03,12.03
41,12.03,12.03
42,12.03,12.03
43,12.03,12.03
44,12.03,12.03
48,9.53,9.53
49,9.53,9.53
51,9.53,9.53
52,9.53,9.53
54,9.53,9.53
57,9.53,9.53
58,9.53,9.53
59,12.03,12.03
61,10.27,10.27
62,43.99,43.99
63,9.53,9.53
64,9.53,9.53
65,9.53,9.53
66,9.53,9.53
67,9.53,9.53
68,9.53,9.53
70,9.53,9.53
71,12.03,12.03
73,10.27,10.27
74,10.27,10.27
77,9.53,9.53
78,43.99,43.99
79,10.27,10.27
81,12.03,12.03
82,10.27,10.27
84,12.03,12.03
85,44.86,44.86
86,12.03,12.03
87,12.03,12.03
88,10.27,10.27
89,9.53,9.53
91,10.27,10.27
92,9.53,9.53
93,43.99,43.99
94,10.27,10.27
95,12.03,12.03
96,10.27,10.27
98,10.27,10.27
101,43.99,43.99
103,12.03,12.03
104,10.27,10.27
105,10.27,10.27
106,12.03,12.03
107,10.27,10.27
113,10.27,10.27
114,10.27,10.27
115,10.27,10.27
117,43.99,43.99
118,12.03,12.03
119,10.27,10.27
120,12.03,12.03
121,12.03,12.03
