,äÓñ{ïœêîÇÃÇ›,è⁄ç◊ïœêîÇ†ÇË
0,95.3,37.06
1,51.71,15.82
2,53.84,26.45
3,24.09,16.94
4,21.33,16.07
5,11.94,30.48
7,1.64,2.19
9,4.9,10.99
12,54.14,6.75
13,37.14,3.56
15,2.58,2.46
17,41.92,1.67
18,41.33,4.87
19,13.38,1.05
22,4.92,11.11
23,32.32,3.45
27,12.76,0.78
28,8.07,0.37
30,29.6,3.92
33,inf,inf
36,4.51,2.62
37,99.23,13.12
39,85.18,35.38
40,69.5,23.49
41,1.55,1.17
44,8.07,1.15
45,7.46,0.82
46,66.78,69.09
47,134.29,83.89
48,22.32,13.27
49,2.65,5.4
51,160.5,33.01
52,13.46,31.07
53,40.36,22.12
55,0.25,1.67
56,13.5,3.65
57,0.02,1.08
59,19.22,5.87
60,105.99,1.03
61,inf,inf
62,21.34,8.17
63,6.28,4.29
64,11.43,7.74
65,15.26,8.02
67,inf,inf
69,1.66,10.28
71,11.79,5.27
79,78.5,17.3
80,inf,inf
81,inf,inf
82,inf,inf
83,6.16,2.03
84,inf,inf
87,inf,inf
88,inf,inf
90,8.3,1.89
92,0.28,0.82
93,14.38,1.06
94,inf,inf
95,inf,inf
96,13.21,1.97
97,9.28,2.16
100,4.11,0.92
102,inf,inf
103,inf,inf
104,inf,inf
105,inf,inf
106,inf,inf
107,inf,inf
108,inf,inf
109,inf,inf
110,13.01,7.81
111,15.96,0.1
112,8.29,3.44
113,inf,inf
115,112.53,28.38
116,85.6,19.36
117,6.48,3.6
118,15.87,7.73
119,68.36,5.35
121,13.15,1.21
122,84.36,6.81
123,41.35,0.74
124,3.6,6.9
125,16.6,3.56
126,46.72,3.04
127,388.38,49.33
129,3.62,10.55
132,40.78,12.08
133,41.31,1.61
134,87.34,4.55
135,80.96,18.24
136,27.24,16.68
140,91.93,13.07
141,73.91,9.94
142,148.95,1.85
143,18.87,9.5
144,50.75,7.55
146,117.82,3.09
148,1.6,4.05
149,17.92,1.19
150,31.18,9.08
152,1.89,4.37
154,11.19,2.46
155,30.44,2.8
156,25.7,5.34
157,2.33,8.65
158,inf,inf
159,24.8,4.04
160,38.9,12.51
161,inf,inf
163,inf,inf
166,5.1,4.76
167,102.25,23.87
168,6.76,2.23
169,28.11,5.22
170,13.07,1.75
171,80.75,26.07
172,68.29,12.13
173,25.85,0.04
174,2.27,15.62
175,11.92,1.24
176,3.24,2.59
177,10.55,4.26
178,121.03,11.22
179,inf,inf
181,12.17,3.68
182,12.13,2.65
