,äÓñ{ïœêîÇÃÇ›,é¿ê—,è⁄ç◊ïœêîÇ†ÇË
0,2.83,1.0,0.64
4,0.71,1.0,0.74
7,3.63,3.0,3.93
8,3.81,4.0,4.03
9,3.41,4.0,3.84
10,3.02,3.0,3.04
12,0.85,1.0,0.44
13,2.95,3.0,2.44
14,3.74,4.0,4.43
15,3.07,2.0,2.58
17,3.21,3.0,3.13
19,1.06,1.0,0.9
20,3.42,2.0,2.92
21,3.22,3.0,2.89
25,1.55,1.0,1.22
26,0.95,1.0,1.38
27,3.58,4.0,3.47
29,3.01,1.0,0.98
30,2.53,1.0,1.37
32,0.72,1.0,1.0
33,0.59,1.0,1.03
34,2.53,1.0,1.17
35,3.4,3.0,4.25
37,2.53,1.0,1.37
38,2.57,1.0,1.77
39,2.96,1.0,1.26
40,1.52,1.0,1.09
41,5.17,10.0,8.58
43,5.24,9.0,8.08
44,6.2,11.0,10.33
46,2.6,1.0,1.02
47,2.78,1.0,1.94
51,2.6,1.0,1.14
52,2.6,1.0,1.02
54,2.6,1.0,1.59
55,5.86,9.0,8.25
57,6.2,12.0,10.59
58,6.2,12.0,10.89
59,6.04,12.0,10.38
60,2.73,1.0,2.25
61,0.55,1.0,0.27
63,0.91,1.0,0.87
64,1.04,1.0,1.63
67,0.66,2.0,1.94
68,0.71,1.0,0.42
70,2.14,1.0,0.95
71,1.37,1.0,1.1
72,2.99,2.0,2.66
74,0.39,1.0,0.56
75,2.68,1.0,1.32
76,1.99,1.0,0.83
77,1.51,2.0,2.47
78,1.33,1.0,0.57
79,1.29,1.0,0.94
80,0.85,1.0,0.21
81,0.88,1.0,1.22
82,1.26,2.0,2.63
84,1.58,1.0,1.26
85,1.19,1.0,0.92
86,1.52,1.0,0.79
87,1.78,2.0,2.6
88,0.46,1.0,0.87
89,1.86,1.0,0.72
91,0.73,1.0,0.23
92,2.14,2.0,2.5
93,1.13,1.0,1.23
94,0.53,1.0,0.49
95,1.18,1.0,-0.08
96,0.95,1.0,0.89
97,2.98,2.0,2.36
98,2.16,1.0,1.62
99,0.67,1.0,0.62
100,1.03,1.0,0.76
102,2.24,2.0,2.23
104,1.02,1.0,1.44
105,1.14,1.0,0.98
106,0.97,1.0,1.15
109,0.71,1.0,0.71
114,0.53,1.0,1.02
115,1.18,1.0,1.38
116,1.75,1.0,0.91
117,3.37,2.0,3.52
118,3.14,1.0,0.49
119,1.08,1.0,0.93
121,2.27,1.0,1.51
