,äÓñ{ïœêîÇÃÇ›,è⁄ç◊ïœêîÇ†ÇË
2,31.84,3.48
3,0.83,7.65
5,45.2,13.68
8,4.35,6.7
9,28.2,16.98
10,25.5,10.55
11,32.75,0.21
16,14.25,2.21
17,5.7,12.32
20,33.29,6.46
22,17.74,12.14
24,1.01,5.79
25,150.97,13.59
27,39.52,14.43
29,5.23,9.59
32,102.47,23.35
34,5.77,0.85
35,6.45,6.6
40,59.62,5.35
42,8.84,17.07
60,8.69,65.74
61,44.77,2.34
66,63.33,6.14
71,3.89,6.43
72,12.67,0.98
77,22.4,1.92
79,20.58,3.08
84,4.0,7.88
87,31.11,6.56
90,0.85,9.96
93,1.27,1.14
95,25.46,7.0
102,4.43,23.89
105,14.78,6.03
111,11.6,11.47
113,33.4,15.63
118,16.46,15.86
135,22.12,6.59
138,24.86,5.92
140,55.31,12.36
145,25.39,3.95
151,153.79,25.89
154,23.92,9.86
157,12.83,2.16
165,61.64,6.73
169,8.73,8.42
174,1.01,7.01
176,18.49,18.42
177,22.62,23.99
179,75.8,9.05
184,47.21,14.0
185,3.92,30.3
189,30.29,4.68
190,8.53,5.3
193,7.49,11.44
194,53.89,14.92
195,17.76,3.77
197,46.76,21.94
198,69.12,61.6
202,12.34,4.49
205,7.8,3.64
207,5.49,1.08
211,3.11,10.35
213,85.56,19.8
214,34.46,16.26
215,25.84,8.38
216,9.87,19.31
218,14.66,12.41
224,47.07,9.25
225,26.67,19.29
226,17.38,13.53
238,46.6,16.77
239,54.59,43.69
240,64.7,40.17
