,äÓñ{ïœêîÇÃÇ›,è⁄ç◊ïœêîÇ†ÇË
0,86.08,18.84
1,27.88,2.76
2,53.98,14.4
3,110.2,16.32
4,98.97,67.91
5,117.26,46.93
7,4.26,14.13
9,6.01,23.38
10,14.32,7.99
11,23.89,14.78
12,11.02,15.55
15,8.35,8.81
16,0.58,17.04
17,130.19,17.39
18,64.77,42.17
19,155.32,71.95
20,84.01,78.84
21,66.98,68.42
22,70.89,13.01
23,102.42,20.01
25,115.56,41.24
26,134.16,57.19
27,17.81,1.07
31,26.78,0.98
32,37.29,28.87
33,38.27,35.47
34,72.62,19.98
35,299.69,40.32
36,17.75,19.5
38,2.35,18.94
40,53.96,5.44
44,1.68,21.24
45,14.57,17.22
46,827.35,290.42
47,46.08,28.57
48,17.09,11.72
49,32.27,31.8
51,27.43,23.62
54,7.96,32.77
55,13.73,13.42
56,28.46,19.25
58,4.09,5.34
59,3.5,15.72
60,194.03,48.21
61,46.51,6.89
63,19.27,60.6
64,54.92,36.48
66,18.57,48.41
67,35.15,37.9
68,24.7,21.76
69,11.63,29.4
71,21.54,9.58
72,27.18,4.63
73,44.01,20.67
74,53.01,1.22
75,31.95,7.71
76,14.44,6.25
77,1.11,27.31
78,45.08,22.43
79,82.47,52.69
80,191.47,71.83
82,3.07,38.55
83,51.4,8.6
85,14.04,51.76
88,40.81,33.33
90,3.28,18.82
94,11.66,26.79
96,68.41,4.26
98,21.83,15.06
99,11.71,23.32
100,30.82,9.1
101,122.78,0.01
102,317.68,75.48
103,46.2,11.16
104,81.85,5.98
108,85.6,132.42
109,19.01,2.23
111,31.88,22.35
112,42.51,2.76
113,153.2,19.13
114,38.09,21.31
115,33.17,5.92
117,12.99,30.58
118,33.25,19.44
122,37.68,41.48
123,19.14,126.71
125,42.04,2.13
127,66.58,12.66
128,32.76,10.55
131,60.82,38.7
134,179.55,10.79
135,4.87,20.16
137,346.33,36.83
140,26.15,6.55
141,23.63,11.0
142,18.28,15.31
143,12.37,9.83
144,66.16,34.04
145,44.82,5.28
146,43.86,35.27
147,76.68,8.69
149,21.33,18.68
150,76.11,7.66
151,16.64,13.14
152,8.53,12.71
153,23.05,13.11
154,9.82,30.56
155,38.3,20.25
156,117.05,12.95
157,15.84,39.87
159,18.35,5.91
160,17.15,10.87
162,27.31,10.1
163,14.83,8.21
165,37.79,0.83
166,129.32,21.17
168,5.07,1.88
169,13.19,12.76
170,5.87,15.81
171,45.08,16.49
172,20.98,61.59
173,11.33,3.23
174,5.8,16.23
175,40.88,18.93
176,6.37,26.98
177,17.25,29.29
179,123.33,11.24
180,28.34,42.07
