,äÓñ{ïœêîÇÃÇ›,+ê›íËâ∑ìx,+ãÛí≤â“ì≠éûä‘,ëSïœêîÇ†ÇË
1,1.14,1.14,0.67,0.67
2,0.49,0.49,0.69,0.69
3,6.21,6.21,14.25,14.25
4,8.0,8.0,3.9,3.9
5,1.63,1.63,7.71,7.71
6,4.84,4.84,1.46,1.46
9,61.19,61.19,17.39,17.39
11,8.74,8.74,8.04,8.04
12,7.17,7.17,3.19,3.19
13,0.42,0.42,1.64,1.64
14,7.11,7.11,4.79,4.79
15,4.26,4.26,1.24,1.24
16,2.75,2.75,0.48,0.48
17,73.45,73.45,11.29,11.29
18,7.21,7.21,2.76,2.76
20,10.74,10.74,7.76,7.76
21,4.51,4.51,3.17,3.17
22,10.94,10.94,0.31,0.31
23,9.24,9.24,14.76,14.76
25,2.29,2.29,1.56,1.56
26,16.52,16.52,10.03,10.03
28,0.74,0.74,1.04,1.04
29,2.77,2.77,2.7,2.7
30,8.04,8.04,6.03,6.03
31,12.95,12.95,4.09,4.09
32,8.6,8.6,8.71,8.71
35,2.79,2.79,3.66,3.66
37,8.81,8.81,11.49,11.49
38,49.32,49.32,51.05,51.05
39,10.64,10.64,7.32,7.32
40,7.72,7.72,1.18,1.18
43,2.72,2.72,6.02,6.02
44,39.49,39.49,44.25,44.25
45,8.22,8.22,80.45,80.45
46,11.32,11.32,6.77,6.77
47,10.51,10.51,3.24,3.24
48,6.99,6.99,2.42,2.42
49,18.32,18.32,12.15,12.15
51,11.69,11.69,17.02,17.02
53,2.89,2.89,1.12,1.12
54,2.74,2.74,2.92,2.92
56,1.52,1.52,3.35,3.35
58,4.83,4.83,6.12,6.12
59,276.1,276.1,267.26,267.26
60,6.26,6.26,0.33,0.33
61,1.95,1.95,1.89,1.89
62,23.52,23.52,12.77,12.77
63,8.58,8.58,3.55,3.55
64,11.36,11.36,16.65,16.65
65,1.79,1.79,8.29,8.29
66,16.63,16.63,214.74,214.74
67,2.06,2.06,0.67,0.67
68,0.21,0.21,3.52,3.52
69,6.07,6.07,3.89,3.89
70,6.96,6.96,5.51,5.51
71,1.7,1.7,0.93,0.93
73,61.0,61.0,120.12,120.12
74,1.21,1.21,5.24,5.24
75,1.81,1.81,1.58,1.58
76,6.66,6.66,7.06,7.06
77,15.87,15.87,11.04,11.04
78,10.62,10.62,9.03,9.03
79,2.01,2.01,10.47,10.47
82,2.0,2.0,1.34,1.34
83,1.21,1.21,0.54,0.54
85,0.44,0.44,0.84,0.84
86,7.76,7.76,10.14,10.14
87,300.22,300.22,224.99,224.99
88,2.62,2.62,3.75,3.75
90,14.99,14.99,13.23,13.23
91,12.49,12.49,8.28,8.28
92,16.68,16.68,11.4,11.4
93,12.5,12.5,6.33,6.33
99,5.37,5.37,3.94,3.94
100,17.13,17.13,8.13,8.13
101,172.08,172.08,85.39,85.39
103,0.72,0.72,0.62,0.62
104,5.23,5.23,2.46,2.46
106,3.0,3.0,1.59,1.59
107,11.33,11.33,14.77,14.77
108,390.16,390.16,132.08,132.08
109,1.91,1.91,5.71,5.71
112,2.83,2.83,5.34,5.34
113,9.99,9.99,8.28,8.28
114,11.47,11.47,12.8,12.8
118,0.73,0.73,0.15,0.15
119,0.31,0.31,0.3,0.3
120,0.0,0.0,0.73,0.73
121,14.34,14.34,1.71,1.71
122,688.8,688.8,188.95,188.95
123,1.69,1.69,1.85,1.85
125,3.06,3.06,2.2,2.2
127,0.72,0.72,0.97,0.97
129,83.26,83.26,121.81,121.81
130,0.22,0.22,3.14,3.14
131,2.88,2.88,0.44,0.44
132,0.08,0.08,2.26,2.26
134,2.37,2.37,0.3,0.3
136,12.68,12.68,12.58,12.58
137,14.84,14.84,12.54,12.54
138,6.02,6.02,1.29,1.29
139,2.71,2.71,2.15,2.15
140,1.72,1.72,2.86,2.86
141,1.3,1.3,0.16,0.16
142,11.54,11.54,6.81,6.81
144,1.06,1.06,1.87,1.87
145,0.26,0.26,1.44,1.44
146,1.36,1.36,0.24,0.24
148,0.66,0.66,0.31,0.31
152,2.01,2.01,1.42,1.42
154,18.78,18.78,22.99,22.99
156,26.36,26.36,39.12,39.12
157,44.23,44.23,4.94,4.94
160,4.33,4.33,6.82,6.82
161,5.46,5.46,6.02,6.02
162,7.85,7.85,5.31,5.31
165,0.29,0.29,3.35,3.35
169,2.82,2.82,1.4,1.4
170,28.34,28.34,31.01,31.01
172,17.6,17.6,17.33,17.33
173,5.89,5.89,4.15,4.15
174,3.3,3.3,0.27,0.27
175,6.19,6.19,0.34,0.34
176,1.01,1.01,0.39,0.39
177,2.98,2.98,0.02,0.02
178,92.64,92.64,29.03,29.03
179,6.94,6.94,10.44,10.44
180,6.28,6.28,5.5,5.5
181,4.02,4.02,4.35,4.35
182,0.29,0.29,0.78,0.78
183,3.29,3.29,11.09,11.09
184,3.53,3.53,12.29,12.29
185,168.53,168.53,52.36,52.36
186,11.21,11.21,12.83,12.83
189,7.58,7.58,8.15,8.15
190,0.23,0.23,1.32,1.32
191,19.97,19.97,11.37,11.37
192,33.0,33.0,110.82,110.82
193,53.97,53.97,39.73,39.73
194,24.55,24.55,21.7,21.7
195,0.51,0.51,0.19,0.19
197,23.66,23.66,19.04,19.04
198,18.41,18.41,24.3,24.3
202,5.15,5.15,6.85,6.85
203,0.58,0.58,2.72,2.72
204,6.89,6.89,6.56,6.56
205,8.31,8.31,0.26,0.26
208,4.06,4.06,6.38,6.38
210,1.67,1.67,5.18,5.18
212,13.16,13.16,6.84,6.84
213,31.23,31.23,24.69,24.69
214,3.67,3.67,3.41,3.41
215,0.45,0.45,5.42,5.42
216,11.93,11.93,3.56,3.56
217,2.4,2.4,5.13,5.13
218,0.11,0.11,0.63,0.63
219,11.32,11.32,0.23,0.23
221,2.33,2.33,0.85,0.85
222,4.23,4.23,4.83,4.83
223,0.77,0.77,0.42,0.42
