,äÓñ{ïœêîÇÃÇ›,+ê›íËâ∑ìx,+ãÛí≤â“ì≠éûä‘,ëSïœêîÇ†ÇË
2,45.56,45.96,6.34,10.42
8,26.35,9.67,6.8,10.96
10,87.31,77.9,10.1,24.67
11,13.86,29.39,28.69,37.06
23,16.73,2.74,2.62,4.06
25,12.81,12.21,1.89,2.14
26,21.66,29.87,26.84,31.67
28,54.28,53.99,8.43,4.18
29,44.51,11.39,2.4,7.4
31,5.45,2.41,3.74,3.02
32,25.17,18.4,2.82,10.56
37,0.46,0.22,5.77,4.37
39,86.35,11.93,1.51,0.83
41,39.69,66.11,9.29,9.03
46,10.98,13.46,6.19,1.78
48,10.36,17.82,2.27,6.78
59,59.93,70.02,7.2,9.04
63,16.43,24.12,8.79,8.53
66,14.2,10.83,11.39,4.4
68,1.31,0.39,14.51,11.08
74,3.16,0.24,3.13,3.31
78,276.23,288.26,8.77,2.2
86,36.92,3.26,5.33,17.08
89,54.79,57.8,11.52,12.94
94,13.9,37.4,4.43,6.01
100,120.04,117.97,6.23,5.86
102,9.2,9.96,27.3,25.71
105,20.68,22.31,12.52,6.82
107,115.58,127.39,29.84,15.47
108,130.55,129.67,0.13,1.45
114,124.03,139.86,20.65,1.72
117,9.62,8.92,5.81,11.61
118,6.78,6.32,12.34,14.83
120,10.04,13.6,11.44,20.79
121,114.08,84.97,9.91,12.98
122,147.71,133.52,21.61,21.21
124,4.55,3.4,11.05,13.03
128,136.81,172.36,7.76,17.3
133,20.9,24.42,11.74,7.09
139,1.37,1.14,8.23,15.47
142,136.44,147.99,24.29,3.1
152,18.39,18.58,2.64,6.14
153,10.69,1.0,3.01,3.4
159,20.11,7.12,3.4,2.77
162,19.04,19.31,11.92,13.01
163,24.78,30.52,9.45,5.92
168,56.5,44.09,13.98,11.92
175,inf,inf,inf,inf
177,inf,inf,inf,inf
179,57.1,52.82,6.19,0.95
182,29.21,34.57,17.74,12.81
184,14.19,10.49,17.49,11.59
189,9.24,14.53,0.14,4.29
191,17.49,20.79,12.33,5.74
195,36.04,37.58,3.3,2.02
202,30.02,83.79,3.63,13.12
205,6.39,25.13,22.8,10.18
208,20.15,58.85,2.39,5.0
212,11.44,13.57,9.34,16.49
213,54.69,123.73,9.99,25.82
215,74.64,87.36,0.81,6.99
216,inf,inf,inf,inf
217,114.55,111.44,8.68,21.63
218,148.13,6.96,5.02,8.56
220,37.67,41.03,3.25,5.58
222,31.44,89.76,4.25,6.65
236,15.56,4.64,20.33,27.93
237,5.22,2.17,1.09,1.19
238,48.13,69.28,13.02,8.43
244,58.35,37.86,14.37,10.21
247,126.59,115.81,3.42,33.37
250,18.79,13.6,9.43,4.62
253,16.5,14.89,0.92,1.57
257,15.88,14.53,1.85,1.91
264,2.48,4.09,11.66,9.3
266,14.06,10.24,2.66,2.12
270,18.32,12.79,2.57,3.43
275,42.4,59.29,2.16,1.22
278,16.58,14.42,8.29,8.83
279,8.06,9.59,3.81,4.4
280,20.45,18.9,2.41,2.24
284,28.14,4.16,9.71,3.7
290,58.18,70.81,4.44,7.51
291,12.71,8.39,1.63,1.39
302,23.73,18.01,4.18,4.24
303,30.63,29.77,1.58,6.64
304,29.97,38.48,7.94,4.72
308,9.3,5.7,0.97,1.17
309,21.59,12.74,0.76,0.05
312,2.95,4.57,2.35,2.04
313,26.18,14.94,1.89,1.88
315,17.24,17.79,7.89,7.95
320,12.33,15.56,2.45,1.12
326,7.39,9.59,3.9,3.12
329,7.39,9.59,3.4,3.53
330,5.1,6.67,3.89,3.63
333,17.31,20.0,4.08,2.62
334,8.2,12.99,11.23,16.52
338,105.65,96.33,13.63,31.67
339,29.38,38.45,5.2,7.63
344,7.07,19.22,13.4,17.1
345,36.45,34.29,0.11,0.72
347,109.8,125.41,4.36,0.78
353,19.52,48.44,18.46,30.69
354,74.55,67.69,15.82,33.48
356,751.37,760.72,23.6,18.95
359,19.95,86.07,9.29,31.47
360,12.13,53.33,6.16,16.05
361,52.94,43.72,11.52,7.08
363,6.77,2.03,2.59,8.0
