,äÓñ{ïœêîÇÃÇ›,è⁄ç◊ïœêîÇ†ÇË
0,4.34,1.11
1,1.15,2.28
3,117.33,71.09
4,4.47,2.81
8,15.31,3.46
9,16.01,2.73
10,49.57,50.42
12,7.01,0.05
14,0.91,2.94
15,0.47,0.83
16,18.04,10.52
20,8.89,4.46
22,19.04,6.89
24,215.35,130.12
25,2.11,0.84
29,5.05,3.74
30,21.24,11.91
32,0.68,5.58
33,8.46,0.6
34,5.72,3.46
35,12.53,9.68
36,3.34,3.02
38,199.43,89.21
39,8.59,1.96
41,2.43,0.57
42,5.48,6.82
43,4.43,2.08
45,32.18,19.96
47,4.41,2.66
48,7.55,6.22
49,6.2,3.09
50,4.11,2.78
51,1.98,0.03
53,2.2,0.79
55,1.96,2.51
57,0.06,0.06
58,2.84,0.43
60,1.77,0.82
61,4.26,4.12
62,4.24,4.08
64,0.16,1.29
66,4.83,78.03
67,0.74,1.3
68,0.69,0.64
69,1.78,2.31
71,2.17,0.55
72,1.98,0.77
73,9.72,24.19
74,2.56,2.53
75,1.04,0.22
76,0.23,0.03
77,0.9,0.45
78,2.99,0.84
79,7.13,2.35
80,78.64,19.21
81,7.68,4.26
82,2.56,2.36
83,3.13,1.07
84,1.04,0.55
85,1.72,0.83
86,10.63,5.95
87,107.7,41.16
88,1.43,0.33
89,0.13,0.06
90,0.54,1.42
92,1.84,0.34
93,4.24,2.91
94,32.1,69.99
95,0.47,0.35
99,0.48,0.27
100,0.33,0.28
101,36.71,15.32
102,3.31,0.34
103,0.9,0.91
105,0.32,0.61
106,0.85,3.06
107,4.58,2.28
108,188.03,121.27
109,1.1,1.8
110,0.05,0.11
112,7.74,2.81
113,7.05,3.66
114,6.08,3.72
115,183.49,83.47
117,1.43,0.8
118,1.68,1.04
120,0.4,0.34
123,1.41,1.57
124,0.78,0.21
125,1.45,1.31
126,0.82,2.75
128,6.84,0.71
129,23.48,18.74
130,4.97,3.69
132,1.8,0.2
133,1.0,0.77
134,1.7,3.22
135,6.52,4.02
139,0.05,1.17
141,2.34,0.25
144,2.05,0.11
145,1.59,1.67
146,0.51,0.71
148,1.44,1.79
151,0.35,1.06
152,1.4,1.44
155,1.37,1.08
156,5.1,2.27
157,102.59,22.13
158,1.41,0.04
160,0.06,1.63
161,6.23,4.9
162,3.65,1.27
164,64.36,40.08
165,5.85,1.88
166,0.94,0.72
167,2.25,0.49
168,7.22,3.82
170,3.71,0.71
171,72.4,98.62
