ì˙éû,ì˙éû,é¿ê—,êÑíË,åé,îN
2018-06-01,2018-06-01,2,2.09,6,2018
2018-06-02,2018-06-02,1,1.11,6,2018
2018-06-03,2018-06-03,1,1.12,6,2018
2018-06-04,2018-06-04,4,4.2,6,2018
2018-06-05,2018-06-05,3,2.92,6,2018
2018-06-06,2018-06-06,2,2.06,6,2018
2018-06-07,2018-06-07,3,2.98,6,2018
2018-06-08,2018-06-08,4,4.24,6,2018
2018-06-09,2018-06-09,1,1.1,6,2018
2018-06-10,2018-06-10,1,1.12,6,2018
2018-06-11,2018-06-11,1,1.1,6,2018
2018-06-12,2018-06-12,1,1.12,6,2018
2018-06-13,2018-06-13,2,2.06,6,2018
2018-06-14,2018-06-14,1,1.13,6,2018
2018-06-15,2018-06-15,1,1.11,6,2018
2018-06-16,2018-06-16,1,1.1,6,2018
2018-06-17,2018-06-17,1,1.12,6,2018
2018-06-18,2018-06-18,1,1.12,6,2018
2018-06-19,2018-06-19,2,2.06,6,2018
2018-06-20,2018-06-20,1,1.11,6,2018
2018-06-21,2018-06-21,1,1.13,6,2018
2018-06-22,2018-06-22,3,2.98,6,2018
2018-06-23,2018-06-23,1,1.12,6,2018
2018-06-24,2018-06-24,1,1.13,6,2018
2018-06-25,2018-06-25,3,3.21,6,2018
2018-06-26,2018-06-26,4,4.51,6,2018
2018-06-27,2018-06-27,10,10.93,6,2018
2018-06-28,2018-06-28,12,10.96,6,2018
2018-06-29,2018-06-29,13,11.12,6,2018
2018-06-30,2018-06-30,1,1.14,6,2018
2018-07-01,2018-07-01,1,1.36,7,2018
2018-07-02,2018-07-02,13,11.12,7,2018
2018-07-03,2018-07-03,13,11.12,7,2018
2018-07-04,2018-07-04,11,10.96,7,2018
2018-07-05,2018-07-05,11,10.93,7,2018
2018-07-06,2018-07-06,1,1.11,7,2018
2018-07-07,2018-07-07,1,1.11,7,2018
2018-07-08,2018-07-08,1,1.16,7,2018
2018-07-09,2018-07-09,7,7.74,7,2018
2018-07-10,2018-07-10,7,7.9,7,2018
2018-07-11,2018-07-11,9,10.96,7,2018
2018-07-12,2018-07-12,11,10.86,7,2018
2018-07-13,2018-07-13,13,10.96,7,2018
2018-07-14,2018-07-14,1,1.19,7,2018
2018-07-15,2018-07-15,1,1.36,7,2018
2018-07-16,2018-07-16,1,1.36,7,2018
2018-07-17,2018-07-17,7,5.52,7,2018
2018-07-18,2018-07-18,6,5.52,7,2018
2018-07-19,2018-07-19,4,3.54,7,2018
2018-07-20,2018-07-20,6,4.8,7,2018
2018-07-21,2018-07-21,1,1.35,7,2018
2018-07-22,2018-07-22,1,1.2,7,2018
2018-07-23,2018-07-23,3,3.32,7,2018
2018-07-24,2018-07-24,10,10.96,7,2018
2018-07-25,2018-07-25,7,6.28,7,2018
2018-07-26,2018-07-26,6,6.24,7,2018
2018-07-27,2018-07-27,5,5.26,7,2018
2018-07-28,2018-07-28,1,1.09,7,2018
2018-07-29,2018-07-29,1,1.18,7,2018
2018-07-30,2018-07-30,7,6.28,7,2018
2019-06-01,2019-06-01,1,1.11,6,2019
2019-06-02,2019-06-02,2,2.1,6,2019
2019-06-03,2019-06-03,1,1.12,6,2019
2019-06-04,2019-06-04,1,1.12,6,2019
2019-06-05,2019-06-05,1,1.12,6,2019
2019-06-06,2019-06-06,1,1.1,6,2019
2019-06-07,2019-06-07,2,2.1,6,2019
2019-06-08,2019-06-08,1,1.12,6,2019
2019-06-09,2019-06-09,1,1.12,6,2019
2019-06-10,2019-06-10,1,1.1,6,2019
2019-06-11,2019-06-11,1,1.12,6,2019
2019-06-12,2019-06-12,2,2.06,6,2019
2019-06-13,2019-06-13,1,1.12,6,2019
2019-06-14,2019-06-14,1,1.12,6,2019
2019-06-15,2019-06-15,1,1.08,6,2019
2019-06-16,2019-06-16,1,1.12,6,2019
2019-06-17,2019-06-17,2,2.05,6,2019
2019-06-18,2019-06-18,1,1.12,6,2019
2019-06-19,2019-06-19,1,1.12,6,2019
2019-06-20,2019-06-20,1,1.12,6,2019
2019-06-21,2019-06-21,1,1.12,6,2019
2019-06-22,2019-06-22,3,2.98,6,2019
2019-06-23,2019-06-23,1,1.13,6,2019
2019-06-24,2019-06-24,1,1.12,6,2019
2019-06-25,2019-06-25,2,2.06,6,2019
2019-06-26,2019-06-26,3,2.94,6,2019
2019-06-27,2019-06-27,5,5.26,6,2019
2019-06-28,2019-06-28,6,6.17,6,2019
2019-06-29,2019-06-29,0,1.03,6,2019
2019-06-30,2019-06-30,1,1.08,6,2019
2019-07-01,2019-07-01,1,1.12,7,2019
2019-07-02,2019-07-02,3,2.95,7,2019
2019-07-03,2019-07-03,3,3.24,7,2019
2019-07-04,2019-07-04,3,2.98,7,2019
2019-07-05,2019-07-05,2,2.1,7,2019
2019-07-06,2019-07-06,1,1.12,7,2019
2019-07-07,2019-07-07,1,1.11,7,2019
2019-07-08,2019-07-08,1,1.12,7,2019
2019-07-09,2019-07-09,1,1.12,7,2019
2019-07-10,2019-07-10,1,1.12,7,2019
2019-07-11,2019-07-11,1,1.13,7,2019
2019-07-12,2019-07-12,1,1.11,7,2019
2019-07-13,2019-07-13,1,1.11,7,2019
2019-07-14,2019-07-14,1,1.13,7,2019
2019-07-15,2019-07-15,1,1.12,7,2019
2019-07-16,2019-07-16,1,1.13,7,2019
2019-07-17,2019-07-17,2,2.06,7,2019
2019-07-18,2019-07-18,3,3.28,7,2019
2019-07-19,2019-07-19,5,5.26,7,2019
2019-07-20,2019-07-20,1,1.16,7,2019
2019-07-21,2019-07-21,1,1.11,7,2019
2019-07-22,2019-07-22,1,1.12,7,2019
2019-07-23,2019-07-23,3,2.95,7,2019
2019-07-24,2019-07-24,5,4.61,7,2019
2019-07-25,2019-07-25,11,10.96,7,2019
2019-07-26,2019-07-26,10,11.12,7,2019
2019-07-27,2019-07-27,1,1.17,7,2019
2019-07-28,2019-07-28,1,1.15,7,2019
2019-07-29,2019-07-29,14,11.12,7,2019
2019-07-30,2019-07-30,15,11.12,7,2019
2020-06-01,2020-06-01,1,1.12,6,2020
2020-06-02,2020-06-02,2,2.06,6,2020
2020-06-03,2020-06-03,1,1.12,6,2020
2020-06-04,2020-06-04,1,1.12,6,2020
2020-06-05,2020-06-05,1,1.1,6,2020
2020-06-06,2020-06-06,1,1.11,6,2020
2020-06-07,2020-06-07,2,2.09,6,2020
2020-06-08,2020-06-08,1,1.12,6,2020
2020-06-09,2020-06-09,1,1.1,6,2020
2020-06-10,2020-06-10,1,1.1,6,2020
2020-06-11,2020-06-11,1,1.12,6,2020
2020-06-12,2020-06-12,2,2.05,6,2020
2020-06-13,2020-06-13,1,1.1,6,2020
2020-06-14,2020-06-14,1,1.12,6,2020
2020-06-15,2020-06-15,1,1.1,6,2020
2020-06-16,2020-06-16,1,1.1,6,2020
2020-06-17,2020-06-17,2,2.05,6,2020
2020-06-18,2020-06-18,1,1.12,6,2020
2020-06-19,2020-06-19,1,1.1,6,2020
2020-06-20,2020-06-20,1,1.11,6,2020
2020-06-21,2020-06-21,1,1.12,6,2020
2020-06-22,2020-06-22,2,2.06,6,2020
2020-06-23,2020-06-23,1,1.12,6,2020
2020-06-24,2020-06-24,1,1.13,6,2020
2020-06-25,2020-06-25,1,1.1,6,2020
2020-06-26,2020-06-26,1,1.1,6,2020
2020-06-27,2020-06-27,2,2.05,6,2020
2020-06-28,2020-06-28,1,1.1,6,2020
2020-06-29,2020-06-29,1,1.08,6,2020
2020-06-30,2020-06-30,1,1.1,6,2020
2020-07-01,2020-07-01,1,1.12,7,2020
2020-07-02,2020-07-02,2,2.05,7,2020
2020-07-03,2020-07-03,1,1.12,7,2020
2020-07-04,2020-07-04,1,1.11,7,2020
2020-07-05,2020-07-05,1,1.12,7,2020
2020-07-06,2020-07-06,1,1.12,7,2020
2020-07-07,2020-07-07,2,2.09,7,2020
2020-07-08,2020-07-08,1,1.17,7,2020
2020-07-09,2020-07-09,1,1.13,7,2020
2020-07-10,2020-07-10,1,1.12,7,2020
2020-07-11,2020-07-11,1,1.16,7,2020
2020-07-12,2020-07-12,2,2.05,7,2020
2020-07-13,2020-07-13,1,1.12,7,2020
2020-07-14,2020-07-14,1,1.13,7,2020
2020-07-15,2020-07-15,1,1.11,7,2020
2020-07-16,2020-07-16,1,1.12,7,2020
2020-07-17,2020-07-17,2,2.1,7,2020
2020-07-18,2020-07-18,1,1.08,7,2020
2020-07-19,2020-07-19,1,1.12,7,2020
2020-07-20,2020-07-20,1,1.1,7,2020
2020-07-21,2020-07-21,1,1.1,7,2020
2020-07-22,2020-07-22,2,2.09,7,2020
2020-07-23,2020-07-23,1,1.11,7,2020
2020-07-24,2020-07-24,1,1.13,7,2020
2020-07-25,2020-07-25,1,1.08,7,2020
2020-07-26,2020-07-26,1,1.15,7,2020
2020-07-27,2020-07-27,2,2.09,7,2020
2020-07-28,2020-07-28,1,1.15,7,2020
2020-07-29,2020-07-29,1,1.1,7,2020
2020-07-30,2020-07-30,1,1.1,7,2020
2021-06-01,2021-06-01,1,1.12,6,2021
2021-06-02,2021-06-02,2,2.05,6,2021
2021-06-03,2021-06-03,3,2.95,6,2021
2021-06-04,2021-06-04,1,1.12,6,2021
2021-06-05,2021-06-05,1,1.11,6,2021
2021-06-06,2021-06-06,1,1.12,6,2021
2021-06-07,2021-06-07,2,2.05,6,2021
2021-06-08,2021-06-08,3,3.21,6,2021
2021-06-09,2021-06-09,4,4.51,6,2021
2021-06-10,2021-06-10,4,4.2,6,2021
2021-06-11,2021-06-11,3,2.95,6,2021
2021-06-12,2021-06-12,1,1.11,6,2021
2021-06-13,2021-06-13,1,1.12,6,2021
2021-06-14,2021-06-14,3,2.95,6,2021
2021-06-15,2021-06-15,4,4.24,6,2021
2021-06-16,2021-06-16,2,2.06,6,2021
2021-06-17,2021-06-17,1,1.12,6,2021
2021-06-18,2021-06-18,3,2.95,6,2021
2021-06-19,2021-06-19,1,1.12,6,2021
2021-06-20,2021-06-20,1,1.12,6,2021
2021-06-21,2021-06-21,2,2.05,6,2021
2021-06-22,2021-06-22,3,2.95,6,2021
2021-06-23,2021-06-23,2,2.06,6,2021
2021-06-24,2021-06-24,3,2.98,6,2021
2021-06-25,2021-06-25,3,2.98,6,2021
2021-06-26,2021-06-26,1,1.09,6,2021
2021-06-27,2021-06-27,1,1.1,6,2021
2021-06-28,2021-06-28,4,4.22,6,2021
2021-06-29,2021-06-29,3,2.95,6,2021
2021-06-30,2021-06-30,1,1.11,6,2021
2021-07-01,2021-07-01,1,1.12,7,2021
2021-07-02,2021-07-02,1,1.1,7,2021
2021-07-03,2021-07-03,1,1.12,7,2021
2021-07-04,2021-07-04,1,1.1,7,2021
2021-07-05,2021-07-05,1,1.12,7,2021
2021-07-06,2021-07-06,3,3.24,7,2021
2021-07-07,2021-07-07,5,4.61,7,2021
2021-07-08,2021-07-08,1,1.13,7,2021
2021-07-09,2021-07-09,1,1.11,7,2021
2021-07-10,2021-07-10,1,1.1,7,2021
2021-07-11,2021-07-11,1,1.1,7,2021
2021-07-12,2021-07-12,10,10.86,7,2021
2021-07-13,2021-07-13,10,7.7,7,2021
2021-07-14,2021-07-14,9,10.86,7,2021
2021-07-15,2021-07-15,11,10.86,7,2021
2021-07-16,2021-07-16,12,10.96,7,2021
2021-07-17,2021-07-17,1,1.16,7,2021
2021-07-18,2021-07-18,1,1.16,7,2021
2021-07-19,2021-07-19,13,11.12,7,2021
2021-07-20,2021-07-20,14,11.12,7,2021
2021-07-21,2021-07-21,12,11.12,7,2021
2021-07-22,2021-07-22,1,1.36,7,2021
2021-07-23,2021-07-23,1,1.2,7,2021
2021-07-24,2021-07-24,1,1.2,7,2021
2021-07-25,2021-07-25,1,1.34,7,2021
2021-07-26,2021-07-26,9,7.74,7,2021
2021-07-27,2021-07-27,7,7.63,7,2021
2021-07-28,2021-07-28,12,10.93,7,2021
2021-07-29,2021-07-29,12,10.96,7,2021
2021-07-30,2021-07-30,12,10.96,7,2021
