,ÉfÅ[É^
0,150
1,140
2,73
3,70
4,104
5,160
6,173
7,109
8,151
9,116
10,139
11,149
12,177
13,166
14,132
15,131
16,126
17,146
18,119
19,82
20,158
21,110
22,65
23,169
24,147
25,136
26,81
27,112
28,111
29,179
30,178
31,66
32,142
33,120
34,99
35,124
36,164
37,171
38,101
39,167
40,88
41,155
42,123
43,77
44,78
45,168
46,172
47,71
48,175
49,61
50,145
51,133
52,79
53,118
54,103
55,93
56,90
57,74
58,72
59,102
60,113
61,122
62,69
63,141
64,130
65,85
66,127
67,89
68,105
69,92
70,64
71,91
72,174
73,94
74,129
75,80
76,137
77,76
78,144
79,95
80,63
81,156
82,96
83,134
84,117
