,äÓñ{ïœêîÇÃÇ›
0,42.34
1,44.81
2,26.35
3,92.63
4,90.0
6,2.63
7,9.8
8,1.24
9,92.84
11,33.99
12,57.35
13,37.19
14,13.79
15,29.55
16,40.67
17,34.87
19,5.53
20,69.95
21,28.48
22,33.34
23,94.08
24,49.86
25,19.55
26,35.38
30,0.99
31,66.47
32,3.99
33,16.32
34,13.29
37,20.45
38,21.66
39,44.83
40,11.72
41,60.0
42,47.86
43,31.68
44,13.02
45,20.9
48,1.19
52,43.58
53,11.91
55,19.17
57,14.59
58,16.27
59,0.58
60,29.17
62,10.0
63,1.63
64,0.33
65,27.0
66,28.1
68,37.37
69,27.18
70,23.55
74,20.74
75,5.59
76,17.69
77,7.35
79,1.42
80,15.78
81,11.0
82,12.17
83,2.34
84,3.25
86,45.77
87,37.24
88,24.74
89,4.66
90,23.14
91,9.71
92,2.66
96,16.47
98,2.62
99,20.99
100,13.95
101,12.74
105,14.39
106,46.24
107,103.97
108,183.33
109,20.97
110,5.13
111,13.54
112,406.93
114,81.47
117,16.13
120,53.92
121,33.95
123,2.54
124,3.43
126,12.93
127,13.87
128,18.04
130,6.58
132,15.77
134,24.88
136,34.68
138,0.77
139,0.67
140,16.18
141,3.58
142,13.88
143,10.66
147,32.33
149,9.47
150,13.08
151,12.4
152,27.83
154,7.29
155,0.04
157,122.32
158,8.96
159,15.61
160,2.99
161,3.05
162,16.67
163,44.26
166,16.65
167,20.62
168,6.23
169,1.31
170,63.67
171,16.2
172,4.17
174,27.09
175,10.27
176,43.09
177,36.75
178,43.13
180,22.29
181,9.45
183,33.04
184,3.38
189,8.99
190,5.77
191,15.17
193,14.24
194,29.11
197,8.2
199,17.04
201,23.37
203,11.62
206,30.83
207,19.87
208,58.29
209,40.84
213,15.8
214,8.42
216,0.13
217,30.88
218,51.01
219,13.76
221,11.27
222,79.45
223,24.73
224,55.33
225,24.23
226,41.46
227,25.82
228,40.08
229,7.88
230,5.97
231,33.34
232,19.59
233,45.34
234,2.12
238,16.88
239,76.04
241,135.03
242,56.09
245,49.84
247,48.68
248,20.85
249,11.42
250,7.24
251,3.03
253,11.11
254,110.04
255,117.71
256,3.21
257,7.91
258,18.13
259,12.1
260,12.56
261,15.21
264,19.61
265,5.46
266,29.82
268,32.24
269,298.62
270,30.95
271,29.45
272,331.37
273,407.15
274,485.41
276,579.88
277,1018.01
278,13.28
283,527.4
285,42.88
286,57.72
287,21.96
288,62.76
289,116.6
291,17.07
292,47.54
293,11.16
298,25.83
299,28.56
300,21.92
301,9.11
303,7.51
304,4.35
305,19.09
307,5.14
308,15.68
309,20.47
310,4.34
311,13.51
312,15.8
313,28.95
314,6.79
317,19.07
318,9.82
319,27.57
321,9.56
323,9.05
327,17.87
328,3.36
329,15.3
330,15.38
335,41.93
339,28.47
340,0.86
341,29.08
342,3.94
343,20.66
344,38.08
347,11.37
348,171.38
349,9.23
350,32.94
351,5.98
352,163.58
353,232.16
354,222.16
355,22.67
356,112.11
357,53.0
358,2.08
359,75.18
361,33.99
362,125.13
363,43.31
