,ì˙éû,é¿ê—,êÑíË,åé,îN
0,2022-04-01,1.0,1.11,4,2022
1,2022-04-02,1.0,0.8,4,2022
2,2022-04-03,1.0,0.81,4,2022
3,2022-04-04,1.0,1.07,4,2022
4,2022-04-05,2.0,1.96,4,2022
5,2022-04-06,1.0,1.32,4,2022
6,2022-04-07,1.0,0.83,4,2022
7,2022-04-08,1.0,0.82,4,2022
8,2022-04-09,2.0,0.82,4,2022
9,2022-04-10,1.0,1.03,4,2022
10,2022-04-11,1.0,0.73,4,2022
11,2022-04-12,1.0,1.71,4,2022
12,2022-04-13,2.0,1.93,4,2022
13,2022-04-14,1.0,0.96,4,2022
14,2022-04-15,1.0,1.35,4,2022
15,2022-04-16,1.0,1.65,4,2022
16,2022-04-17,1.0,1.29,4,2022
17,2022-04-18,1.0,0.43,4,2022
18,2022-04-19,1.0,1.32,4,2022
19,2022-04-20,1.0,0.48,4,2022
20,2022-04-21,1.0,1.56,4,2022
21,2022-04-22,1.0,0.45,4,2022
22,2022-04-23,1.0,0.97,4,2022
23,2022-04-24,1.0,0.97,4,2022
24,2022-04-25,1.0,1.98,4,2022
25,2022-04-26,1.0,1.56,4,2022
26,2022-04-27,2.0,3.07,4,2022
27,2022-04-28,1.0,1.02,4,2022
28,2022-04-29,1.0,1.13,4,2022
29,2022-04-30,1.0,0.34,4,2022
30,2022-05-01,1.0,1.11,5,2022
31,2022-05-02,1.0,1.35,5,2022
32,2022-05-03,1.0,1.18,5,2022
33,2022-05-04,1.0,1.13,5,2022
34,2022-05-05,1.0,0.71,5,2022
35,2022-05-06,1.0,1.28,5,2022
36,2022-05-07,1.0,0.74,5,2022
37,2022-05-08,0.0,-0.09,5,2022
38,2022-05-09,2.0,1.49,5,2022
39,2022-05-10,1.0,0.83,5,2022
40,2022-05-11,1.0,0.55,5,2022
41,2022-05-12,1.0,0.02,5,2022
42,2022-05-13,1.0,1.14,5,2022
43,2022-05-14,1.0,0.25,5,2022
44,2022-05-15,1.0,0.8,5,2022
45,2022-05-16,1.0,0.46,5,2022
46,2022-05-17,1.0,0.72,5,2022
47,2022-05-18,1.0,2.21,5,2022
48,2022-05-19,1.0,0.8,5,2022
49,2022-05-20,1.0,1.0,5,2022
50,2022-05-21,1.0,0.43,5,2022
51,2022-05-22,1.0,0.65,5,2022
52,2022-05-23,1.0,1.04,5,2022
53,2022-05-24,1.0,1.69,5,2022
54,2022-05-25,2.0,2.92,5,2022
55,2022-05-26,2.0,2.0,5,2022
56,2022-05-27,1.0,1.31,5,2022
57,2022-05-28,1.0,1.45,5,2022
58,2022-05-29,1.0,1.17,5,2022
59,2022-05-30,4.0,3.93,5,2022
60,2022-05-31,1.0,1.35,5,2022
61,2022-06-01,2.0,2.41,6,2022
62,2022-06-02,2.0,2.79,6,2022
63,2022-06-03,3.0,3.43,6,2022
64,2022-06-04,1.0,0.62,6,2022
65,2022-06-05,1.0,0.63,6,2022
66,2022-06-06,1.0,1.29,6,2022
67,2022-06-07,1.0,1.4,6,2022
68,2022-06-08,1.0,1.02,6,2022
69,2022-06-09,1.0,0.83,6,2022
70,2022-06-10,1.0,0.79,6,2022
71,2022-06-11,1.0,1.08,6,2022
72,2022-06-12,1.0,0.86,6,2022
73,2022-06-13,1.0,1.22,6,2022
74,2022-06-14,1.0,1.67,6,2022
75,2022-06-15,1.0,1.05,6,2022
76,2022-06-16,1.0,1.24,6,2022
77,2022-06-17,2.0,3.54,6,2022
78,2022-06-18,1.0,0.6,6,2022
79,2022-06-19,1.0,2.56,6,2022
80,2022-06-20,5.0,5.28,6,2022
81,2022-06-21,9.0,7.05,6,2022
82,2022-06-22,3.0,3.88,6,2022
83,2022-06-23,3.0,3.68,6,2022
84,2022-06-24,12.0,8.48,6,2022
85,2022-06-25,1.0,3.61,6,2022
86,2022-06-26,1.0,3.07,6,2022
87,2022-06-27,13.0,11.44,6,2022
88,2022-06-28,14.0,11.58,6,2022
89,2022-06-29,14.0,10.81,6,2022
