,ÉfÅ[É^
0,19
1,224
2,59
3,5
4,187
5,12
6,56
7,194
8,4
9,222
10,60
11,206
12,23
13,211
14,30
15,199
16,233
17,3
18,20
19,200
20,9
21,15
22,231
23,183
24,0
25,17
26,8
27,205
28,227
29,225
30,221
31,52
32,43
33,218
34,197
35,55
36,35
37,212
38,210
39,216
40,24
41,232
42,237
43,44
44,51
45,1
46,198
47,25
48,28
49,26
50,42
51,7
52,36
53,209
54,239
55,202
56,50
57,219
58,240
59,217
60,229
61,48
62,226
63,192
64,228
65,54
66,235
67,208
68,10
69,230
70,220
71,21
72,236
73,185
74,33
75,223
76,18
77,203
78,184
79,53
80,186
81,13
82,16
83,11
84,215
