,äÓñ{ïœêîÇÃÇ›,é¿ê—
3,23.483175217330423,32.0
7,17.191221707197826,42.0
11,12.290487243215017,4.0
14,40.715305826307926,29.0
16,25.291021400490383,62.0
17,31.884043805396857,35.0
18,15.87086583082083,5.0
19,7.646892215865012,4.0
22,13.615799984335096,4.0
24,24.09543700124542,10.0
26,13.053215845062217,5.0
30,17.158787421083122,4.0
32,21.702786823740517,4.0
34,10.820203818843364,4.0
35,6.398995293651866,4.0
38,33.09858537908402,11.0
39,8.297573241402457,4.0
50,1.6320121107807402,17.0
57,11.990889292905933,4.0
67,22.881230927943047,11.0
69,29.170138044936632,64.0
78,13.303618503924888,13.0
81,13.211120796240605,17.0
86,33.04645607611479,69.0
93,31.13369876868993,37.0
108,93.76811157284823,161.0
112,66.67485183987627,155.0
113,56.76381879491446,151.0
114,76.69090923204021,154.0
116,47.49974581344991,38.0
119,61.609331090584604,64.0
124,60.0057793255597,37.0
125,70.18930003049428,43.0
129,58.57169592922563,62.0
135,28.083314201636863,22.0
137,12.82503826167128,13.0
138,22.563641427658904,27.0
140,62.06635060228514,46.0
141,58.276887144721755,42.0
143,90.0936755212087,117.0
145,63.551302098841965,30.0
147,60.168541318678585,63.0
150,78.32045843775107,71.0
152,42.47314982453759,59.0
153,16.833557334367665,16.0
156,28.53160740451448,30.0
157,36.21374304831077,19.0
161,15.440304124641942,19.0
164,53.38050298279786,38.0
165,25.112605227098374,26.0
168,13.434460013864106,25.0
170,51.02434521371067,44.0
173,26.044788058853474,31.0
176,24.33890146161604,33.0
177,20.14335951052151,32.0
181,20.16302429696235,22.0
186,30.61156243648903,34.0
188,21.734682515396354,26.0
191,58.54505400136049,25.0
192,79.2106416870045,29.0
197,23.46504889845315,25.0
208,32.336856114046114,24.0
214,17.09990633206557,9.0
219,39.83998835545809,9.0
222,17.809709928374556,31.0
223,19.26114007487705,30.0
226,41.082253337664945,28.0
228,34.10619537910849,18.0
229,20.90636477182104,22.0
234,60.27396217078798,71.0
235,31.852094187267635,34.0
238,56.51676873247861,58.0
239,41.50561507915128,47.0
240,74.00090812864481,53.0
249,73.9814794263049,58.0
254,79.04977289127685,101.0
256,62.72446349001818,37.0
260,56.62796905843581,45.0
267,53.596318082115026,45.0
276,124.30207798458298,4.0
283,109.67694337845661,144.0
287,87.49840891809625,90.0
289,94.53776278260895,130.0
291,74.22337142877306,78.0
292,94.91974701778312,142.0
293,122.58377447957844,133.0
296,117.83681318333163,157.0
299,82.65642036758207,133.0
300,107.26774561766555,140.0
310,132.8008159827954,82.0
312,126.55719069184693,126.0
313,127.72678538937367,91.0
316,134.56011431486544,147.0
324,140.73724258890195,168.0
325,139.4780955605327,116.0
327,117.05068727948961,76.0
328,114.50496611922578,119.0
330,79.236078940394,96.0
333,86.5077120687837,40.0
334,60.53431103651825,45.0
336,58.34115497129806,60.0
337,66.9689098554583,71.0
338,57.10484412113895,48.0
340,45.24023786371038,35.0
342,51.75510506234272,35.0
344,46.08108227056961,31.0
346,31.298418569562745,33.0
348,34.3556552882378,31.0
355,94.43125159138411,72.0
357,46.312272798140135,85.0
361,25.91462854005311,25.0
