,äÓñ{ïœêîÇÃÇ›
2,64.03
4,32.22
5,43.28
6,12.3
7,28.63
8,53.58
9,27.24
10,15.91
11,39.49
12,14.59
14,56.16
15,0.14
17,18.68
18,9.38
19,6.77
21,37.44
22,86.04
25,151.93
29,60.83
30,2.26
32,11.96
33,19.31
36,24.03
37,0.44
38,11.97
39,1.35
40,1.02
43,11.02
44,35.69
46,3.54
47,6.66
49,4.97
50,11.77
51,34.19
53,0.74
56,20.53
57,2.75
58,8.38
59,11.41
60,3.56
61,3.23
62,3.74
63,7.31
64,2.06
65,5.19
66,13.61
67,3.1
68,5.48
69,2.54
70,3.81
71,6.69
72,0.42
73,2.52
74,0.84
76,0.8
77,1.89
78,3.79
79,25.21
80,32.0
81,2.86
82,3.0
86,1.41
88,3.17
89,14.91
90,2.17
92,7.84
94,4.35
95,1.32
96,5.37
98,0.57
99,6.97
100,6.24
101,15.02
102,0.63
103,2.73
104,0.54
108,13.89
110,0.58
111,5.56
112,8.52
114,19.36
115,0.22
116,3.72
117,6.1
118,4.33
119,8.15
121,29.09
122,36.81
123,0.86
124,6.0
125,2.48
126,9.26
130,5.19
131,0.62
133,0.99
135,18.35
136,64.19
137,2.51
139,7.61
141,8.39
144,3.63
145,2.63
147,4.17
148,8.89
150,3.88
152,6.17
153,3.64
154,8.92
155,9.26
156,31.85
157,50.34
158,2.08
159,2.28
162,3.73
163,3.33
164,1.78
168,1.91
169,2.93
172,3.59
174,1.68
175,1.43
176,1.54
177,8.42
178,16.06
179,0.85
183,15.18
185,14.74
186,0.16
187,11.39
188,0.28
189,3.43
190,5.48
191,2.39
193,3.94
194,3.95
195,2.08
196,7.33
197,1.41
199,37.53
201,19.37
203,11.32
205,21.19
207,4.92
209,20.56
211,20.23
214,19.87
215,36.27
216,18.74
217,13.6
218,2.64
219,37.32
220,59.81
222,92.28
223,0.04
224,53.13
225,10.43
226,16.79
227,106.21
229,21.08
230,27.41
232,51.86
233,14.23
234,26.03
235,6.27
236,17.52
237,23.1
238,0.68
240,15.58
242,13.15
243,3.9
244,13.97
245,4.1
249,3.83
250,10.12
251,28.88
254,1.84
255,14.77
256,11.4
257,9.26
260,3.13
262,9.98
263,0.36
264,0.88
265,4.34
266,3.55
267,12.79
268,7.56
269,16.81
270,9.65
271,0.58
272,8.09
273,155.58
274,503.87
275,523.35
276,1.67
280,14.48
282,0.89
285,1.7
287,2.37
288,8.85
289,4.16
290,11.56
291,6.43
293,16.43
294,9.12
295,10.23
298,8.21
301,9.51
302,12.12
303,5.7
304,21.86
305,10.19
306,0.16
309,4.42
310,7.06
311,0.78
312,6.83
313,1.83
314,0.66
318,14.1
319,0.69
320,4.3
321,7.78
322,1.21
324,1.68
326,3.05
328,13.35
329,3.96
330,6.59
331,2.2
333,8.61
334,20.45
336,0.63
337,20.66
338,35.02
339,17.03
342,2.68
343,4.95
344,95.63
345,48.77
346,9.11
347,1.72
349,4.32
350,13.85
351,103.42
353,7.68
354,9.27
355,211.3
356,202.07
359,21.89
361,36.91
362,30.29
363,16.59
364,19.9
