,ÉfÅ[É^
0,21
1,193
2,24
3,52
4,31
5,209
6,34
7,195
8,13
9,237
10,220
11,3
12,56
13,189
14,8
15,201
16,199
17,231
18,46
19,33
20,1
21,211
22,214
23,232
24,213
25,236
26,38
27,235
28,45
29,49
30,183
31,227
32,216
33,197
34,60
35,5
36,190
37,224
38,226
39,0
40,196
41,4
42,233
43,40
44,26
45,53
46,55
47,36
48,47
49,57
50,48
51,17
52,15
53,30
54,187
55,218
56,50
57,58
58,191
59,234
60,39
61,210
62,230
63,37
64,51
65,203
66,22
67,222
68,43
69,239
70,207
71,243
72,184
73,14
74,194
75,19
76,42
77,32
78,242
79,186
80,212
81,41
82,10
83,221
84,18
