,ì˙éû,é¿ê—,êÑíË,åé,îN
0,2021-04-01,262.0,307.19,4,2021
1,2021-04-02,261.0,319.33,4,2021
2,2021-04-03,246.0,309.94,4,2021
3,2021-04-04,122.0,192.42,4,2021
4,2021-04-05,302.0,324.68,4,2021
5,2021-04-06,235.0,320.27,4,2021
6,2021-04-07,279.0,325.11,4,2021
7,2021-04-08,268.0,327.0,4,2021
8,2021-04-09,284.0,334.68,4,2021
9,2021-04-10,222.0,314.18,4,2021
10,2021-04-11,198.0,232.23,4,2021
11,2021-04-12,238.0,307.28,4,2021
12,2021-04-13,235.0,298.5,4,2021
13,2021-04-14,315.0,354.88,4,2021
14,2021-04-15,265.0,313.49,4,2021
15,2021-04-16,240.0,315.89,4,2021
16,2021-04-17,213.0,274.7,4,2021
17,2021-04-18,160.0,232.23,4,2021
18,2021-04-19,229.0,306.76,4,2021
19,2021-04-20,242.0,310.71,4,2021
20,2021-04-21,290.0,314.08,4,2021
21,2021-04-22,343.0,334.57,4,2021
22,2021-04-23,300.0,329.99,4,2021
23,2021-04-24,184.0,264.55,4,2021
24,2021-04-25,73.0,192.42,4,2021
25,2021-04-26,213.0,251.22,4,2021
26,2021-04-27,266.0,312.12,4,2021
27,2021-04-28,313.0,333.23,4,2021
28,2021-04-29,214.0,285.21,4,2021
29,2021-04-30,298.0,320.77,4,2021
30,2021-05-01,185.0,260.49,5,2021
31,2021-05-02,74.0,192.42,5,2021
32,2021-05-03,195.0,278.13,5,2021
33,2021-05-04,204.0,273.55,5,2021
34,2021-05-05,203.0,237.55,5,2021
35,2021-05-06,271.0,322.79,5,2021
36,2021-05-07,285.0,342.5,5,2021
37,2021-05-08,233.0,265.69,5,2021
38,2021-05-09,78.0,192.42,5,2021
39,2021-05-10,333.0,385.16,5,2021
40,2021-05-11,279.0,331.11,5,2021
41,2021-05-12,293.0,334.49,5,2021
42,2021-05-13,300.0,339.49,5,2021
43,2021-05-14,452.0,410.53,5,2021
44,2021-05-15,363.0,318.3,5,2021
45,2021-05-16,63.0,192.42,5,2021
46,2021-05-17,544.0,484.18,5,2021
47,2021-05-18,482.0,489.03,5,2021
48,2021-05-19,385.0,425.81,5,2021
49,2021-05-20,373.0,359.98,5,2021
50,2021-05-21,511.0,471.28,5,2021
51,2021-05-22,304.0,272.15,5,2021
52,2021-05-23,90.0,192.42,5,2021
53,2021-05-24,481.0,477.83,5,2021
54,2021-05-25,566.0,504.69,5,2021
55,2021-05-26,459.0,474.79,5,2021
56,2021-05-27,378.0,436.65,5,2021
57,2021-05-28,451.0,449.25,5,2021
58,2021-05-29,397.0,398.78,5,2021
59,2021-05-30,116.0,192.42,5,2021
60,2021-05-31,495.0,501.16,5,2021
61,2021-06-01,511.0,491.11,6,2021
62,2021-06-02,515.0,544.49,6,2021
63,2021-06-03,517.0,515.35,6,2021
64,2021-06-04,515.0,496.9,6,2021
65,2021-06-05,365.0,429.76,6,2021
66,2021-06-06,106.0,192.42,6,2021
67,2021-06-07,608.0,542.7,6,2021
68,2021-06-08,756.0,690.48,6,2021
69,2021-06-09,751.0,707.53,6,2021
70,2021-06-10,715.0,672.3,6,2021
71,2021-06-11,708.0,654.52,6,2021
72,2021-06-12,573.0,526.36,6,2021
73,2021-06-13,212.0,332.63,6,2021
74,2021-06-14,604.0,553.51,6,2021
75,2021-06-15,700.0,627.73,6,2021
76,2021-06-16,605.0,553.51,6,2021
77,2021-06-17,559.0,502.99,6,2021
78,2021-06-18,586.0,544.42,6,2021
79,2021-06-19,337.0,340.74,6,2021
80,2021-06-20,148.0,260.36,6,2021
81,2021-06-21,632.0,614.97,6,2021
82,2021-06-22,668.0,570.4,6,2021
83,2021-06-23,601.0,553.51,6,2021
84,2021-06-24,582.0,541.17,6,2021
85,2021-06-25,613.0,610.34,6,2021
86,2021-06-26,540.0,497.11,6,2021
87,2021-06-27,187.0,302.67,6,2021
88,2021-06-28,692.0,665.06,6,2021
89,2021-06-29,635.0,604.17,6,2021
90,2021-06-30,516.0,496.9,6,2021
91,2021-07-01,537.0,514.51,7,2021
92,2021-07-02,497.0,514.51,7,2021
93,2021-07-03,506.0,477.54,7,2021
94,2021-07-04,134.0,264.94,7,2021
95,2021-07-05,545.0,523.95,7,2021
96,2021-07-06,761.0,665.79,7,2021
97,2021-07-07,834.0,720.2,7,2021
98,2021-07-08,673.0,643.59,7,2021
99,2021-07-09,660.0,628.97,7,2021
100,2021-07-10,848.0,717.13,7,2021
101,2021-07-11,350.0,405.48,7,2021
102,2021-07-12,877.0,693.55,7,2021
103,2021-07-13,867.0,823.68,7,2021
104,2021-07-14,808.0,743.22,7,2021
105,2021-07-15,818.0,716.56,7,2021
106,2021-07-16,965.0,894.97,7,2021
107,2021-07-17,850.0,701.17,7,2021
108,2021-07-18,566.0,500.07,7,2021
109,2021-07-19,1192.0,948.05,7,2021
110,2021-07-20,1151.0,948.05,7,2021
111,2021-07-21,1107.0,934.95,7,2021
112,2021-07-22,1036.0,863.29,7,2021
113,2021-07-23,1049.0,863.29,7,2021
114,2021-07-24,977.0,867.19,7,2021
115,2021-07-25,551.0,483.52,7,2021
116,2021-07-26,981.0,836.4,7,2021
117,2021-07-27,991.0,791.19,7,2021
118,2021-07-28,1183.0,894.97,7,2021
119,2021-07-29,1090.0,894.97,7,2021
120,2021-07-30,903.0,817.15,7,2021
121,2021-07-31,826.0,799.34,7,2021
122,2021-08-01,502.0,497.28,8,2021
123,2021-08-02,1116.0,948.05,8,2021
124,2021-08-03,1153.0,948.05,8,2021
125,2021-08-04,1175.0,948.05,8,2021
126,2021-08-05,1160.0,934.95,8,2021
127,2021-08-06,1182.0,948.05,8,2021
128,2021-08-07,795.0,812.44,8,2021
129,2021-08-08,389.0,440.75,8,2021
130,2021-08-09,861.0,778.07,8,2021
131,2021-08-10,1240.0,948.05,8,2021
132,2021-08-11,1032.0,913.16,8,2021
133,2021-08-12,851.0,759.85,8,2021
134,2021-08-13,651.0,645.32,8,2021
135,2021-08-14,420.0,450.32,8,2021
136,2021-08-15,109.0,232.23,8,2021
137,2021-08-16,507.0,484.78,8,2021
138,2021-08-17,646.0,624.95,8,2021
139,2021-08-18,931.0,823.67,8,2021
140,2021-08-19,1021.0,916.41,8,2021
141,2021-08-20,1032.0,863.29,8,2021
142,2021-08-21,808.0,802.03,8,2021
143,2021-08-22,441.0,490.72,8,2021
144,2021-08-23,936.0,814.46,8,2021
145,2021-08-24,944.0,858.54,8,2021
146,2021-08-25,1134.0,948.05,8,2021
147,2021-08-26,1227.0,948.05,8,2021
148,2021-08-27,1172.0,948.05,8,2021
149,2021-08-28,1087.0,869.88,8,2021
150,2021-08-29,412.0,487.14,8,2021
151,2021-08-30,1240.0,948.05,8,2021
152,2021-08-31,993.0,814.51,8,2021
153,2021-09-01,620.0,618.07,9,2021
154,2021-09-02,502.0,472.61,9,2021
