,äÓñ{ïœêîÇÃÇ›,è⁄ç◊ïœêîÇ†ÇË
0,inf,inf
1,inf,inf
2,inf,inf
3,inf,inf
4,inf,inf
5,92.61,79.85
7,inf,inf
8,inf,inf
9,inf,inf
10,7.89,16.09
11,6.35,2.77
12,12.31,4.61
14,12.08,14.13
15,9.16,1.01
16,35.02,8.12
17,47.23,6.86
18,inf,inf
19,inf,inf
20,80.3,80.0
21,inf,inf
23,inf,inf
24,inf,inf
26,85.96,83.91
27,inf,inf
28,inf,inf
29,inf,inf
31,inf,inf
32,78.84,69.89
35,6.47,33.92
37,11.31,3.92
38,24.31,3.92
39,25.21,0.11
43,81.73,75.55
45,inf,inf
46,inf,inf
47,inf,inf
48,inf,inf
49,87.55,81.53
51,inf,inf
52,inf,inf
53,inf,inf
54,inf,inf
55,58.88,76.66
56,inf,inf
57,41.31,2.45
58,25.6,0.55
59,2.34,1.19
60,0.06,4.55
61,2.89,4.71
62,8.12,7.87
64,inf,inf
65,inf,inf
66,inf,inf
67,inf,inf
68,inf,inf
69,85.42,76.64
70,inf,inf
71,inf,inf
72,inf,inf
73,inf,inf
74,inf,inf
76,inf,inf
77,inf,inf
78,inf,inf
79,inf,inf
80,inf,inf
81,84.27,87.27
84,inf,inf
85,inf,inf
89,inf,inf
91,inf,inf
94,86.26,74.83
96,inf,inf
97,inf,inf
99,inf,inf
100,84.71,75.17
101,inf,inf
103,inf,inf
104,69.06,80.14
108,45.17,13.05
109,54.99,26.86
110,26.2,43.79
112,22.01,51.45
114,inf,inf
115,inf,inf
117,inf,inf
119,inf,inf
120,inf,inf
121,inf,inf
122,inf,inf
124,81.25,83.79
125,inf,inf
126,inf,inf
127,inf,inf
129,inf,inf
130,16.13,59.54
131,inf,inf
133,inf,inf
134,inf,inf
135,inf,inf
136,17.65,65.74
137,inf,inf
138,inf,inf
139,inf,inf
142,77.66,79.63
143,inf,inf
145,inf,inf
146,inf,inf
148,87.22,85.87
149,inf,inf
150,inf,inf
151,inf,inf
152,inf,inf
153,inf,inf
154,37.64,22.46
155,42.79,10.56
157,3.03,10.41
158,17.5,34.29
161,inf,inf
162,inf,inf
163,82.22,82.21
164,inf,inf
165,inf,inf
166,inf,inf
168,inf,inf
169,82.07,74.48
170,inf,inf
173,inf,inf
174,inf,inf
175,69.69,84.99
176,inf,inf
177,inf,inf
180,17.44,7.09
181,25.77,22.6
184,43.73,25.09
186,inf,inf
187,inf,inf
188,inf,inf
192,inf,inf
194,inf,inf
195,inf,inf
196,inf,inf
198,inf,inf
199,inf,inf
200,inf,inf
201,inf,inf
202,inf,inf
204,inf,inf
205,27.13,83.76
206,47.52,18.55
207,6.64,40.64
208,3.39,47.77
211,inf,inf
212,inf,inf
213,68.02,70.01
214,inf,inf
216,inf,inf
218,inf,inf
219,67.5,60.09
220,inf,inf
222,inf,inf
224,inf,inf
225,51.53,20.9
226,32.95,22.63
227,12.96,37.62
229,36.08,43.11
230,30.79,29.17
231,15.05,58.87
232,6.71,47.26
233,56.18,24.17
234,inf,inf
237,inf,inf
239,inf,inf
240,inf,inf
241,inf,inf
242,inf,inf
243,inf,inf
244,88.21,83.31
245,inf,inf
246,inf,inf
247,inf,inf
249,inf,inf
250,48.48,64.83
251,inf,inf
252,inf,inf
254,inf,inf
257,inf,inf
262,inf,inf
264,inf,inf
265,inf,inf
266,inf,inf
267,inf,inf
268,inf,inf
270,inf,inf
271,inf,inf
273,inf,inf
275,20.26,66.02
276,inf,inf
278,inf,inf
279,inf,inf
280,inf,inf
281,12.41,39.47
282,inf,inf
284,inf,inf
285,inf,inf
286,inf,inf
287,70.35,83.24
288,inf,inf
289,inf,inf
290,inf,inf
293,84.65,77.56
294,inf,inf
297,inf,inf
298,inf,inf
299,23.09,64.0
300,inf,inf
301,inf,inf
303,inf,inf
304,inf,inf
305,133.31,76.14
307,inf,inf
309,inf,inf
312,inf,inf
313,inf,inf
314,inf,inf
315,inf,inf
316,inf,inf
318,inf,inf
319,inf,inf
320,inf,inf
322,82.75,86.09
323,70.36,65.95
325,6.19,1.05
330,inf,inf
331,inf,inf
332,81.5,80.09
334,inf,inf
335,inf,inf
336,inf,inf
337,inf,inf
338,78.62,84.11
339,inf,inf
340,inf,inf
341,inf,inf
342,inf,inf
343,inf,inf
345,inf,inf
348,inf,inf
349,57.45,6.7
350,13.42,37.69
352,31.51,36.89
353,11.9,47.42
354,inf,inf
355,inf,inf
356,inf,inf
357,inf,inf
358,inf,inf
359,84.52,71.66
360,inf,inf
361,inf,inf
362,inf,inf
366,inf,inf
368,inf,inf
369,inf,inf
371,25.23,40.58
372,inf,inf
374,inf,inf
375,inf,inf
376,inf,inf
379,inf,inf
382,inf,inf
383,inf,inf
384,83.64,79.88
385,inf,inf
386,inf,inf
388,inf,inf
389,inf,inf
390,81.12,79.37
391,inf,inf
393,inf,inf
394,inf,inf
395,inf,inf
396,3.7,67.08
399,inf,inf
402,74.06,67.78
403,inf,inf
404,inf,inf
405,inf,inf
406,inf,inf
408,58.82,52.99
410,inf,inf
411,inf,inf
413,inf,inf
414,81.2,75.21
415,inf,inf
418,inf,inf
419,inf,inf
420,79.18,66.15
421,inf,inf
422,inf,inf
423,inf,inf
424,inf,inf
426,89.51,64.19
427,inf,inf
428,inf,inf
431,inf,inf
433,75.36,75.31
434,inf,inf
435,inf,inf
436,inf,inf
437,inf,inf
438,inf,inf
440,inf,inf
441,inf,inf
442,inf,inf
443,inf,inf
444,inf,inf
445,27.69,53.68
446,2.72,26.42
447,0.65,24.39
448,42.84,20.38
449,15.26,26.71
450,inf,inf
451,inf,inf
453,inf,inf
455,81.11,83.42
456,inf,inf
457,inf,inf
459,inf,inf
460,inf,inf
462,inf,inf
464,inf,inf
465,14.13,17.4
466,51.74,52.09
467,45.21,42.35
468,8.79,5.97
469,12.04,2.76
470,14.98,8.52
471,13.3,7.68
473,0.99,9.59
474,4.88,69.24
475,inf,inf
476,inf,inf
478,inf,inf
479,inf,inf
480,86.63,77.76
481,inf,inf
482,inf,inf
483,inf,inf
484,inf,inf
485,inf,inf
486,34.21,59.16
487,inf,inf
488,inf,inf
489,8.67,7.79
490,2.71,1.21
491,2.33,6.57
492,3.07,3.1
494,22.74,19.38
496,13.37,1.93
497,17.35,10.11
498,6.25,61.84
499,inf,inf
500,inf,inf
505,inf,inf
506,inf,inf
508,inf,inf
509,inf,inf
510,70.45,71.22
516,5.79,5.62
517,2.34,1.38
518,14.4,14.73
519,4.25,6.62
522,inf,inf
523,91.4,84.6
525,inf,inf
526,inf,inf
527,inf,inf
528,inf,inf
529,85.67,84.0
530,inf,inf
531,inf,inf
532,inf,inf
536,inf,inf
537,41.52,16.16
538,6.59,13.01
540,32.39,7.56
542,12.49,12.4
543,27.21,12.13
544,25.32,0.5
545,42.72,4.5
546,inf,inf
547,inf,inf
548,inf,inf
551,inf,inf
552,inf,inf
553,inf,inf
555,inf,inf
558,inf,inf
559,inf,inf
560,inf,inf
561,18.02,31.18
562,19.85,12.7
563,13.17,14.59
565,15.83,13.36
566,13.67,7.91
568,15.62,1.63
571,inf,inf
572,inf,inf
574,74.7,83.11
577,inf,inf
578,inf,inf
579,inf,inf
580,86.0,84.66
583,inf,inf
584,inf,inf
585,inf,inf
588,inf,inf
589,inf,inf
591,inf,inf
592,69.5,73.46
594,inf,inf
595,inf,inf
596,inf,inf
597,inf,inf
598,73.07,65.62
599,inf,inf
600,inf,inf
601,inf,inf
602,inf,inf
604,80.19,66.76
606,inf,inf
608,inf,inf
611,inf,inf
612,inf,inf
614,inf,inf
615,inf,inf
618,inf,inf
619,inf,inf
620,inf,inf
621,inf,inf
622,82.6,76.15
623,inf,inf
624,inf,inf
625,inf,inf
627,inf,inf
630,inf,inf
631,inf,inf
632,inf,inf
633,inf,inf
636,41.85,7.5
638,32.13,1.93
639,36.14,8.29
641,46.03,7.7
643,69.74,78.26
645,inf,inf
646,inf,inf
647,inf,inf
648,inf,inf
649,87.84,82.53
650,inf,inf
651,inf,inf
652,inf,inf
654,inf,inf
655,108.72,74.43
656,inf,inf
657,38.76,33.7
659,9.93,1.69
661,25.23,19.94
662,24.98,18.29
667,inf,inf
669,inf,inf
671,84.14,80.62
672,inf,inf
673,inf,inf
674,inf,inf
676,inf,inf
677,79.63,74.44
678,inf,inf
680,inf,inf
681,9.35,7.3
682,5.7,7.66
683,10.52,11.14
684,13.83,10.36
685,8.72,8.39
686,18.68,10.77
689,0.07,3.21
691,inf,inf
693,82.54,68.18
694,inf,inf
695,inf,inf
696,inf,inf
697,inf,inf
698,inf,inf
699,84.95,80.01
700,inf,inf
701,inf,inf
702,inf,inf
704,77.72,58.6
705,0.25,5.67
706,11.78,4.22
707,9.8,7.43
708,12.07,1.83
709,1.29,0.26
710,0.87,0.32
711,4.77,0.49
713,10.86,6.51
715,inf,inf
716,inf,inf
717,inf,inf
718,inf,inf
719,inf,inf
720,86.98,78.82
722,inf,inf
723,inf,inf
724,inf,inf
726,79.13,74.48
729,3.11,15.58
730,4.76,6.59
732,9.16,11.62
735,24.98,4.79
737,15.17,23.08
738,26.81,68.5
739,inf,inf
740,inf,inf
742,inf,inf
743,inf,inf
745,inf,inf
747,inf,inf
