,äÓñ{ïœêîÇÃÇ›,è⁄ç◊ïœêîÇ†ÇË
6,inf,inf
13,inf,inf
22,inf,inf
25,inf,inf
30,inf,inf
33,inf,inf
34,inf,inf
36,inf,inf
40,inf,inf
41,inf,inf
42,inf,inf
44,inf,inf
50,inf,inf
63,70.54,48.06
75,inf,inf
82,92.05,24.22
83,24.33,6.57
86,61.35,38.35
87,59.33,11.44
88,80.72,48.43
90,inf,inf
92,80.54,1.42
93,inf,inf
95,inf,inf
98,inf,inf
102,112.22,6.53
105,inf,inf
106,inf,inf
107,inf,inf
111,41.37,140.74
113,inf,inf
116,inf,inf
118,inf,inf
123,inf,inf
128,inf,inf
132,inf,inf
140,inf,inf
141,92.26,50.18
144,inf,inf
147,inf,inf
156,inf,inf
159,inf,inf
160,inf,inf
167,inf,inf
171,94.43,10.23
172,inf,inf
178,inf,inf
179,inf,inf
182,inf,inf
183,inf,inf
185,inf,inf
189,inf,inf
190,inf,inf
191,115.1,46.16
193,inf,inf
197,inf,inf
203,inf,inf
209,inf,inf
210,65.64,76.53
215,inf,inf
217,inf,inf
221,inf,inf
223,inf,inf
228,inf,inf
235,84.35,28.32
236,96.31,37.17
238,inf,inf
248,inf,inf
253,inf,inf
255,inf,inf
256,inf,inf
258,inf,inf
259,114.66,71.33
260,inf,inf
261,inf,inf
263,inf,inf
269,99.18,8.13
272,inf,inf
274,inf,inf
277,inf,inf
283,inf,inf
291,inf,inf
292,inf,inf
295,inf,inf
296,inf,inf
302,inf,inf
306,inf,inf
308,99.82,8.1
310,inf,inf
311,inf,inf
317,inf,inf
321,inf,inf
324,inf,inf
326,inf,inf
327,inf,inf
328,104.24,126.87
329,inf,inf
333,inf,inf
344,inf,inf
346,inf,inf
347,106.31,71.25
351,inf,inf
363,inf,inf
364,inf,inf
365,inf,inf
367,109.72,122.02
370,inf,inf
373,inf,inf
377,54.59,114.86
378,inf,inf
380,inf,inf
381,inf,inf
387,100.29,26.03
392,inf,inf
397,125.01,24.28
398,inf,inf
400,inf,inf
401,inf,inf
407,86.19,7.86
409,inf,inf
412,inf,inf
416,44.73,48.81
417,inf,inf
425,inf,inf
429,inf,inf
430,inf,inf
432,inf,inf
439,inf,inf
452,inf,inf
454,inf,inf
458,inf,inf
461,inf,inf
463,inf,inf
472,inf,inf
477,inf,inf
493,inf,inf
495,61.46,114.42
501,inf,inf
502,inf,inf
503,inf,inf
504,inf,inf
507,inf,inf
511,inf,inf
512,inf,inf
513,inf,inf
514,inf,inf
515,51.9,68.04
520,inf,inf
521,inf,inf
524,91.77,3.25
533,inf,inf
534,93.49,14.45
535,inf,inf
539,inf,inf
541,inf,inf
549,inf,inf
550,inf,inf
554,106.41,13.07
556,inf,inf
557,inf,inf
564,96.7,100.32
567,inf,inf
569,inf,inf
570,inf,inf
573,86.23,34.23
575,inf,inf
576,inf,inf
581,inf,inf
582,inf,inf
586,inf,inf
587,inf,inf
590,inf,inf
593,27.94,90.1
603,94.14,3.77
605,inf,inf
607,inf,inf
609,inf,inf
610,inf,inf
613,133.48,81.85
616,inf,inf
617,inf,inf
626,inf,inf
628,inf,inf
629,inf,inf
634,inf,inf
635,inf,inf
637,inf,inf
640,inf,inf
642,143.39,62.06
644,inf,inf
653,inf,inf
658,inf,inf
660,inf,inf
663,inf,inf
664,inf,inf
665,inf,inf
666,inf,inf
668,inf,inf
670,inf,inf
675,inf,inf
679,inf,inf
687,inf,inf
688,inf,inf
690,inf,inf
692,inf,inf
703,inf,inf
712,inf,inf
714,inf,inf
721,99.32,22.77
725,inf,inf
727,inf,inf
728,inf,inf
731,inf,inf
733,inf,inf
734,inf,inf
736,inf,inf
741,inf,inf
744,inf,inf
746,inf,inf
755,inf,inf
762,inf,inf
770,127.59,2.69
771,inf,inf
783,inf,inf
784,inf,inf
785,inf,inf
789,92.64,118.81
795,inf,inf
796,inf,inf
805,inf,inf
808,inf,inf
809,57.56,97.36
810,inf,inf
811,inf,inf
819,98.84,10.89
820,inf,inf
823,inf,inf
828,107.26,71.4
829,inf,inf
831,inf,inf
833,inf,inf
838,76.8,15.37
843,inf,inf
846,inf,inf
847,inf,inf
848,134.06,53.64
849,inf,inf
854,inf,inf
856,inf,inf
871,inf,inf
875,inf,inf
876,inf,inf
886,inf,inf
887,100.0,22.32
888,inf,inf
892,inf,inf
900,inf,inf
901,inf,inf
902,inf,inf
904,inf,inf
908,inf,inf
909,inf,inf
911,inf,inf
912,inf,inf
913,inf,inf
918,inf,inf
921,inf,inf
923,inf,inf
928,inf,inf
931,inf,inf
938,inf,inf
941,inf,inf
947,inf,inf
950,inf,inf
953,inf,inf
955,inf,inf
958,inf,inf
961,inf,inf
963,inf,inf
964,inf,inf
965,inf,inf
970,inf,inf
976,85.58,96.75
977,inf,inf
980,inf,inf
983,inf,inf
985,96.87,0.14
986,inf,inf
988,inf,inf
989,inf,inf
992,inf,inf
995,65.24,98.3
996,inf,inf
997,inf,inf
1000,inf,inf
1006,inf,inf
1009,inf,inf
1013,inf,inf
1015,90.96,60.8
1016,inf,inf
1017,inf,inf
1018,inf,inf
1019,inf,inf
1027,inf,inf
1030,inf,inf
1031,inf,inf
1032,inf,inf
1033,inf,inf
1036,inf,inf
1047,inf,inf
1051,inf,inf
1053,inf,inf
1054,92.92,20.82
1056,inf,inf
1058,inf,inf
1060,inf,inf
1064,136.85,24.13
1066,inf,inf
1069,inf,inf
1071,inf,inf
1072,inf,inf
1076,inf,inf
1077,inf,inf
1079,inf,inf
1080,inf,inf
1085,inf,inf
1088,inf,inf
1092,inf,inf
1098,inf,inf
1101,inf,inf
1112,inf,inf
1114,inf,inf
1132,inf,inf
1142,50.37,41.83
1144,14.29,60.6
1151,inf,inf
1152,inf,inf
1154,inf,inf
1156,98.97,6.56
1158,inf,inf
1161,inf,inf
1162,46.87,76.72
1165,53.72,84.01
1168,7.75,54.06
1169,10.06,66.43
1173,inf,inf
1174,inf,inf
1176,inf,inf
1179,inf,inf
1184,inf,inf
1188,inf,inf
1189,inf,inf
1194,inf,inf
1197,inf,inf
1199,inf,inf
1207,inf,inf
1213,92.52,71.13
1216,inf,inf
1218,inf,inf
1224,85.92,18.97
1238,inf,inf
1239,inf,inf
1244,inf,inf
1245,99.45,17.28
1249,inf,inf
1251,inf,inf
1252,inf,inf
1254,inf,inf
1265,inf,inf
1276,inf,inf
1277,96.63,2.2
1280,inf,inf
1286,55.23,52.35
1288,33.78,10.22
1290,56.45,60.1
1293,inf,inf
1294,inf,inf
1295,inf,inf
1296,inf,inf
1300,92.42,7.02
1301,inf,inf
1302,inf,inf
1305,64.91,41.87
1308,20.56,40.05
1314,inf,inf
1319,inf,inf
1320,inf,inf
1330,40.63,40.25
1331,9.46,15.08
1336,51.56,33.74
1337,50.76,30.53
1341,inf,inf
1347,inf,inf
1348,inf,inf
1351,60.66,12.26
1358,2.93,10.95
