,ÉfÅ[É^
0,3522
1,10766
2,3824
3,10307
4,3603
5,2825
6,2479
7,1840
8,10520
9,2203
10,2518
11,3011
12,2138
13,3198
14,3012
15,1739
16,3362
17,3674
18,3833
19,3595
20,3156
21,2137
22,3482
23,10838
24,1830
25,10474
26,3704
27,3766
28,2109
29,3602
30,3105
31,3631
32,1474
33,2963
34,3329
35,10557
36,2127
37,1866
38,2349
39,1856
40,10900
41,2713
42,3017
43,1538
44,3416
45,10917
46,10573
47,3635
48,1883
49,3871
50,1993
51,1928
52,10661
53,4078
54,3731
55,2277
56,10640
57,4113
58,1767
59,3432
60,2224
61,2132
62,3055
63,3294
64,4267
65,10830
66,4285
67,1709
68,2152
69,2795
70,4056
71,4361
72,3383
73,10689
74,2391
75,10288
76,2965
77,4063
78,3361
79,3450
80,10303
81,2719
82,1902
83,10685
84,10329
85,1615
86,2336
87,1576
88,2683
89,2159
90,2283
91,3473
92,3646
93,1783
94,3384
95,2742
96,2324
97,3551
98,3857
99,2917
100,4083
101,3721
102,4240
103,1560
104,1470
105,1639
106,3969
107,1845
108,2404
109,10932
110,3447
111,3137
112,2836
113,3016
114,4133
115,2275
116,3474
117,4165
118,4044
119,3628
120,2558
121,10727
122,4138
123,1573
124,2064
125,3545
126,3427
127,3399
128,4116
129,2521
130,10507
131,10711
132,10894
133,3092
134,1608
135,2537
136,1670
137,2033
138,3937
139,3484
140,2958
141,1857
142,2608
143,3954
144,4362
145,10920
146,1510
147,10413
148,2577
149,2171
150,1821
151,1882
152,4286
153,1964
154,10719
155,3218
156,3902
157,10273
158,2739
159,10256
160,2654
161,2049
162,3526
163,1890
164,3036
165,3317
166,4176
167,1541
168,2413
169,3238
170,10354
171,3756
172,2647
173,10590
174,10427
175,3794
176,3062
177,4213
178,2062
179,10359
180,3782
181,10462
182,3827
183,10722
184,2701
185,2048
186,2915
187,10505
188,3790
189,3200
190,2724
191,2655
192,3884
193,1660
194,10756
195,1705
196,3685
197,2525
198,2242
199,10941
200,3345
201,3250
202,10568
203,4370
204,3984
205,3758
206,4311
207,2726
208,10923
209,2021
210,10659
211,2050
212,10742
213,10720
214,3328
215,1953
216,3093
217,10912
218,3497
219,2960
220,2081
221,3227
222,4049
223,3246
224,3879
225,10477
226,3313
227,10497
228,2757
229,1747
230,10937
231,2337
232,4215
233,1727
234,2421
235,2484
236,3828
237,3604
238,10913
239,3147
240,3648
241,2296
242,10797
243,3462
244,3443
245,1864
246,10254
247,3026
248,2358
249,1493
250,3086
251,10511
252,10774
253,1501
254,3404
255,4158
256,3007
257,3904
258,3085
259,3184
260,2996
261,2555
262,3860
263,2727
264,10547
265,1483
266,10503
267,4087
268,10592
269,2822
270,2478
271,3269
272,2709
273,3708
274,10895
275,10768
276,10292
277,1934
278,2861
279,2624
280,4387
281,3451
282,10630
283,2085
284,3719
285,3493
286,3805
287,4366
288,2357
289,2157
290,10680
291,2200
292,1987
293,1762
294,3411
295,1559
296,1887
297,3249
298,10658
299,10915
300,10299
301,2747
302,4110
303,2367
304,10940
305,3801
306,2676
307,4372
308,3301
309,1532
310,2532
311,10412
312,2315
313,2415
314,2429
315,3321
316,10535
317,3504
318,10489
319,2255
320,3986
321,3858
322,3380
323,2948
324,10386
325,10669
326,1941
327,2630
328,1680
329,2144
330,10315
331,3222
332,2746
333,2156
334,2123
335,2678
336,2274
337,4377
338,1668
339,2422
340,3895
341,2985
342,3542
343,2326
344,10536
345,3838
346,3402
347,3703
348,3124
349,2393
350,3944
351,2973
352,3490
353,3491
354,4272
355,2610
356,2229
357,1577
358,10455
359,1746
360,3558
361,2195
362,3300
363,4055
364,10496
365,1611
366,2982
367,1778
368,2379
369,10759
370,2076
371,10368
372,2669
373,4356
374,1779
375,2218
376,10730
377,10375
378,2516
379,3059
380,3263
381,3133
382,4012
383,3584
384,2751
385,3502
386,3348
387,3925
388,3970
389,2934
390,10670
391,2578
392,1763
393,3302
394,10684
395,10280
396,2562
397,4284
398,1564
399,3842
400,3214
401,2040
402,10244
403,2100
404,3777
405,10821
406,1558
407,2232
408,4239
409,2126
410,10880
411,3425
412,3114
413,2966
414,4032
415,2643
416,10598
417,2716
418,4070
419,2970
420,10609
421,2870
422,10805
423,10492
424,10305
425,10361
426,1497
427,3566
428,3544
429,2401
430,10782
431,1687
432,3992
433,2371
434,2941
435,2777
436,10357
437,3775
438,3034
439,3699
440,1618
441,10451
442,2782
443,1827
444,4014
445,4306
446,2943
447,3994
448,10639
449,4265
450,2309
451,10862
452,2261
453,1507
454,3896
455,2853
456,3578
457,2080
458,2877
459,3570
460,10229
461,10760
462,2846
463,2596
464,3108
465,10525
466,10559
467,2912
468,2292
469,2768
470,10629
471,4373
472,2946
473,1991
474,10338
475,3642
476,1861
477,1512
478,10632
479,3726
480,2531
481,4233
482,2609
483,10935
484,1921
485,3987
486,1885
487,10549
488,4118
489,2095
490,2674
491,1562
492,1628
493,3091
494,10355
495,4389
496,2904
497,3914
498,2499
499,3268
500,10388
501,3935
502,3061
503,4312
504,10322
505,2955
506,2065
507,4237
508,10372
509,2342
510,1907
511,3724
512,10732
513,10265
514,3753
515,1476
516,4218
517,10258
518,3891
519,10493
520,3814
521,3264
522,3275
523,2301
524,2020
525,4157
526,10594
527,1838
528,2599
529,10650
530,3946
531,1527
532,2428
533,1996
534,2213
535,3647
536,4033
537,10718
538,3866
539,10580
540,3681
541,1567
542,3820
543,3155
544,3754
545,3028
546,10908
547,3075
548,10341
549,2148
550,3627
551,2694
552,10817
553,10824
554,2180
555,2806
556,3520
557,1722
558,2087
559,4230
560,4295
561,1523
562,1683
563,3437
564,10748
565,2131
566,10421
567,2430
568,2102
569,1641
570,10916
571,10588
572,10734
573,1986
574,2439
575,4317
576,10469
577,2059
578,3737
579,10651
580,10370
581,3765
582,10255
583,1734
584,2839
585,10509
586,3663
587,4305
588,4297
589,3905
590,2300
591,2122
592,2977
593,10747
594,3892
595,2752
596,2922
597,1677
598,3106
599,10523
600,10676
601,10251
602,10668
