,ÉfÅ[É^
0,7238
1,14995
2,8944
3,8376
4,5670
5,13584
6,7085
7,1314
8,11828
9,6788
10,8413
11,6180
12,15868
13,2237
14,2178
15,6183
16,9786
17,8302
18,2690
19,14858
20,1713
21,7596
22,14039
23,3213
24,7443
25,4038
26,962
27,13586
28,2890
29,6526
30,14706
31,6435
32,6813
33,4376
34,615
35,2902
36,5124
37,11095
38,12849
39,11567
40,5593
41,15856
42,3464
43,6240
44,8512
45,13483
46,8532
47,17263
48,2973
49,5543
50,8425
51,1261
52,3874
53,4507
54,12984
55,2712
56,1904
57,4659
58,7706
59,4211
60,9066
61,14651
62,4843
63,9159
64,656
65,6722
66,11409
67,1646
68,9423
69,558
70,17031
71,7383
72,15556
73,1606
74,3117
75,395
76,9568
77,3332
78,950
79,10528
80,6997
81,11548
82,16497
83,1685
84,1246
85,14749
86,13112
87,9776
88,7608
89,6456
90,5151
91,7312
92,15420
93,3768
94,13830
95,14054
96,16641
97,16417
98,14786
99,15956
100,1889
101,3555
102,11380
103,15013
104,3493
105,13309
106,11431
107,1572
108,3563
109,87
110,9163
111,4205
112,1432
113,2896
114,12280
115,8389
116,15538
117,3668
118,9002
119,6205
120,13695
121,14325
122,6391
123,7612
124,8607
125,8418
126,3354
127,391
128,2556
129,5201
130,9848
131,3734
132,2073
133,483
134,1175
135,13991
136,11157
137,1962
138,862
139,14011
140,6986
141,15775
142,13399
143,3434
144,5906
145,10545
146,13080
147,4385
148,16653
149,7831
150,10197
151,9525
152,1657
153,14608
154,1005
155,9560
156,10374
157,1351
158,4676
159,11419
160,15229
161,14012
162,4603
163,12258
164,8945
165,9696
166,844
167,16380
168,14702
169,7041
170,15828
171,1643
172,13323
173,16429
174,14915
175,704
176,14294
177,7098
178,14207
179,15902
180,11248
181,4872
182,3034
183,15980
184,12722
185,10732
186,11507
187,11488
188,3675
189,9606
190,8393
191,17283
192,15503
193,2970
194,11501
195,16705
196,16100
197,12254
198,8141
199,9158
200,2994
201,15677
202,6678
203,11576
204,7034
205,5067
206,11595
207,16031
208,13599
209,17413
210,4108
211,12185
212,10930
213,9893
214,13451
215,1295
216,8819
217,15227
218,2448
219,303
220,13509
221,8286
222,4333
223,17438
224,4171
225,13328
226,7588
227,9143
228,5377
229,6945
230,8409
231,9855
232,10657
233,11478
234,10521
235,2054
236,6162
237,5698
238,2472
239,4913
240,14838
241,6134
242,16912
243,12708
244,7285
245,5091
246,5921
247,16066
248,11774
249,8437
250,7719
251,12917
252,14188
253,63
254,10961
255,7257
256,10510
257,10112
258,5223
259,11971
260,4173
261,8824
262,17223
263,667
264,11450
265,7984
266,4758
267,1997
268,6278
269,16458
270,3811
271,1302
272,11182
273,10131
274,10484
275,4918
276,309
277,12143
278,665
279,2439
280,17022
281,14060
282,15958
283,1444
284,11233
285,3740
286,16999
287,6375
288,9967
289,607
290,3892
291,4364
292,17428
293,1890
294,6220
295,5700
296,1135
297,9123
298,6313
299,2214
300,1400
301,5307
302,10442
303,9575
304,13065
305,16305
306,6216
307,13275
308,11439
309,10903
310,5054
311,12819
312,8738
313,10956
314,4046
315,8723
316,15470
317,12814
318,5176
319,831
320,14219
321,12129
322,14218
323,550
324,1118
325,2787
326,13366
327,15978
328,4685
329,5075
330,4762
331,8054
332,908
333,3487
334,7689
335,13857
336,8183
337,11055
338,15493
339,6848
340,1622
341,10385
342,15328
343,6143
344,7183
345,15318
346,889
347,9546
348,6984
349,3136
350,9073
351,9103
352,14834
353,11951
354,1237
355,984
356,7258
357,9793
358,6127
359,7711
360,10281
361,15453
362,7756
363,10943
364,13206
365,11381
366,8708
367,1063
368,3390
369,16323
370,6935
371,8670
372,5142
373,10133
374,7513
375,6177
376,9997
377,4300
378,3545
379,971
380,1409
381,5511
382,15928
383,1466
384,9897
385,9620
386,17448
387,3188
388,2291
389,2959
390,2213
391,515
392,15582
393,7666
394,7996
395,6562
396,10834
397,14992
398,6429
399,15508
400,14545
401,7539
402,10214
403,13184
404,2347
405,10883
406,11467
407,1084
408,6652
409,15541
410,9769
411,13856
412,13700
413,9054
414,14491
415,9152
416,2209
417,16751
418,7704
419,12053
420,1267
421,8470
422,11554
423,2743
424,1649
425,1480
426,6537
427,2757
428,10107
429,12260
430,17188
431,192
432,84
433,12154
434,1508
435,12608
436,2118
437,263
438,1971
439,3729
440,16597
441,8713
442,2632
443,4518
444,377
445,7729
446,2643
447,891
448,11965
449,8500
450,13827
451,2908
452,4363
453,8
454,1814
455,13404
456,16264
457,2105
458,9295
459,1052
460,14656
461,10602
462,2319
463,7224
464,6142
465,13877
466,12114
467,12932
468,16533
469,1004
470,9029
471,10257
472,943
473,3935
474,17021
475,11900
476,13588
477,2315
478,7552
479,2608
480,13730
481,16282
482,2493
483,7214
484,7399
485,3077
486,17317
487,7558
488,11250
489,16080
490,3897
491,6985
492,3073
493,3011
494,431
495,13214
496,13419
497,11840
498,1048
499,7273
500,10366
501,4414
502,2335
503,17153
504,8110
505,668
506,12265
507,12561
508,3020
509,7564
510,15794
511,6401
512,15515
513,750
514,7018
515,15249
516,5687
517,7206
518,16309
519,7483
520,6154
521,14516
522,14488
523,6870
524,17247
525,7319
526,3343
527,8403
528,14863
529,10143
530,3952
531,603
532,390
533,10895
534,177
535,9949
536,2241
537,6257
538,12043
539,3465
540,1413
541,7929
542,269
543,8527
544,13014
545,10842
546,10118
547,2468
548,5440
549,6266
550,16532
551,5847
552,17391
553,8433
