,ÉfÅ[É^
0,1015
1,140
2,2858
3,1320
4,400
5,1536
6,2578
7,616
8,209
9,2906
10,813
11,2621
12,143
13,4139
14,2797
15,1176
16,2316
17,2317
18,4154
19,285
20,2248
21,717
22,806
23,4363
24,1270
25,2175
26,3924
27,1437
28,2744
29,1205
30,1848
31,4267
32,127
33,714
34,3991
35,1975
36,1522
37,1219
38,336
39,2969
40,2479
41,2737
42,403
43,2044
44,2411
45,1072
46,1089
47,3647
48,577
49,1165
50,1937
51,2147
52,273
53,3150
54,3410
55,2250
56,412
57,2052
58,2348
59,3478
60,3171
61,3825
62,161
63,3403
64,3792
65,439
66,632
67,167
68,4337
69,947
70,2681
71,3201
72,286
73,4221
74,4194
75,1288
76,1057
77,3357
78,1790
79,561
80,61
81,3506
82,4333
83,3945
84,2801
85,1180
86,432
87,241
88,3978
89,785
90,3876
91,3100
92,1807
93,2305
94,1903
95,2700
96,296
97,2909
98,1801
99,2960
100,2458
101,239
102,1970
103,232
104,3932
105,1562
106,3657
107,4256
108,2688
109,1243
110,3328
111,1074
112,3549
113,3645
114,4255
115,2056
116,1006
117,1051
118,2513
119,795
120,936
121,1936
122,757
123,1749
124,3986
125,1427
126,3288
127,1780
128,1862
129,256
130,1653
131,3880
132,2664
133,3239
134,108
135,2725
136,3553
137,3624
138,595
139,3013
140,3644
141,700
142,1509
143,4263
144,2307
145,4052
146,4206
147,2035
148,1787
149,3706
150,1932
151,2085
152,906
153,2668
154,1059
155,3037
156,3758
157,2383
158,2306
159,34
160,1169
161,3599
162,991
163,1740
164,3714
165,3091
166,3072
167,692
168,4101
169,1140
170,3108
171,869
172,4316
173,2195
174,1122
175,3447
176,4168
177,2285
178,3039
179,4372
180,3443
181,3424
182,3304
183,1779
184,2097
185,1830
186,79
187,2718
188,1380
189,3826
190,3096
191,3935
192,651
193,3763
194,3316
195,982
196,3814
197,1569
198,1446
199,4285
200,945
201,1295
202,1346
203,2517
204,2502
205,2432
206,876
207,2676
208,1773
209,1391
210,1796
211,1785
212,3505
213,3067
214,836
215,2649
216,3462
217,487
218,3661
219,2593
220,782
221,2071
222,28
223,758
224,969
225,544
226,4160
227,824
228,4020
229,688
230,747
231,793
232,1651
233,3241
234,2520
235,920
236,2865
237,110
238,24
239,2514
240,1859
241,1345
242,2375
243,3650
244,2104
245,1432
246,1052
247,1698
248,3159
249,3289
250,2577
251,2768
252,4128
253,3413
254,1344
255,1949
256,3281
257,1719
258,838
259,2310
260,3525
261,3604
262,3961
263,1815
264,2912
265,1137
266,152
267,311
268,4143
269,3080
270,3571
271,939
272,146
273,827
274,200
275,131
276,1399
277,1240
278,776
279,4133
280,4016
281,1915
282,3937
283,1879
284,3693
285,1946
286,1685
287,3086
288,2576
289,4284
290,2467
291,2404
292,2981
293,1683
294,2188
295,3980
296,1595
297,2652
298,3777
299,752
300,3845
301,2496
302,2515
303,3373
304,3356
305,3330
306,3206
307,1895
308,3993
