,äÓñ{ïœêîÇÃÇ›,+ê›íËâ∑ìx,+ãÛí≤â“ì≠éûä‘,ëSïœêîÇ†ÇË
1,96.75,94.15,4.99,11.8
6,inf,inf,inf,inf
8,inf,inf,inf,inf
10,inf,inf,inf,inf
13,3.11,50.78,55.41,4.45
16,5.63,16.01,22.2,19.79
21,7.18,8.9,21.28,44.68
33,inf,inf,inf,inf
35,46.75,12.82,22.56,10.09
39,94.08,90.39,116.12,139.1
41,179.74,128.57,126.05,123.45
42,130.41,75.87,77.68,75.04
44,4.22,15.99,24.96,15.29
49,inf,inf,inf,inf
53,inf,inf,inf,inf
55,inf,inf,inf,inf
59,106.81,45.27,14.57,1.43
64,inf,inf,inf,inf
67,26.71,51.97,10.0,10.52
69,inf,inf,inf,inf
70,inf,inf,inf,inf
74,inf,inf,inf,inf
77,inf,inf,inf,inf
82,inf,inf,inf,inf
83,67.28,72.18,6.29,7.07
90,1.74,1.84,26.6,26.44
94,79.39,88.94,24.1,7.3
95,inf,inf,inf,inf
99,inf,inf,inf,inf
102,92.92,84.67,4.57,0.31
104,46.72,46.66,5.39,4.04
105,5.67,27.38,31.92,30.45
107,31.76,45.21,15.48,25.21
110,41.82,1.34,20.95,10.71
113,inf,inf,inf,inf
117,inf,inf,inf,inf
125,inf,inf,inf,inf
127,inf,inf,inf,inf
132,31.0,31.73,49.09,9.81
133,18.86,58.77,13.15,19.89
134,103.63,17.22,102.46,62.9
137,26.14,52.42,36.29,46.7
141,inf,inf,inf,inf
143,inf,inf,inf,inf
158,23.21,12.32,18.04,4.84
159,19.51,41.47,34.33,38.23
161,36.0,39.08,32.86,46.87
162,54.74,18.6,39.07,26.7
164,inf,inf,inf,inf
168,inf,inf,inf,inf
172,inf,inf,inf,inf
177,57.59,125.38,65.63,82.31
184,15.53,10.92,19.89,0.24
190,inf,inf,inf,inf
191,inf,inf,inf,inf
195,inf,inf,inf,inf
197,93.44,98.34,2.88,11.82
198,inf,inf,inf,inf
200,inf,inf,inf,inf
202,78.77,53.47,31.38,45.54
208,35.96,48.51,33.59,40.51
209,40.62,50.86,44.78,53.27
211,18.67,3.78,8.25,0.85
215,inf,inf,inf,inf
220,inf,inf,inf,inf
226,inf,inf,inf,inf
228,71.94,70.69,58.66,63.56
230,14.86,6.16,2.87,17.78
242,inf,inf,inf,inf
246,inf,inf,inf,inf
248,inf,inf,inf,inf
249,inf,inf,inf,inf
251,18.83,6.82,42.64,29.63
256,45.7,43.82,38.97,38.38
259,20.58,20.24,46.37,31.44
265,inf,inf,inf,inf
268,inf,inf,inf,inf
280,28.46,29.99,37.82,32.39
281,36.92,20.21,21.78,6.79
283,62.59,50.31,30.8,27.38
284,24.56,29.25,19.73,15.95
285,45.99,48.53,17.59,17.87
286,inf,inf,inf,inf
292,inf,inf,inf,inf
296,78.95,68.13,38.89,31.08
300,12.64,9.7,51.63,6.26
306,77.78,57.72,47.59,29.53
317,inf,inf,inf,inf
321,inf,inf,inf,inf
326,81.04,28.35,97.79,60.77
327,98.22,30.26,89.61,58.19
328,10.12,36.58,3.59,23.54
333,67.95,69.18,48.74,46.29
336,inf,inf,inf,inf
338,inf,inf,inf,inf
341,80.23,90.24,1.79,5.72
350,26.71,11.6,31.67,46.41
352,75.49,25.98,136.84,73.48
356,inf,inf,inf,inf
358,inf,inf,inf,inf
359,inf,inf,inf,inf
363,inf,inf,inf,inf
365,89.34,95.03,0.8,7.0
370,inf,inf,inf,inf
373,29.82,22.62,3.59,17.37
378,2.21,15.55,49.3,44.73
380,38.32,25.72,8.46,8.94
382,inf,inf,inf,inf
389,inf,inf,inf,inf
397,inf,inf,inf,inf
403,41.04,13.51,24.11,27.54
404,32.26,30.78,3.98,1.81
406,inf,inf,inf,inf
409,inf,inf,inf,inf
410,86.51,88.9,11.81,5.32
414,inf,inf,inf,inf
415,inf,inf,inf,inf
419,44.23,45.17,36.0,34.39
421,inf,inf,inf,inf
422,2.19,45.36,12.79,38.21
424,38.5,15.79,38.65,29.23
426,68.97,48.16,47.28,26.27
427,0.84,45.31,22.84,4.55
429,inf,inf,inf,inf
432,inf,inf,inf,inf
433,inf,inf,inf,inf
434,82.07,88.04,4.64,6.99
436,inf,inf,inf,inf
437,inf,inf,inf,inf
438,inf,inf,inf,inf
441,24.33,25.5,11.86,10.3
