,äÓñ{ïœêîÇÃÇ›,é¿ê—,+ê›íËâ∑ìx,+ãÛí≤â“ì≠éûä‘,ëSïœêîÇ†ÇË
0,0.01,0.0,-0.05,0.04,0.1
2,0.25,0.0,0.16,0.0,0.03
3,0.13,0.0,0.26,0.03,0.0
4,0.21,0.0,0.15,0.03,0.05
5,0.28,1.0,0.3,0.93,0.76
7,0.36,0.0,0.15,0.0,-0.14
9,4.86,5.0,4.98,5.37,4.93
11,5.96,6.0,6.1,6.01,6.03
12,5.3,5.0,5.43,5.19,5.22
14,5.61,6.0,6.17,5.78,5.78
15,5.94,6.0,6.34,5.98,6.12
17,4.88,5.0,5.25,4.64,4.84
18,0.33,1.0,0.28,1.11,1.57
19,0.22,0.0,-0.26,-0.03,-0.07
20,0.15,0.0,-0.07,0.02,-0.12
22,0.11,0.0,0.15,0.05,-0.15
23,0.44,1.0,0.28,0.95,1.61
24,0.13,0.0,0.18,0.09,-0.01
25,0.11,0.0,0.09,0.01,-0.05
26,0.13,0.0,0.09,0.02,-0.05
27,0.09,0.0,0.11,0.02,-0.05
28,0.11,0.0,0.13,0.02,-0.05
29,0.15,0.0,0.11,-0.01,-0.0
30,0.18,1.0,0.16,1.75,1.39
31,0.34,0.0,0.01,0.02,-0.04
32,0.29,0.0,0.98,-0.35,0.11
34,5.0,4.0,5.09,4.73,5.11
36,6.15,6.0,6.36,5.88,6.17
37,5.13,5.0,4.99,4.71,4.85
38,5.09,5.0,4.96,4.94,5.03
40,5.5,5.0,5.3,5.39,5.28
43,0.04,0.0,0.05,-0.12,-0.08
45,0.21,0.0,0.16,0.0,0.05
46,0.26,0.0,0.13,-0.0,0.0
47,0.14,0.0,0.13,-0.0,0.0
48,0.11,0.0,0.09,0.01,0.02
50,0.21,1.0,0.35,0.99,0.91
51,0.16,0.0,0.19,0.0,-0.01
52,0.16,0.0,0.11,0.0,-0.0
54,-0.02,0.0,0.1,-0.12,-0.06
56,1.98,1.0,1.7,2.84,2.92
57,8.29,9.0,7.76,8.44,8.37
58,8.11,8.0,7.64,7.55,7.77
60,5.82,6.0,5.89,5.97,5.82
61,4.56,4.0,4.78,4.19,4.21
62,4.35,4.0,4.15,4.35,4.47
63,5.73,6.0,5.76,6.04,5.75
65,4.6,4.0,4.43,4.18,3.87
66,0.26,1.0,0.21,1.11,0.77
68,0.09,0.0,0.17,-0.01,0.03
71,0.3,1.0,0.19,1.05,0.94
72,0.12,0.0,0.11,0.01,0.01
73,0.08,0.0,0.01,0.01,-0.0
75,0.15,0.0,0.15,0.01,0.01
76,0.07,0.0,0.24,0.02,0.02
78,0.17,0.0,0.11,0.02,-0.02
79,0.39,0.0,0.15,0.23,0.04
80,0.78,0.0,0.92,0.02,0.18
81,7.26,8.0,7.1,6.46,7.43
84,6.47,7.0,6.38,6.08,6.61
85,6.1,7.0,6.2,5.77,6.03
86,5.46,5.0,5.46,5.59,5.8
87,6.71,6.0,6.85,6.76,6.37
88,5.05,5.0,4.89,5.69,5.32
89,5.41,6.0,4.16,5.61,5.16
91,0.67,0.0,0.17,0.05,0.03
92,0.07,0.0,0.17,-0.0,-0.0
93,0.46,1.0,0.52,1.35,1.04
96,0.15,0.0,0.14,0.0,0.01
97,0.11,0.0,0.11,0.1,0.01
98,0.17,0.0,0.19,0.09,0.03
100,0.14,0.0,0.13,0.0,0.02
101,0.2,0.0,0.22,-0.01,-0.02
103,0.35,0.0,0.97,0.19,0.04
106,4.05,4.0,4.19,4.28,3.98
108,5.29,5.0,4.6,5.13,4.74
109,5.52,5.0,5.18,5.64,5.11
111,5.19,5.0,4.57,5.03,4.91
112,5.39,5.0,4.81,5.21,5.04
114,0.68,1.0,0.53,1.2,1.3
115,0.1,0.0,0.22,-0.02,0.07
116,0.57,0.0,0.18,0.26,-0.06
118,0.09,0.0,0.16,-0.0,0.02
119,0.12,0.0,0.13,-0.0,0.01
120,0.13,1.0,0.18,1.06,1.01
121,0.28,0.0,0.18,0.01,0.02
122,0.11,0.0,0.13,0.01,0.02
123,0.1,0.0,0.15,0.0,0.01
124,0.12,0.0,0.11,0.0,0.02
126,0.08,1.0,0.21,1.01,1.04
128,0.23,0.0,0.13,0.27,0.14
129,0.1,0.0,0.4,0.29,0.2
130,-0.21,0.0,-0.01,0.01,0.04
131,0.34,0.0,0.12,0.12,0.02
135,0.1,0.0,-0.1,0.01,-0.27
136,0.46,0.0,0.53,0.18,0.16
138,0.4,1.0,0.14,1.19,0.59
139,0.2,0.0,0.18,-0.01,-0.06
140,0.19,0.0,0.1,0.03,0.01
142,0.2,0.0,0.17,0.01,0.0
144,0.15,0.0,0.14,-0.01,0.01
145,0.14,1.0,0.18,1.02,1.11
146,0.19,0.0,0.16,-0.02,0.02
147,0.12,0.0,0.1,-0.01,0.02
