,äÓñ{ïœêîÇÃÇ›,+ê›íËâ∑ìx,+ãÛí≤â“ì≠éûä‘,ëSïœêîÇ†ÇË
0,inf,inf,inf,inf
2,inf,inf,inf,inf
3,inf,inf,inf,inf
4,inf,inf,inf,inf
5,inf,inf,inf,inf
7,85.18,85.18,0.82,0.82
9,inf,inf,inf,inf
11,inf,inf,inf,inf
12,inf,inf,inf,inf
14,inf,inf,inf,inf
15,inf,inf,inf,inf
17,inf,inf,inf,inf
18,inf,inf,inf,inf
19,inf,inf,inf,inf
20,inf,inf,inf,inf
22,inf,inf,inf,inf
23,inf,inf,inf,inf
24,inf,inf,inf,inf
25,inf,inf,inf,inf
26,inf,inf,inf,inf
27,inf,inf,inf,inf
28,inf,inf,inf,inf
29,92.0,92.0,0.82,0.82
30,inf,inf,inf,inf
31,inf,inf,inf,inf
32,inf,inf,inf,inf
34,inf,inf,inf,inf
36,inf,inf,inf,inf
37,inf,inf,inf,inf
38,inf,inf,inf,inf
40,inf,inf,inf,inf
43,inf,inf,inf,inf
45,inf,inf,inf,inf
46,inf,inf,inf,inf
47,inf,inf,inf,inf
48,inf,inf,inf,inf
50,inf,inf,inf,inf
51,92.86,92.86,0.82,0.82
52,inf,inf,inf,inf
54,inf,inf,inf,inf
56,inf,inf,inf,inf
57,inf,inf,inf,inf
58,inf,inf,inf,inf
60,inf,inf,inf,inf
61,inf,inf,inf,inf
62,inf,inf,inf,inf
63,inf,inf,inf,inf
65,inf,inf,inf,inf
66,inf,inf,inf,inf
68,inf,inf,inf,inf
71,inf,inf,inf,inf
72,inf,inf,inf,inf
73,88.67,88.67,2.12,2.12
75,inf,inf,inf,inf
76,inf,inf,inf,inf
78,inf,inf,inf,inf
79,inf,inf,inf,inf
80,inf,inf,inf,inf
81,inf,inf,inf,inf
84,inf,inf,inf,inf
85,inf,inf,inf,inf
86,inf,inf,inf,inf
87,inf,inf,inf,inf
88,inf,inf,inf,inf
89,inf,inf,inf,inf
91,inf,inf,inf,inf
92,inf,inf,inf,inf
93,inf,inf,inf,inf
96,inf,inf,inf,inf
97,inf,inf,inf,inf
98,inf,inf,inf,inf
100,inf,inf,inf,inf
101,inf,inf,inf,inf
103,inf,inf,inf,inf
106,inf,inf,inf,inf
108,inf,inf,inf,inf
109,inf,inf,inf,inf
111,inf,inf,inf,inf
112,inf,inf,inf,inf
114,inf,inf,inf,inf
115,inf,inf,inf,inf
116,92.18,92.18,0.64,0.64
118,inf,inf,inf,inf
119,inf,inf,inf,inf
120,inf,inf,inf,inf
121,inf,inf,inf,inf
122,inf,inf,inf,inf
123,inf,inf,inf,inf
124,inf,inf,inf,inf
126,inf,inf,inf,inf
128,inf,inf,inf,inf
129,inf,inf,inf,inf
130,inf,inf,inf,inf
131,inf,inf,inf,inf
135,inf,inf,inf,inf
136,inf,inf,inf,inf
138,92.48,92.48,0.62,0.62
139,inf,inf,inf,inf
