,äÓñ{ïœêîÇÃÇ›,+ê›íËâ∑ìx,+ãÛí≤â“ì≠éûä‘,ëSïœêîÇ†ÇË
1,inf,inf,inf,inf
3,inf,inf,inf,inf
6,inf,inf,inf,inf
7,inf,inf,inf,inf
9,inf,inf,inf,inf
10,inf,inf,inf,inf
11,inf,inf,inf,inf
15,inf,inf,inf,inf
16,inf,inf,inf,inf
23,inf,inf,inf,inf
28,inf,inf,inf,inf
29,inf,inf,inf,inf
31,inf,inf,inf,inf
36,inf,inf,inf,inf
37,inf,inf,inf,inf
38,inf,inf,inf,inf
40,inf,inf,inf,inf
46,inf,inf,inf,inf
50,inf,inf,inf,inf
59,inf,inf,inf,inf
64,inf,inf,inf,inf
74,inf,inf,inf,inf
76,inf,inf,inf,inf
81,inf,inf,inf,inf
82,inf,inf,inf,inf
83,inf,inf,inf,inf
100,inf,inf,inf,inf
101,inf,inf,inf,inf
103,inf,inf,inf,inf
111,inf,inf,inf,inf
120,inf,inf,inf,inf
121,inf,inf,inf,inf
124,inf,inf,inf,inf
125,inf,inf,inf,inf
126,inf,inf,inf,inf
128,inf,inf,inf,inf
130,inf,inf,inf,inf
131,inf,inf,inf,inf
135,inf,inf,inf,inf
138,inf,inf,inf,inf
139,inf,inf,inf,inf
140,inf,inf,inf,inf
142,inf,inf,inf,inf
152,inf,inf,inf,inf
153,inf,inf,inf,inf
155,inf,inf,inf,inf
156,45.81,52.84,29.54,44.52
158,56.99,50.41,73.44,68.83
160,24.99,17.73,29.85,27.13
167,inf,inf,inf,inf
169,inf,inf,inf,inf
173,inf,inf,inf,inf
175,87.44,87.9,0.75,0.95
181,67.86,69.54,120.39,134.38
185,inf,inf,inf,inf
186,inf,inf,inf,inf
196,inf,inf,inf,inf
199,inf,inf,inf,inf
201,32.84,32.97,86.65,82.48
203,65.23,68.37,97.66,68.37
212,inf,inf,inf,inf
214,inf,inf,inf,inf
216,inf,inf,inf,inf
219,inf,inf,inf,inf
222,inf,inf,inf,inf
231,41.23,43.37,27.08,27.32
234,inf,inf,inf,inf
237,inf,inf,inf,inf
238,inf,inf,inf,inf
246,inf,inf,inf,inf
248,inf,inf,inf,inf
249,inf,inf,inf,inf
250,37.36,37.39,17.23,0.9
252,61.52,49.42,34.17,32.98
257,inf,inf,inf,inf
258,inf,inf,inf,inf
264,inf,inf,inf,inf
265,inf,inf,inf,inf
269,inf,inf,inf,inf
271,inf,inf,inf,inf
273,inf,inf,inf,inf
275,inf,inf,inf,inf
276,inf,inf,inf,inf
277,inf,inf,inf,inf
286,inf,inf,inf,inf
288,inf,inf,inf,inf
291,inf,inf,inf,inf
293,inf,inf,inf,inf
297,inf,inf,inf,inf
302,87.7,89.17,1.85,3.62
310,inf,inf,inf,inf
311,inf,inf,inf,inf
314,inf,inf,inf,inf
315,inf,inf,inf,inf
317,inf,inf,inf,inf
321,inf,inf,inf,inf
327,inf,inf,inf,inf
336,inf,inf,inf,inf
337,inf,inf,inf,inf
338,inf,inf,inf,inf
340,inf,inf,inf,inf
347,30.02,40.91,73.24,63.07
350,14.06,12.62,6.43,30.56
352,44.37,46.61,3.65,12.16
361,inf,inf,inf,inf
363,inf,inf,inf,inf
364,inf,inf,inf,inf
370,inf,inf,inf,inf
372,inf,inf,inf,inf
373,inf,inf,inf,inf
374,inf,inf,inf,inf
377,inf,inf,inf,inf
378,inf,inf,inf,inf
385,inf,inf,inf,inf
386,inf,inf,inf,inf
388,97.95,103.62,3.62,3.62
389,inf,inf,inf,inf
390,inf,inf,inf,inf
392,inf,inf,inf,inf
395,inf,inf,inf,inf
398,inf,inf,inf,inf
399,inf,inf,inf,inf
400,inf,inf,inf,inf
401,inf,inf,inf,inf
407,inf,inf,inf,inf
410,inf,inf,inf,inf
412,inf,inf,inf,inf
414,inf,inf,inf,inf
423,4.86,0.18,22.43,14.1
425,inf,inf,inf,inf
430,inf,inf,inf,inf
431,97.3,94.63,1.7,0.5
432,inf,inf,inf,inf
435,inf,inf,inf,inf
440,inf,inf,inf,inf
443,inf,inf,inf,inf
445,inf,inf,inf,inf
449,inf,inf,inf,inf
456,inf,inf,inf,inf
460,inf,inf,inf,inf
461,inf,inf,inf,inf
462,inf,inf,inf,inf
467,inf,inf,inf,inf
469,inf,inf,inf,inf
471,inf,inf,inf,inf
475,inf,inf,inf,inf
477,inf,inf,inf,inf
479,inf,inf,inf,inf
481,inf,inf,inf,inf
483,90.4,95.13,6.07,5.77
490,inf,inf,inf,inf
493,43.15,37.11,2.58,10.65
494,61.11,59.61,52.33,49.99
500,inf,inf,inf,inf
503,inf,inf,inf,inf
507,inf,inf,inf,inf
509,inf,inf,inf,inf
514,inf,inf,inf,inf
517,46.03,45.03,2.15,21.45
525,inf,inf,inf,inf
527,inf,inf,inf,inf
528,inf,inf,inf,inf
530,inf,inf,inf,inf
532,inf,inf,inf,inf
536,inf,inf,inf,inf
542,inf,inf,inf,inf
543,inf,inf,inf,inf
554,inf,inf,inf,inf
565,32.75,31.89,5.35,1.59
570,inf,inf,inf,inf
572,inf,inf,inf,inf
573,inf,inf,inf,inf
577,inf,inf,inf,inf
578,inf,inf,inf,inf
581,inf,inf,inf,inf
582,inf,inf,inf,inf
588,inf,inf,inf,inf
596,inf,inf,inf,inf
598,inf,inf,inf,inf
600,inf,inf,inf,inf
601,inf,inf,inf,inf
603,inf,inf,inf,inf
609,inf,inf,inf,inf
611,inf,inf,inf,inf
613,inf,inf,inf,inf
614,inf,inf,inf,inf
615,inf,inf,inf,inf
620,inf,inf,inf,inf
624,inf,inf,inf,inf
628,inf,inf,inf,inf
630,inf,inf,inf,inf
631,inf,inf,inf,inf
633,inf,inf,inf,inf
634,inf,inf,inf,inf
639,inf,inf,inf,inf
640,inf,inf,inf,inf
645,inf,inf,inf,inf
648,inf,inf,inf,inf
651,inf,inf,inf,inf
653,inf,inf,inf,inf
659,52.93,48.77,45.18,40.43
661,28.95,26.51,37.03,6.25
662,30.92,31.2,26.59,7.86
665,inf,inf,inf,inf
667,inf,inf,inf,inf
668,inf,inf,inf,inf
674,inf,inf,inf,inf
