,äÓñ{ïœêîÇÃÇ›,è⁄ç◊ïœêîÇ†ÇË
1,84.75,5.15
6,inf,inf
8,inf,inf
10,19.44,3.73
13,0.59,17.15
16,115.87,131.79
21,inf,inf
33,122.75,155.75
35,29.88,27.93
39,29.7,32.5
41,29.94,22.6
42,9.89,2.08
44,inf,inf
49,inf,inf
53,inf,inf
55,inf,inf
59,25.02,33.72
64,23.2,29.66
67,49.16,90.55
69,inf,inf
70,85.6,15.13
74,inf,inf
77,inf,inf
82,33.91,15.5
83,32.2,16.19
90,27.62,20.47
94,inf,inf
95,inf,inf
99,inf,inf
102,inf,inf
104,43.26,13.73
105,5.15,58.62
107,44.72,20.54
110,32.87,42.01
113,14.38,67.01
117,inf,inf
125,inf,inf
127,64.4,21.64
132,inf,inf
133,17.24,71.63
134,17.01,69.25
137,41.22,15.3
141,92.01,43.63
143,inf,inf
158,0.08,3.56
159,29.6,28.71
161,34.75,31.76
162,177.58,161.44
164,18.28,0.02
168,inf,inf
172,inf,inf
177,26.41,22.61
184,30.89,26.61
190,80.72,27.79
191,inf,inf
195,inf,inf
197,inf,inf
198,inf,inf
200,inf,inf
202,10.46,18.49
208,29.21,25.56
209,22.36,14.49
211,21.03,16.01
215,111.4,33.13
220,inf,inf
226,6.44,10.11
228,2.14,3.9
230,4.68,4.04
242,inf,inf
246,inf,inf
248,inf,inf
249,104.12,109.6
251,52.15,60.07
256,0.24,2.65
259,3.63,0.26
265,inf,inf
268,inf,inf
280,43.38,44.94
281,56.64,82.18
283,1.47,83.17
284,62.66,73.97
285,inf,inf
286,inf,inf
292,inf,inf
296,inf,inf
300,173.67,260.65
306,44.93,10.39
317,inf,inf
321,204.96,261.82
326,27.46,22.97
327,3.21,5.06
328,46.73,56.8
333,53.54,10.79
336,inf,inf
338,83.73,1.03
341,inf,inf
350,19.23,17.21
352,36.98,43.04
356,inf,inf
358,inf,inf
359,80.01,37.97
363,inf,inf
365,87.63,17.53
370,16.55,15.44
373,21.01,18.54
378,144.71,179.46
380,17.53,4.82
382,inf,inf
389,83.23,0.48
397,16.87,13.67
403,0.3,6.03
404,inf,inf
