,äÓñ{ïœêîÇÃÇ›,è⁄ç◊ïœêîÇ†ÇË
1,inf,inf
4,inf,inf
5,inf,inf
6,inf,inf
7,7.75,8.0
10,3.22,0.54
11,4.1,1.23
12,0.95,0.98
13,3.12,0.02
14,2.83,2.36
15,5.68,3.41
16,7.65,6.77
17,0.54,3.69
18,inf,inf
19,inf,inf
20,inf,inf
22,44.49,44.95
23,inf,inf
24,inf,inf
25,inf,inf
26,inf,inf
31,9.88,6.13
32,3.07,5.21
33,0.31,1.67
35,2.4,1.01
36,0.3,0.72
37,7.22,6.03
38,2.35,3.42
40,0.26,2.24
41,5.5,9.95
42,0.05,60.0
44,inf,inf
45,inf,inf
46,inf,inf
47,70.48,26.05
49,inf,inf
50,inf,inf
51,inf,inf
53,inf,inf
54,inf,inf
55,21.23,35.49
56,6.89,9.65
57,0.67,1.31
58,1.79,0.33
59,3.09,0.87
60,0.83,0.32
61,2.36,3.27
62,0.8,3.75
63,1.45,2.29
64,0.39,3.83
65,2.59,5.43
66,18.57,0.37
69,inf,inf
71,inf,inf
72,40.44,42.38
76,inf,inf
77,22.19,79.7
78,inf,inf
81,1.46,1.47
82,1.34,2.78
84,2.64,1.61
85,0.14,2.23
86,4.13,3.12
87,14.5,4.8
88,7.85,1.99
89,6.21,0.59
90,inf,inf
94,inf,inf
95,inf,inf
96,inf,inf
98,inf,inf
100,inf,inf
101,inf,inf
102,264.78,133.57
104,266.56,160.22
105,8.75,13.86
107,6.21,7.9
108,36.82,28.17
110,6.84,6.8
111,15.3,9.94
112,2.55,0.22
113,1.62,2.87
115,inf,inf
116,inf,inf
118,inf,inf
120,inf,inf
122,inf,inf
124,inf,inf
126,inf,inf
128,inf,inf
130,inf,inf
132,inf,inf
134,inf,inf
135,inf,inf
137,inf,inf
138,inf,inf
140,inf,inf
141,inf,inf
142,67.48,77.65
143,inf,inf
145,inf,inf
146,inf,inf
148,39.54,61.24
150,inf,inf
151,inf,inf
152,217.67,209.4
153,3.67,5.53
154,2.33,1.4
156,2.21,2.91
157,1.38,2.5
158,0.7,0.98
159,5.15,2.88
160,7.65,4.88
161,3.69,1.53
163,inf,inf
164,inf,inf
165,inf,inf
167,54.87,36.72
168,inf,inf
169,inf,inf
170,inf,inf
171,inf,inf
172,inf,inf
173,24.65,11.68
174,inf,inf
175,9.3,8.39
176,11.41,10.18
178,0.31,0.39
179,1.71,0.07
180,1.01,2.33
181,2.37,4.08
183,4.37,4.51
184,2.84,2.4
185,3.39,7.85
186,inf,inf
187,inf,inf
189,inf,inf
191,inf,inf
192,inf,inf
193,inf,inf
195,inf,inf
196,74.78,6.11
197,inf,inf
198,inf,inf
201,3.71,2.04
202,3.71,4.64
203,0.2,0.28
207,9.25,6.81
208,2.63,2.63
209,1.14,2.11
210,inf,inf
213,inf,inf
215,inf,inf
216,inf,inf
217,79.05,5.41
218,inf,inf
219,inf,inf
220,inf,inf
221,inf,inf
222,inf,inf
223,0.52,6.3
224,17.12,12.9
225,1.95,2.86
227,0.52,0.52
229,2.36,1.38
232,1.75,1.12
233,1.66,1.24
235,inf,inf
236,54.63,25.74
237,inf,inf
239,inf,inf
240,inf,inf
241,inf,inf
242,71.67,32.86
243,inf,inf
246,inf,inf
249,0.89,1.27
250,0.87,0.48
251,2.8,0.33
253,3.05,1.9
254,4.26,4.13
255,8.65,8.39
256,1.2,4.34
258,inf,inf
259,inf,inf
261,inf,inf
262,inf,inf
264,inf,inf
265,inf,inf
268,inf,inf
269,inf,inf
270,inf,inf
271,8.2,12.51
274,2.9,4.88
