,äÓñ{ïœêîÇÃÇ›,è⁄ç◊ïœêîÇ†ÇË
0,inf,inf
1,inf,inf
2,inf,inf
3,86.09,2.14
4,inf,inf
7,35.62,1.94
8,inf,inf
9,24.0,8.16
10,25.91,3.72
11,inf,inf
12,19.31,5.11
13,19.61,9.03
14,21.22,3.47
15,inf,inf
16,24.66,1.69
19,inf,inf
20,inf,inf
21,inf,inf
22,inf,inf
23,inf,inf
24,inf,inf
25,84.41,2.33
26,inf,inf
27,inf,inf
29,inf,inf
32,30.72,2.8
33,inf,inf
36,0.93,3.66
37,46.58,29.11
38,inf,inf
39,23.71,0.87
40,18.89,4.59
42,inf,inf
43,inf,inf
44,inf,inf
45,inf,inf
46,inf,inf
47,84.31,2.01
49,inf,inf
52,inf,inf
54,inf,inf
58,7.31,10.69
59,inf,inf
60,4.56,15.72
61,45.25,29.43
62,4.33,22.38
63,18.6,5.99
64,18.03,4.07
67,inf,inf
68,inf,inf
72,inf,inf
73,inf,inf
74,inf,inf
75,inf,inf
78,inf,inf
79,inf,inf
80,27.04,1.96
81,37.38,1.71
84,8.26,1.74
85,10.13,2.01
86,13.27,2.7
87,44.25,2.06
88,inf,inf
90,inf,inf
91,81.25,2.64
92,inf,inf
93,inf,inf
94,inf,inf
97,inf,inf
98,82.95,2.68
100,inf,inf
101,inf,inf
102,inf,inf
104,inf,inf
106,60.87,3.79
107,inf,inf
108,inf,inf
109,inf,inf
110,inf,inf
111,inf,inf
113,inf,inf
115,inf,inf
116,inf,inf
117,inf,inf
118,inf,inf
119,inf,inf
120,inf,inf
121,84.59,2.76
123,inf,inf
125,inf,inf
126,inf,inf
127,inf,inf
128,inf,inf
129,73.73,3.19
130,inf,inf
131,inf,inf
132,inf,inf
133,inf,inf
134,inf,inf
136,72.77,0.74
137,inf,inf
138,inf,inf
139,inf,inf
140,inf,inf
142,inf,inf
143,inf,inf
144,85.92,1.9
147,inf,inf
148,inf,inf
149,inf,inf
150,inf,inf
152,21.89,1.29
153,20.59,0.58
154,inf,inf
155,2.78,34.44
156,11.81,16.95
158,28.38,19.51
159,28.01,35.62
160,20.47,4.05
161,inf,inf
162,inf,inf
163,inf,inf
164,85.17,1.98
165,inf,inf
166,inf,inf
168,inf,inf
169,inf,inf
170,inf,inf
172,83.95,1.91
173,inf,inf
174,inf,inf
176,1.25,3.64
177,8.75,18.82
178,17.77,36.81
180,22.6,26.91
184,inf,inf
186,76.09,0.53
187,inf,inf
189,inf,inf
191,inf,inf
192,inf,inf
193,84.41,2.91
194,inf,inf
195,inf,inf
196,inf,inf
197,inf,inf
198,inf,inf
199,12.17,7.09
200,6.67,8.73
202,37.28,40.34
204,28.14,23.91
205,53.11,45.74
206,22.7,23.36
208,inf,inf
210,67.57,0.9
211,inf,inf
212,inf,inf
213,inf,inf
214,inf,inf
216,inf,inf
217,inf,inf
220,inf,inf
221,inf,inf
223,3.91,7.92
225,28.29,24.54
226,30.49,26.98
227,35.97,45.08
228,33.61,26.84
229,36.89,42.89
230,27.46,26.02
232,54.16,33.28
234,inf,inf
235,inf,inf
237,inf,inf
238,inf,inf
240,inf,inf
241,inf,inf
242,inf,inf
243,inf,inf
248,5.77,5.3
249,35.8,36.09
250,15.55,16.42
251,18.39,21.5
252,27.56,17.92
253,36.31,38.58
254,22.99,20.13
256,11.35,4.24
257,inf,inf
258,inf,inf
259,inf,inf
261,inf,inf
262,inf,inf
263,inf,inf
264,inf,inf
265,inf,inf
266,inf,inf
267,84.99,3.95
271,inf,inf
273,inf,inf
274,inf,inf
275,56.81,3.39
276,inf,inf
279,inf,inf
280,inf,inf
284,inf,inf
285,inf,inf
287,inf,inf
288,inf,inf
289,inf,inf
292,inf,inf
294,inf,inf
295,inf,inf
297,49.04,7.23
298,inf,inf
299,inf,inf
300,inf,inf
302,inf,inf
303,inf,inf
304,inf,inf
306,inf,inf
309,inf,inf
310,inf,inf
311,inf,inf
312,84.78,1.68
314,inf,inf
315,inf,inf
316,inf,inf
317,inf,inf
318,36.32,1.69
319,12.96,0.36
320,22.11,3.25
322,1.55,4.25
323,47.24,38.61
325,15.16,12.83
327,19.92,5.29
328,27.28,6.66
329,inf,inf
330,inf,inf
331,inf,inf
332,inf,inf
334,inf,inf
336,inf,inf
337,inf,inf
338,inf,inf
340,82.02,2.14
342,inf,inf
343,9.22,24.81
344,5.72,5.66
345,14.05,7.53
348,14.45,3.14
350,7.61,0.05
351,6.06,0.02
352,26.4,5.54
353,inf,inf
354,inf,inf
355,77.82,1.9
356,inf,inf
357,inf,inf
358,inf,inf
360,inf,inf
361,inf,inf
362,82.53,2.55
363,inf,inf
366,inf,inf
367,6.64,1.13
369,10.35,0.96
370,21.02,0.25
373,40.22,33.58
375,inf,inf
378,inf,inf
380,inf,inf
382,inf,inf
385,inf,inf
386,inf,inf
387,82.53,1.97
388,inf,inf
393,3.37,17.2
394,12.34,7.62
396,13.6,3.64
397,5.1,2.66
398,inf,inf
399,21.46,1.48
400,14.89,0.18
403,inf,inf
404,inf,inf
405,83.17,2.65
407,inf,inf
408,inf,inf
409,inf,inf
411,inf,inf
412,inf,inf
414,inf,inf
416,2.94,1.26
417,3.26,2.69
418,28.88,27.14
419,26.3,5.17
420,0.86,1.89
421,3.69,16.89
423,5.26,4.07
424,22.38,1.27
425,inf,inf
428,inf,inf
429,inf,inf
431,inf,inf
433,inf,inf
434,inf,inf
435,81.02,3.03
437,inf,inf
440,inf,inf
441,inf,inf
442,inf,inf
443,inf,inf
444,75.98,1.31
445,inf,inf
446,inf,inf
447,inf,inf
448,73.77,2.11
449,inf,inf
450,inf,inf
453,inf,inf
454,inf,inf
455,inf,inf
457,inf,inf
459,inf,inf
460,inf,inf
461,inf,inf
463,56.79,0.67
465,inf,inf
466,inf,inf
467,inf,inf
468,inf,inf
469,inf,inf
471,62.62,8.76
472,inf,inf
478,inf,inf
479,79.89,2.32
480,inf,inf
481,inf,inf
484,inf,inf
485,inf,inf
487,22.28,2.33
490,14.41,15.6
492,29.5,28.14
494,21.16,16.8
496,inf,inf
497,inf,inf
501,inf,inf
502,inf,inf
503,inf,inf
506,82.02,1.83
507,inf,inf
508,inf,inf
509,inf,inf
510,inf,inf
511,23.98,7.0
514,inf,inf
515,2.77,2.93
516,3.73,3.55
517,8.75,6.05
518,9.95,3.56
519,32.03,5.46
520,inf,inf
521,72.67,1.56
524,inf,inf
525,inf,inf
526,inf,inf
528,inf,inf
529,83.74,2.86
530,inf,inf
533,inf,inf
534,33.18,2.88
535,18.37,1.61
537,2.73,2.6
539,8.75,12.35
540,8.79,5.55
541,39.93,2.53
542,8.16,3.79
544,inf,inf
545,74.56,2.74
546,inf,inf
547,inf,inf
548,inf,inf
549,inf,inf
550,inf,inf
552,inf,inf
553,83.08,2.47
555,inf,inf
556,inf,inf
557,inf,inf
558,39.52,2.21
560,inf,inf
561,10.2,2.45
563,9.54,22.11
564,7.96,13.28
565,8.04,14.99
566,20.26,3.04
567,11.71,0.69
568,19.92,6.66
570,inf,inf
571,inf,inf
572,inf,inf
573,inf,inf
574,84.67,3.22
575,inf,inf
576,inf,inf
577,inf,inf
583,inf,inf
584,10.7,2.25
585,6.33,0.48
589,2.88,6.43
590,2.18,1.53
591,16.29,7.65
593,inf,inf
594,inf,inf
595,inf,inf
596,inf,inf
597,85.13,3.17
598,inf,inf
599,inf,inf
600,inf,inf
601,inf,inf
604,inf,inf
605,69.79,2.72
606,inf,inf
610,inf,inf
612,75.42,0.37
613,inf,inf
614,inf,inf
615,inf,inf
616,inf,inf
617,inf,inf
619,inf,inf
620,80.12,2.53
622,inf,inf
623,inf,inf
624,inf,inf
625,inf,inf
628,inf,inf
629,inf,inf
630,inf,inf
631,inf,inf
632,inf,inf
633,inf,inf
637,inf,inf
638,inf,inf
639,inf,inf
640,inf,inf
643,77.24,2.32
644,inf,inf
645,inf,inf
646,inf,inf
647,inf,inf
648,inf,inf
649,inf,inf
650,80.71,2.82
651,inf,inf
652,inf,inf
654,inf,inf
655,33.11,23.2
658,31.6,29.59
659,29.27,21.04
662,25.06,26.9
665,inf,inf
666,79.04,0.61
668,inf,inf
670,inf,inf
671,inf,inf
673,inf,inf
674,81.22,1.17
675,inf,inf
676,inf,inf
678,61.78,1.83
680,14.47,1.4
682,16.57,2.33
683,15.67,16.29
684,15.55,1.36
685,15.45,7.17
686,4.72,0.5
687,0.9,3.09
688,inf,inf
690,inf,inf
691,inf,inf
692,inf,inf
693,inf,inf
694,inf,inf
697,inf,inf
698,inf,inf
699,inf,inf
702,inf,inf
705,16.04,0.13
706,16.63,2.02
708,3.74,1.86
710,7.08,0.22
711,49.88,1.16
712,inf,inf
713,inf,inf
714,83.9,0.31
716,inf,inf
717,inf,inf
719,inf,inf
721,inf,inf
722,83.95,2.52
725,inf,inf
726,inf,inf
727,65.04,1.05
731,inf,inf
732,22.6,1.63
733,9.61,2.69
734,13.57,3.73
735,inf,inf
736,23.91,2.39
737,inf,inf
738,inf,inf
740,inf,inf
743,inf,inf
745,inf,inf
746,inf,inf
747,inf,inf
749,74.61,0.88
750,inf,inf
752,44.52,1.55
754,inf,inf
755,33.6,1.55
757,inf,inf
758,52.88,1.54
759,inf,inf
