,äÓñ{ïœêîÇÃÇ›,é¿ê—,è⁄ç◊ïœêîÇ†ÇË
0,0.1,0.0,0.01
2,0.06,0.0,0.01
4,0.04,0.0,0.01
5,0.04,0.0,0.01
7,0.01,0.0,0.01
9,0.13,0.0,0.01
10,0.13,1.0,0.92
13,0.13,0.0,0.01
14,0.09,0.0,0.01
16,0.1,0.0,0.01
17,0.04,0.0,0.01
18,0.04,0.0,0.01
20,0.06,0.0,0.01
25,0.1,0.0,0.01
26,0.07,0.0,0.01
27,0.07,0.0,0.01
28,0.06,0.0,0.01
29,0.05,0.0,0.01
30,0.12,1.0,0.93
31,0.05,0.0,0.01
32,0.08,0.0,0.01
33,0.1,0.0,0.01
34,0.2,0.0,0.01
35,0.12,0.0,0.01
36,0.12,0.0,0.01
39,0.09,0.0,0.01
41,0.07,0.0,0.01
42,0.02,0.0,0.01
44,0.06,0.0,0.01
45,0.06,0.0,0.01
47,0.06,0.0,0.01
48,0.11,1.0,0.92
52,0.04,0.0,0.01
53,0.05,0.0,0.01
54,0.06,0.0,0.01
55,0.06,0.0,0.01
57,0.11,0.0,0.01
59,0.14,1.0,1.01
60,0.09,0.0,0.01
62,0.13,0.0,0.01
64,0.07,0.0,0.01
65,0.06,0.0,0.01
66,0.06,0.0,0.01
67,0.05,0.0,0.01
68,0.05,0.0,0.01
72,0.1,0.0,0.01
73,0.07,0.0,0.01
74,0.05,0.0,0.01
75,0.06,0.0,0.01
76,0.05,0.0,0.01
77,0.05,0.0,0.01
78,0.04,0.0,0.01
81,0.03,0.0,0.01
82,0.09,0.0,0.01
85,0.17,0.0,0.01
86,0.17,0.0,0.01
87,0.1,0.0,0.01
88,0.04,0.0,0.01
90,0.04,0.0,0.01
91,0.04,0.0,0.01
92,0.04,0.0,0.01
93,0.04,0.0,0.01
94,0.04,0.0,0.01
97,0.07,0.0,0.01
99,0.03,0.0,0.01
101,0.03,0.0,0.01
102,0.05,0.0,0.01
103,0.03,0.0,0.01
105,0.07,0.0,0.01
106,0.15,0.0,0.01
107,0.18,1.0,0.95
108,0.07,0.0,0.01
110,0.07,0.0,0.01
111,0.08,0.0,0.01
113,0.07,0.0,0.01
114,0.05,0.0,0.01
115,0.05,0.0,0.01
116,0.05,0.0,0.01
119,0.04,0.0,0.01
120,0.05,0.0,0.01
