,äÓñ{ïœêîÇÃÇ›,è⁄ç◊ïœêîÇ†ÇË
6,inf,inf
11,inf,inf
12,36.64,21.05
15,118.2,5.41
18,inf,inf
19,inf,inf
24,inf,inf
26,inf,inf
29,63.96,0.4
30,33.08,1.06
31,22.06,0.9
33,inf,inf
34,3.33,5.12
45,inf,inf
46,inf,inf
48,65.22,0.13
50,inf,inf
53,inf,inf
59,51.66,5.0
60,113.52,7.05
62,19.75,14.48
71,inf,inf
75,inf,inf
76,inf,inf
77,86.91,1.58
78,64.25,3.49
80,5.64,1.95
82,inf,inf
84,44.71,4.99
94,79.1,0.14
99,inf,inf
101,inf,inf
106,46.84,2.55
108,inf,inf
109,30.0,8.2
110,inf,inf
111,inf,inf
113,inf,inf
118,69.42,0.49
122,inf,inf
129,78.01,2.02
133,inf,inf
136,63.57,0.4
141,inf,inf
144,68.24,0.46
148,inf,inf
152,1.95,4.78
155,37.06,3.27
158,7.14,11.68
160,9.5,7.85
164,64.32,0.84
165,inf,inf
168,inf,inf
170,67.79,1.43
172,70.52,0.12
173,inf,inf
177,22.33,11.14
179,9.59,33.24
182,35.78,2.99
184,69.19,18.74
185,54.9,5.26
195,inf,inf
206,28.55,19.05
213,inf,inf
214,inf,inf
215,inf,inf
216,inf,inf
222,30.19,0.16
227,6.12,13.95
229,5.43,7.13
230,31.5,20.6
233,20.37,11.46
236,66.78,0.1
237,inf,inf
238,inf,inf
241,inf,inf
244,64.44,0.29
245,inf,inf
250,32.67,17.02
256,40.58,9.07
258,inf,inf
265,64.26,0.76
273,inf,inf
274,inf,inf
277,inf,inf
281,inf,inf
283,inf,inf
297,70.57,0.42
303,inf,inf
304,inf,inf
305,63.2,0.79
312,58.63,0.55
314,63.28,0.34
319,55.0,3.37
321,21.26,18.02
322,28.45,21.06
328,19.57,12.96
332,inf,inf
334,inf,inf
335,70.1,0.15
336,inf,inf
341,inf,inf
342,20.54,1.42
343,41.79,17.96
345,43.62,7.9
347,21.58,25.68
349,3.4,6.44
352,7.37,3.91
354,inf,inf
357,inf,inf
360,inf,inf
363,inf,inf
365,inf,inf
374,22.24,8.29
375,inf,inf
381,50.94,0.55
386,inf,inf
389,inf,inf
397,21.57,9.83
399,92.98,8.35
401,inf,inf
405,79.05,3.02
411,inf,inf
412,inf,inf
413,75.77,0.97
418,19.54,23.51
433,inf,inf
434,inf,inf
439,44.34,1.78
440,inf,inf
444,51.32,3.7
447,39.19,1.84
449,45.16,1.59
450,inf,inf
457,inf,inf
462,63.01,3.29
463,40.48,0.94
466,48.29,0.41
467,inf,inf
469,inf,inf
474,51.95,0.88
478,inf,inf
490,39.7,2.07
496,34.27,4.83
498,70.67,5.41
501,inf,inf
504,inf,inf
505,inf,inf
506,67.73,0.75
511,4.63,9.41
515,52.15,15.79
523,59.18,2.67
534,16.62,0.01
536,36.15,0.34
539,32.72,4.33
544,18.13,1.37
550,inf,inf
551,inf,inf
559,8.82,0.09
563,34.62,0.52
565,17.6,9.86
569,70.43,0.04
571,inf,inf
574,64.46,0.95
580,inf,inf
583,inf,inf
586,60.75,1.17
588,42.0,12.96
589,14.67,7.32
593,29.5,3.56
594,62.31,1.29
597,67.51,0.61
599,inf,inf
602,inf,inf
605,62.88,4.85
608,inf,inf
611,inf,inf
613,inf,inf
614,inf,inf
615,49.71,17.15
616,inf,inf
625,67.21,4.51
633,inf,inf
634,58.39,9.69
640,67.37,5.47
645,inf,inf
647,65.39,4.31
653,inf,inf
657,24.81,6.19
659,12.23,18.31
661,8.88,26.19
663,0.63,0.86
666,31.17,0.57
667,inf,inf
668,86.07,1.49
669,inf,inf
671,inf,inf
678,88.72,0.51
683,110.18,9.58
695,inf,inf
696,70.06,2.92
702,inf,inf
704,22.05,1.16
706,27.65,0.32
715,67.06,4.58
722,68.1,2.78
733,41.62,3.38
735,inf,inf
739,67.08,2.47
743,inf,inf
750,inf,inf
751,inf,inf
752,3.61,11.72
753,8.0,3.52
754,36.16,10.35
759,inf,inf
761,42.94,0.91
764,91.17,7.94
765,inf,inf
769,inf,inf
770,inf,inf
774,inf,inf
