,äÓñ{ïœêîÇÃÇ›,è⁄ç◊ïœêîÇ†ÇË
0,24.02,9.1
2,20.84,24.81
3,6.69,2.89
4,0.53,20.5
5,20.16,23.97
7,15.14,6.53
9,0.75,0.26
11,3.05,2.11
12,2.44,1.01
14,0.12,0.88
15,2.16,0.14
17,1.81,1.2
18,5.73,2.6
19,11.95,6.07
20,7.01,10.95
22,37.91,4.85
23,28.1,5.31
24,127.7,15.48
25,3.66,2.1
26,141.07,23.56
27,37.09,0.67
28,5.74,4.36
29,91.76,24.12
30,37.42,7.66
31,11.4,1.18
32,2.74,2.36
34,3.8,1.53
36,3.48,0.22
37,2.73,3.46
38,3.59,3.31
40,7.11,3.93
43,5.37,3.22
45,17.71,3.18
46,115.42,16.26
47,18.73,1.36
48,17.82,5.11
50,10.91,4.13
51,16.83,8.83
52,34.8,2.2
54,20.91,18.37
56,8.08,0.1
57,2.42,1.99
58,0.11,1.18
60,0.63,0.42
61,0.32,0.14
62,1.36,0.17
63,1.02,1.48
65,1.14,1.75
66,10.15,5.99
68,53.34,36.19
71,8.95,13.92
72,34.82,13.16
73,166.4,16.17
75,2.99,9.82
76,45.17,17.49
78,0.5,25.45
79,5.79,6.7
80,5.49,11.93
81,0.81,1.52
84,1.1,0.71
85,0.9,0.39
86,0.68,0.16
87,3.56,6.51
88,3.48,3.1
89,0.75,1.77
91,6.05,4.66
92,1.78,8.15
93,11.83,7.73
96,10.04,2.43
97,23.26,0.92
98,11.01,0.85
100,134.16,21.47
101,29.1,0.08
103,48.1,0.67
106,2.16,0.18
108,13.44,2.82
109,5.93,6.35
111,0.42,1.21
112,3.36,1.21
114,19.41,15.67
115,71.24,22.6
116,9.06,11.69
118,79.25,7.52
119,31.26,3.87
120,6.14,4.41
121,26.78,2.8
122,5.9,3.55
123,102.54,11.19
124,4.46,2.19
126,11.57,6.11
128,125.16,13.24
129,0.7,16.55
130,30.18,9.12
131,1.47,9.95
135,3.04,6.72
136,26.0,1.72
138,14.94,25.74
139,0.31,4.65
140,86.64,28.35
142,20.3,11.58
144,13.59,0.16
145,108.97,7.84
146,29.08,11.99
147,39.35,1.23
148,33.86,2.25
149,3.87,37.0
150,142.7,11.85
151,17.58,12.71
152,69.31,40.21
153,5.26,0.62
154,2.81,4.23
155,0.72,1.57
156,1.4,0.01
157,3.16,1.81
160,4.17,1.09
163,9.39,13.68
165,21.02,6.6
166,2.45,2.13
167,30.64,9.13
169,25.97,8.11
170,32.39,1.09
171,14.36,3.77
173,30.51,9.11
174,2.46,0.12
175,2.93,0.69
176,1.85,0.76
178,1.45,0.98
179,0.44,0.78
180,2.33,1.5
181,3.21,0.44
182,1.16,0.47
183,1.35,0.03
185,1.53,0.12
186,8.64,2.04
187,18.01,0.5
188,14.28,5.18
189,93.3,30.56
192,45.16,6.17
193,24.22,7.89
194,150.86,17.26
196,35.64,4.13
199,2.46,5.48
201,0.47,0.08
203,9.51,3.51
204,3.83,0.55
205,0.16,2.35
206,1.71,3.55
207,2.77,2.75
