,äÓñ{ïœêîÇÃÇ›,é¿ê—,è⁄ç◊ïœêîÇ†ÇË
2,-0.02,0.0,-0.01
3,-0.02,0.0,-0.01
4,-0.02,0.0,-0.01
6,0.03,0.0,-0.01
8,0.87,1.0,2.04
9,1.72,3.0,2.36
10,1.5,2.0,2.05
13,2.24,2.0,2.46
15,2.03,2.0,2.23
16,1.91,3.0,2.28
20,0.04,0.0,0.01
23,0.06,0.0,-0.02
24,0.01,0.0,0.02
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,0.0,0.0,0.0
33,2.14,3.0,2.29
36,1.49,3.0,1.48
37,2.23,2.0,2.22
49,-0.01,0.0,0.0
50,-0.0,0.0,0.0
54,0.16,0.0,0.01
55,0.28,0.0,-0.02
56,1.04,0.0,0.08
57,2.46,3.0,2.98
59,2.74,3.0,2.8
60,2.58,3.0,2.9
61,2.59,2.0,2.61
62,2.48,2.0,2.26
63,2.25,2.0,2.43
64,1.65,1.0,1.84
68,0.02,0.0,-0.02
72,-0.03,0.0,0.0
73,-0.04,0.0,-0.0
76,-0.03,0.0,0.0
78,0.03,0.0,-0.01
79,0.12,0.0,-0.02
83,1.27,2.0,2.35
84,1.97,2.0,2.22
91,-0.03,0.0,-0.0
93,0.03,0.0,0.04
100,-0.02,0.0,-0.0
102,-0.07,0.0,0.0
104,1.59,0.0,0.03
112,0.96,2.0,1.76
115,-0.02,0.0,-0.0
117,0.07,0.0,0.02
118,-0.03,0.0,-0.0
119,-0.02,0.0,-0.0
128,-0.14,0.0,0.11
131,-0.1,0.0,-0.03
140,0.01,0.0,-0.0
143,-0.01,0.0,-0.0
148,-0.0,0.0,-0.0
153,2.25,2.0,2.89
155,2.59,3.0,2.84
160,2.51,2.0,2.73
161,2.2,1.0,2.55
167,0.02,0.0,-0.0
170,-0.01,0.0,-0.0
171,-0.01,0.0,-0.0
175,0.93,0.0,0.04
176,2.29,0.0,-0.0
183,2.13,3.0,2.7
191,-0.0,0.0,0.04
192,0.02,0.0,0.05
198,0.24,0.0,-0.01
202,3.38,3.0,3.8
204,3.1,4.0,3.16
210,0.35,0.0,-0.09
215,-0.0,0.0,-0.06
221,0.05,0.0,0.0
222,0.49,0.0,-0.02
226,4.03,4.0,3.67
231,3.52,3.0,3.1
232,2.84,3.0,2.55
234,0.05,0.0,-0.08
242,-0.01,0.0,0.0
244,-0.01,0.0,-0.0
246,0.27,0.0,0.02
248,1.69,2.0,1.99
251,3.58,4.0,3.87
254,3.06,3.0,3.17
255,3.33,4.0,3.78
257,0.73,2.0,2.29
258,0.13,0.0,-0.04
261,-0.0,0.0,0.04
263,0.01,0.0,0.03
265,-0.01,0.0,0.0
266,-0.01,0.0,0.0
271,0.78,0.0,0.05
272,1.5,0.0,0.08
273,3.23,4.0,3.08
274,3.54,5.0,3.24
277,4.75,4.0,4.66
279,3.39,2.0,2.69
291,-0.01,0.0,0.02
297,0.29,0.0,-0.08
301,0.26,0.0,-0.08
302,0.31,0.0,-0.03
307,0.04,0.0,-0.03
308,-0.0,0.0,0.0
315,-0.0,0.0,0.0
318,0.11,0.0,0.0
324,3.01,2.0,3.08
327,2.27,3.0,2.84
332,0.0,0.0,-0.0
334,-0.0,0.0,-0.0
337,-0.01,0.0,0.0
339,-0.01,0.0,-0.0
343,0.92,0.0,0.03
345,2.94,4.0,3.27
347,3.64,5.0,3.14
348,4.11,6.0,4.14
350,2.75,4.0,2.66
352,2.51,1.0,2.93
360,0.0,0.0,-0.0
363,-0.0,0.0,0.0
365,-0.0,0.0,0.0
366,0.11,0.0,0.0
369,2.87,2.0,2.77
374,2.24,1.0,1.9
375,1.39,1.0,2.0
377,1.42,0.0,-0.03
383,-0.04,0.0,0.0
388,0.01,0.0,0.0
390,0.08,0.0,-0.02
392,1.0,0.0,0.21
396,1.79,0.0,-0.05
413,-0.0,0.0,0.01
416,0.84,0.0,-0.03
417,1.69,0.0,-0.04
419,1.97,3.0,2.8
421,2.65,3.0,3.24
422,1.87,3.0,3.08
423,1.8,2.0,2.91
424,2.04,3.0,2.38
431,-0.0,0.0,-0.0
435,-0.01,0.0,0.0
437,0.01,0.0,0.0
439,0.18,2.0,1.55
442,2.65,3.0,2.13
443,3.06,4.0,2.54
447,1.92,1.0,1.94
448,1.15,3.0,1.7
449,0.85,1.0,1.6
450,0.08,0.0,-0.0
451,-0.01,0.0,-0.0
452,-0.01,0.0,-0.0
458,-0.0,0.0,0.0
462,0.08,0.0,0.0
468,0.26,0.0,0.08
472,-0.01,0.0,0.02
474,-0.1,0.0,0.0
475,-0.06,0.0,-0.05
476,0.02,0.0,-0.02
482,-0.03,0.0,0.04
490,2.86,3.0,2.7
491,2.71,5.0,3.19
493,3.42,4.0,3.49
495,3.51,4.0,3.56
497,2.76,3.0,2.98
499,-0.02,0.0,0.03
504,0.0,0.0,0.0
506,0.0,0.0,-0.0
511,0.89,1.0,2.61
513,2.51,3.0,2.58
518,2.49,2.0,2.19
525,-0.0,0.0,-0.0
527,-0.0,0.0,-0.0
531,0.0,0.0,-0.0
538,1.9,2.0,1.52
541,1.92,3.0,1.48
543,0.71,1.0,1.21
548,0.01,0.0,-0.0
551,0.0,0.0,-0.0
553,-0.01,0.0,0.0
555,0.01,0.0,0.0
558,0.29,0.0,-0.01
563,2.03,3.0,2.03
565,2.3,3.0,2.78
566,2.53,1.0,2.62
581,0.02,0.0,0.0
