,äÓñ{ïœêîÇÃÇ›,è⁄ç◊ïœêîÇ†ÇË
0,inf,inf
1,inf,inf
2,inf,inf
3,inf,inf
4,inf,inf
6,inf,inf
7,14.35,8.86
8,13.68,17.29
10,1.58,2.47
12,3.19,0.68
13,6.89,3.55
15,5.64,0.74
16,7.37,3.51
18,inf,inf
19,inf,inf
20,inf,inf
22,inf,inf
23,76.75,11.24
24,inf,inf
25,inf,inf
26,inf,inf
30,inf,inf
31,9.77,8.2
32,18.44,6.67
33,0.37,4.71
35,8.1,5.56
37,1.15,3.73
39,1.75,2.67
40,11.78,6.2
42,inf,inf
43,inf,inf
45,inf,inf
47,inf,inf
48,inf,inf
49,inf,inf
50,inf,inf
51,inf,inf
52,inf,inf
54,inf,inf
55,16.04,19.88
56,23.66,17.31
57,4.11,0.65
59,3.81,4.24
60,6.89,1.6
61,9.17,3.65
62,6.82,1.37
63,6.17,3.53
64,2.91,3.22
66,inf,inf
67,70.8,11.3
68,inf,inf
69,inf,inf
70,inf,inf
71,inf,inf
75,inf,inf
76,inf,inf
77,inf,inf
78,73.37,7.15
79,24.67,10.57
80,4.12,5.7
81,12.05,1.39
83,0.76,0.99
84,4.03,5.66
87,8.93,3.28
89,15.86,4.31
91,inf,inf
92,inf,inf
93,inf,inf
94,inf,inf
95,inf,inf
97,inf,inf
100,inf,inf
101,83.17,49.58
102,inf,inf
103,inf,inf
104,4.8,58.38
105,15.7,2.07
106,10.72,4.71
107,5.51,0.46
109,2.33,2.97
114,inf,inf
115,inf,inf
116,inf,inf
119,inf,inf
120,inf,inf
121,inf,inf
124,inf,inf
127,inf,inf
130,inf,inf
131,inf,inf
132,inf,inf
133,78.59,47.89
134,inf,inf
135,inf,inf
136,inf,inf
137,inf,inf
138,inf,inf
139,inf,inf
140,inf,inf
141,inf,inf
144,89.65,18.55
145,inf,inf
146,inf,inf
147,inf,inf
148,inf,inf
149,inf,inf
151,inf,inf
152,126.24,64.97
153,3.11,7.02
154,2.36,7.41
155,5.12,8.18
156,2.07,2.16
157,0.49,0.72
158,2.06,1.41
159,2.8,3.18
160,1.26,1.31
161,4.19,2.47
162,52.86,35.31
163,inf,inf
164,inf,inf
165,inf,inf
166,inf,inf
168,inf,inf
169,inf,inf
170,inf,inf
171,inf,inf
172,inf,inf
174,inf,inf
175,8.21,10.32
176,14.88,9.13
177,0.34,0.95
179,1.44,0.96
180,1.13,0.42
181,3.62,1.03
182,3.84,0.58
183,5.76,2.65
184,0.79,0.18
186,inf,inf
187,inf,inf
188,inf,inf
189,inf,inf
190,inf,inf
191,inf,inf
192,inf,inf
194,inf,inf
196,90.5,13.66
198,inf,inf
199,1.31,9.73
201,5.11,2.79
203,3.78,1.41
205,0.16,0.37
206,5.61,0.43
207,7.15,2.28
209,2.0,0.21
210,41.58,40.76
211,inf,inf
213,inf,inf
214,inf,inf
215,inf,inf
216,inf,inf
218,inf,inf
219,inf,inf
222,inf,inf
223,9.09,14.73
224,3.15,6.49
225,42.19,22.54
226,20.9,9.34
227,0.57,3.05
229,0.57,2.26
230,5.21,1.03
231,0.02,0.88
232,0.12,1.09
234,inf,inf
235,inf,inf
236,inf,inf
238,inf,inf
239,inf,inf
241,inf,inf
243,inf,inf
244,inf,inf
245,inf,inf
246,inf,inf
249,1.46,0.4
250,3.17,0.76
252,0.61,0.11
253,0.92,1.59
254,0.96,1.16
255,3.34,1.23
256,0.69,0.15
257,4.71,2.01
258,inf,inf
260,inf,inf
261,inf,inf
262,inf,inf
263,74.81,14.64
264,inf,inf
265,inf,inf
266,inf,inf
268,inf,inf
269,inf,inf
270,inf,inf
271,inf,inf
273,0.69,1.91
274,0.11,1.93
276,2.89,0.87
278,2.2,1.28
281,17.47,14.04
282,inf,inf
283,inf,inf
284,inf,inf
285,inf,inf
287,inf,inf
290,inf,inf
292,inf,inf
293,inf,inf
294,inf,inf
296,inf,inf
300,inf,inf
301,50.85,34.84
302,inf,inf
303,inf,inf
304,inf,inf
307,inf,inf
309,inf,inf
311,73.11,4.52
313,inf,inf
315,inf,inf
317,inf,inf
318,inf,inf
319,inf,inf
320,25.88,39.48
322,0.57,1.26
323,3.74,2.18
324,4.16,2.3
325,2.34,1.13
326,0.84,0.86
327,2.69,0.32
328,0.84,0.56
329,6.01,2.08
330,inf,inf
333,inf,inf
334,inf,inf
335,inf,inf
336,inf,inf
338,78.82,16.65
339,inf,inf
341,inf,inf
342,inf,inf
343,2.62,12.08
346,0.32,0.05
349,0.75,0.33
350,1.23,1.74
351,1.43,1.25
353,0.09,2.46
354,inf,inf
357,inf,inf
358,inf,inf
360,inf,inf
361,inf,inf
364,inf,inf
366,56.34,10.58
367,1.09,9.86
369,1.96,4.23
370,8.82,0.97
371,8.49,4.25
374,8.0,4.22
375,4.94,3.86
377,2.99,5.86
378,inf,inf
379,inf,inf
381,inf,inf
383,inf,inf
385,inf,inf
388,inf,inf
389,inf,inf
390,inf,inf
391,4.95,6.74
392,3.18,2.3
393,1.65,0.44
395,5.67,1.99
396,8.19,2.78
397,6.93,2.57
398,0.29,0.3
400,0.32,0.99
401,3.44,0.52
404,inf,inf
407,76.89,8.72
408,inf,inf
412,inf,inf
413,inf,inf
414,inf,inf
415,inf,inf
417,2.96,2.61
418,1.59,2.81
419,3.12,1.88
420,4.08,2.57
421,0.7,0.84
422,4.34,1.86
424,1.03,3.32
425,7.35,4.98
426,inf,inf
431,inf,inf
433,inf,inf
434,inf,inf
435,inf,inf
436,inf,inf
437,inf,inf
438,inf,inf
440,inf,inf
441,1.23,4.36
442,7.8,6.76
443,13.38,8.29
444,7.05,9.53
446,26.79,15.26
447,11.89,11.59
448,16.08,18.47
449,68.75,66.64
452,inf,inf
453,inf,inf
456,55.75,38.63
458,inf,inf
459,inf,inf
460,inf,inf
462,inf,inf
464,inf,inf
466,inf,inf
467,55.18,53.31
468,inf,inf
469,inf,inf
470,inf,inf
471,inf,inf
472,inf,inf
474,inf,inf
475,inf,inf
476,inf,inf
477,81.5,29.89
479,inf,inf
482,inf,inf
483,inf,inf
484,inf,inf
486,inf,inf
488,127.19,65.38
489,2.5,1.83
490,4.23,1.02
491,4.54,1.73
492,4.39,2.46
493,3.99,1.96
495,1.32,0.51
498,inf,inf
500,inf,inf
501,inf,inf
504,inf,inf
505,85.97,23.25
506,inf,inf
508,inf,inf
510,inf,inf
511,31.83,26.07
512,12.77,8.18
514,0.25,1.22
515,2.39,0.74
517,0.86,0.31
518,4.7,4.12
520,2.39,0.58
521,2.59,1.89
522,inf,inf
523,inf,inf
524,inf,inf
526,83.03,6.77
527,inf,inf
528,inf,inf
529,inf,inf
530,inf,inf
531,inf,inf
532,inf,inf
533,inf,inf
534,inf,inf
535,22.88,11.89
536,3.04,2.17
538,0.76,1.37
540,0.89,0.37
541,1.86,0.9
543,2.27,1.61
544,18.81,3.04
545,0.01,2.78
546,inf,inf
547,inf,inf
548,inf,inf
549,inf,inf
550,inf,inf
551,inf,inf
552,inf,inf
554,inf,inf
555,inf,inf
556,inf,inf
557,inf,inf
559,12.65,11.9
560,4.33,9.6
561,3.01,1.16
563,2.38,1.79
564,2.03,1.36
565,0.55,0.94
566,2.98,0.92
567,7.23,6.94
568,5.52,4.09
569,1.03,3.89
570,inf,inf
572,inf,inf
573,inf,inf
574,inf,inf
575,inf,inf
577,inf,inf
578,79.99,20.7
579,inf,inf
580,inf,inf
583,9.52,5.95
584,3.8,2.65
585,1.13,0.3
586,2.92,2.45
587,1.19,1.65
588,2.86,0.35
589,2.61,2.26
590,1.03,0.4
593,1.28,5.61
596,inf,inf
597,inf,inf
599,77.29,2.91
600,inf,inf
601,inf,inf
602,inf,inf
603,inf,inf
604,inf,inf
606,inf,inf
607,inf,inf
608,106.03,105.84
610,5.69,0.95
611,3.55,2.88
612,4.99,2.61
613,3.61,2.37
614,2.62,1.65
615,1.18,1.02
617,28.26,30.72
619,inf,inf
620,inf,inf
621,inf,inf
623,inf,inf
624,inf,inf
625,inf,inf
626,inf,inf
628,83.56,20.99
629,inf,inf
630,inf,inf
631,inf,inf
632,inf,inf
633,inf,inf
634,inf,inf
636,inf,inf
637,inf,inf
639,inf,inf
640,inf,inf
641,inf,inf
643,inf,inf
644,inf,inf
646,inf,inf
647,inf,inf
650,inf,inf
651,inf,inf
652,inf,inf
654,inf,inf
655,inf,inf
656,43.74,20.61
659,2.03,1.55
661,0.6,0.06
662,0.78,1.18
664,7.35,4.76
665,5.89,6.2
666,inf,inf
667,inf,inf
672,inf,inf
674,inf,inf
675,inf,inf
676,inf,inf
678,38.8,45.0
679,11.81,2.55
680,21.7,10.61
681,2.68,1.95
683,3.89,2.41
684,2.76,3.7
685,2.62,3.95
686,2.34,0.1
687,4.67,0.91
688,2.08,0.73
691,inf,inf
692,inf,inf
693,inf,inf
694,inf,inf
696,inf,inf
697,inf,inf
698,inf,inf
700,inf,inf
701,inf,inf
703,15.77,5.3
704,4.16,5.84
705,0.96,0.25
706,0.32,0.53
707,1.22,0.14
708,3.43,2.87
709,0.08,3.7
711,6.52,5.04
714,inf,inf
716,inf,inf
717,inf,inf
720,inf,inf
722,inf,inf
723,inf,inf
724,inf,inf
725,30.01,41.88
726,inf,inf
