,äÓñ{ïœêîÇÃÇ›,è⁄ç◊ïœêîÇ†ÇË
2,inf,inf
3,inf,inf
4,inf,inf
6,inf,inf
7,90.2,0.58
9,inf,inf
10,inf,inf
11,inf,inf
12,inf,inf
16,inf,inf
18,inf,inf
19,inf,inf
20,inf,inf
21,inf,inf
27,inf,inf
28,inf,inf
29,90.77,0.58
32,inf,inf
33,inf,inf
34,inf,inf
35,inf,inf
36,inf,inf
37,inf,inf
38,inf,inf
39,inf,inf
41,inf,inf
42,inf,inf
44,inf,inf
45,inf,inf
46,inf,inf
48,inf,inf
49,inf,inf
50,inf,inf
51,90.77,0.47
52,inf,inf
54,inf,inf
55,inf,inf
56,inf,inf
57,inf,inf
58,inf,inf
59,inf,inf
60,inf,inf
61,inf,inf
64,inf,inf
65,inf,inf
68,inf,inf
70,inf,inf
71,inf,inf
72,inf,inf
73,93.24,4.26
74,inf,inf
75,inf,inf
79,inf,inf
83,inf,inf
84,inf,inf
86,inf,inf
87,inf,inf
88,inf,inf
90,inf,inf
91,inf,inf
92,inf,inf
95,inf,inf
96,inf,inf
97,inf,inf
99,inf,inf
100,inf,inf
101,inf,inf
102,inf,inf
103,inf,inf
104,inf,inf
105,inf,inf
108,inf,inf
111,inf,inf
113,inf,inf
114,inf,inf
115,inf,inf
116,93.95,2.98
118,inf,inf
119,inf,inf
122,inf,inf
123,inf,inf
124,inf,inf
125,inf,inf
128,inf,inf
129,inf,inf
130,inf,inf
134,inf,inf
135,inf,inf
136,inf,inf
138,95.26,2.52
139,inf,inf
141,inf,inf
142,inf,inf
143,inf,inf
144,inf,inf
145,inf,inf
146,inf,inf
149,inf,inf
150,inf,inf
151,inf,inf
152,inf,inf
153,inf,inf
154,inf,inf
155,inf,inf
157,inf,inf
158,inf,inf
160,94.31,1.26
161,inf,inf
162,inf,inf
163,inf,inf
164,inf,inf
165,inf,inf
166,inf,inf
168,inf,inf
169,inf,inf
170,inf,inf
172,inf,inf
173,inf,inf
175,inf,inf
176,inf,inf
179,inf,inf
180,inf,inf
182,86.0,1.05
183,inf,inf
184,inf,inf
185,inf,inf
186,inf,inf
189,inf,inf
192,inf,inf
193,inf,inf
195,inf,inf
196,inf,inf
197,inf,inf
198,inf,inf
199,inf,inf
200,inf,inf
201,inf,inf
202,inf,inf
203,inf,inf
205,inf,inf
206,inf,inf
207,inf,inf
208,inf,inf
209,inf,inf
210,inf,inf
211,inf,inf
212,inf,inf
213,inf,inf
214,inf,inf
215,inf,inf
216,inf,inf
217,inf,inf
218,inf,inf
219,inf,inf
221,inf,inf
222,inf,inf
223,inf,inf
224,inf,inf
225,inf,inf
226,86.77,0.61
