,äÓñ{ïœêîÇÃÇ›,è⁄ç◊ïœêîÇ†ÇË
0,inf,inf
2,inf,inf
5,inf,inf
7,inf,inf
8,inf,inf
9,inf,inf
10,77.41,3.6
12,inf,inf
13,inf,inf
14,inf,inf
15,inf,inf
16,inf,inf
17,inf,inf
18,inf,inf
19,inf,inf
20,inf,inf
21,inf,inf
22,inf,inf
23,inf,inf
24,inf,inf
26,inf,inf
27,inf,inf
28,inf,inf
29,inf,inf
30,80.66,1.05
31,inf,inf
32,inf,inf
33,inf,inf
34,inf,inf
35,inf,inf
36,inf,inf
37,inf,inf
38,56.52,7.42
42,inf,inf
44,inf,inf
47,inf,inf
49,inf,inf
51,inf,inf
52,inf,inf
53,inf,inf
54,inf,inf
55,inf,inf
56,inf,inf
57,inf,inf
58,inf,inf
59,70.0,0.88
60,inf,inf
61,inf,inf
62,inf,inf
63,56.87,8.68
65,inf,inf
66,inf,inf
67,inf,inf
68,inf,inf
70,inf,inf
71,inf,inf
73,inf,inf
74,inf,inf
75,inf,inf
77,inf,inf
79,inf,inf
81,inf,inf
82,inf,inf
83,86.48,1.2
84,inf,inf
85,inf,inf
86,inf,inf
88,inf,inf
89,inf,inf
91,inf,inf
92,inf,inf
93,inf,inf
94,inf,inf
95,inf,inf
96,inf,inf
97,inf,inf
98,inf,inf
99,inf,inf
100,inf,inf
101,inf,inf
102,inf,inf
103,inf,inf
104,inf,inf
109,inf,inf
110,inf,inf
111,inf,inf
112,inf,inf
115,inf,inf
117,inf,inf
118,inf,inf
119,inf,inf
120,inf,inf
121,inf,inf
123,inf,inf
124,inf,inf
126,inf,inf
127,inf,inf
128,inf,inf
129,inf,inf
130,inf,inf
132,79.36,0.2
135,inf,inf
137,inf,inf
139,inf,inf
140,inf,inf
141,inf,inf
142,inf,inf
143,inf,inf
144,inf,inf
146,inf,inf
147,inf,inf
151,inf,inf
152,inf,inf
154,inf,inf
155,70.5,1.04
159,73.07,4.29
160,inf,inf
161,inf,inf
163,inf,inf
164,inf,inf
165,inf,inf
166,inf,inf
167,inf,inf
169,inf,inf
170,83.56,0.5
171,inf,inf
173,inf,inf
175,inf,inf
176,inf,inf
177,inf,inf
178,inf,inf
179,37.89,4.72
181,inf,inf
182,57.29,4.58
183,inf,inf
184,inf,inf
187,inf,inf
188,inf,inf
189,inf,inf
190,inf,inf
191,inf,inf
193,inf,inf
194,inf,inf
200,inf,inf
201,inf,inf
205,inf,inf
206,57.29,3.73
207,inf,inf
208,inf,inf
212,inf,inf
213,inf,inf
215,inf,inf
216,inf,inf
218,inf,inf
220,inf,inf
221,inf,inf
222,inf,inf
223,inf,inf
224,67.98,2.05
226,inf,inf
227,64.05,2.73
229,inf,inf
231,inf,inf
232,inf,inf
233,inf,inf
234,inf,inf
235,inf,inf
237,inf,inf
238,inf,inf
239,inf,inf
240,inf,inf
241,inf,inf
244,inf,inf
249,inf,inf
251,67.97,2.94
252,inf,inf
253,inf,inf
254,inf,inf
255,69.9,4.67
256,inf,inf
260,inf,inf
261,inf,inf
262,inf,inf
263,inf,inf
264,inf,inf
265,80.18,0.74
266,inf,inf
267,inf,inf
268,inf,inf
270,inf,inf
273,inf,inf
275,inf,inf
276,inf,inf
278,inf,inf
279,inf,inf
281,inf,inf
282,inf,inf
283,inf,inf
284,inf,inf
285,inf,inf
286,inf,inf
287,inf,inf
288,inf,inf
289,inf,inf
290,73.35,1.75
291,inf,inf
292,inf,inf
293,inf,inf
294,inf,inf
296,inf,inf
298,inf,inf
299,inf,inf
305,inf,inf
307,inf,inf
309,inf,inf
310,inf,inf
311,inf,inf
312,inf,inf
313,inf,inf
314,inf,inf
315,93.35,1.98
316,inf,inf
318,inf,inf
319,inf,inf
321,inf,inf
322,inf,inf
323,inf,inf
325,62.2,2.39
327,inf,inf
329,inf,inf
330,inf,inf
331,inf,inf
332,inf,inf
333,inf,inf
338,inf,inf
340,inf,inf
341,inf,inf
343,inf,inf
345,51.5,8.83
346,18.31,0.81
347,inf,inf
348,inf,inf
349,inf,inf
351,inf,inf
353,inf,inf
354,inf,inf
355,inf,inf
357,inf,inf
359,inf,inf
362,inf,inf
363,inf,inf
364,inf,inf
365,inf,inf
366,inf,inf
367,inf,inf
368,inf,inf
371,inf,inf
375,inf,inf
376,inf,inf
378,inf,inf
379,inf,inf
381,inf,inf
382,inf,inf
383,inf,inf
385,inf,inf
386,inf,inf
387,inf,inf
389,inf,inf
390,inf,inf
391,inf,inf
392,inf,inf
394,inf,inf
395,72.7,1.17
396,inf,inf
397,inf,inf
399,inf,inf
400,inf,inf
401,inf,inf
402,inf,inf
403,inf,inf
404,inf,inf
405,inf,inf
408,83.56,2.01
409,inf,inf
410,inf,inf
412,inf,inf
416,inf,inf
417,inf,inf
418,inf,inf
419,inf,inf
422,inf,inf
423,inf,inf
424,68.79,1.72
425,inf,inf
427,inf,inf
429,inf,inf
430,inf,inf
431,inf,inf
432,inf,inf
433,inf,inf
434,inf,inf
435,inf,inf
437,inf,inf
438,inf,inf
439,inf,inf
441,inf,inf
442,inf,inf
443,inf,inf
444,inf,inf
445,inf,inf
446,inf,inf
448,inf,inf
449,77.02,1.87
451,inf,inf
454,inf,inf
456,inf,inf
457,inf,inf
458,inf,inf
461,inf,inf
462,inf,inf
464,inf,inf
466,inf,inf
468,inf,inf
469,inf,inf
470,inf,inf
472,inf,inf
473,inf,inf
474,78.97,1.07
475,inf,inf
