,äÓñ{ïœêîÇÃÇ›,+ê›íËâ∑ìx,+ãÛí≤â“ì≠éûä‘,ëSïœêîÇ†ÇË
1,inf,inf,inf,inf
2,inf,inf,inf,inf
3,inf,inf,inf,inf
5,72.41,82.38,2.03,4.15
6,inf,inf,inf,inf
7,inf,inf,inf,inf
8,25.51,25.6,27.72,17.58
9,33.48,33.66,21.11,16.52
10,16.12,16.65,15.29,11.59
11,6.13,3.36,6.34,4.66
13,4.83,11.22,6.87,6.77
14,18.91,18.91,17.87,12.68
15,8.86,8.94,4.22,2.77
16,11.29,9.15,9.23,10.3
18,35.89,27.62,64.69,36.76
19,inf,inf,inf,inf
21,inf,inf,inf,inf
22,inf,inf,inf,inf
25,inf,inf,inf,inf
29,85.03,84.7,0.85,2.53
30,inf,inf,inf,inf
31,13.11,7.28,26.15,22.82
32,23.9,17.2,14.7,16.34
33,9.9,8.73,9.95,6.35
34,19.55,18.57,17.6,16.01
35,11.32,6.56,4.74,0.41
36,14.13,9.68,8.41,10.63
37,4.92,2.19,10.83,10.58
38,8.84,13.76,10.59,7.54
44,inf,inf,inf,inf
45,inf,inf,inf,inf
46,inf,inf,inf,inf
49,inf,inf,inf,inf
50,inf,inf,inf,inf
51,inf,inf,inf,inf
52,inf,inf,inf,inf
54,inf,inf,inf,inf
56,29.67,27.48,3.93,4.16
57,24.58,20.49,7.11,2.27
58,35.69,38.65,42.42,20.51
59,7.46,7.66,4.19,6.92
61,4.82,0.3,2.71,7.38
65,inf,inf,inf,inf
66,inf,inf,inf,inf
67,inf,inf,inf,inf
68,inf,inf,inf,inf
69,inf,inf,inf,inf
70,inf,inf,inf,inf
73,inf,inf,inf,inf
74,inf,inf,inf,inf
75,inf,inf,inf,inf
76,inf,inf,inf,inf
77,inf,inf,inf,inf
78,inf,inf,inf,inf
79,inf,inf,inf,inf
81,inf,inf,inf,inf
83,inf,inf,inf,inf
84,inf,inf,inf,inf
87,inf,inf,inf,inf
89,inf,inf,inf,inf
90,inf,inf,inf,inf
91,inf,inf,inf,inf
92,inf,inf,inf,inf
93,70.08,71.58,11.48,2.56
95,inf,inf,inf,inf
97,inf,inf,inf,inf
98,inf,inf,inf,inf
99,inf,inf,inf,inf
100,inf,inf,inf,inf
101,inf,inf,inf,inf
104,inf,inf,inf,inf
105,13.94,13.44,2.69,1.53
106,26.19,27.93,26.45,19.51
107,38.67,51.0,42.79,23.18
108,15.83,18.19,21.91,17.02
110,9.27,5.45,6.0,4.69
112,20.69,23.26,24.23,21.81
113,13.35,6.44,6.8,6.65
114,inf,inf,inf,inf
116,inf,inf,inf,inf
119,inf,inf,inf,inf
120,inf,inf,inf,inf
122,inf,inf,inf,inf
123,inf,inf,inf,inf
125,inf,inf,inf,inf
126,inf,inf,inf,inf
127,7.09,16.87,6.83,1.64
128,25.74,15.45,38.54,27.54
129,42.56,30.66,61.86,36.12
