,äÓñ{ïœêîÇÃÇ›,+ê›íËâ∑ìx,+ãÛí≤â“ì≠éûä‘,ëSïœêîÇ†ÇË
0,inf,inf,inf,inf
1,inf,inf,inf,inf
3,inf,inf,inf,inf
4,inf,inf,inf,inf
5,inf,inf,inf,inf
6,inf,inf,inf,inf
7,inf,inf,inf,inf
8,inf,inf,inf,inf
11,inf,inf,inf,inf
13,inf,inf,inf,inf
14,62.94,73.41,5.71,1.13
15,inf,inf,inf,inf
16,inf,inf,inf,inf
17,inf,inf,inf,inf
18,inf,inf,inf,inf
20,inf,inf,inf,inf
21,inf,inf,inf,inf
22,inf,inf,inf,inf
24,inf,inf,inf,inf
25,inf,inf,inf,inf
26,inf,inf,inf,inf
28,84.01,90.23,2.43,1.97
29,inf,inf,inf,inf
30,inf,inf,inf,inf
31,inf,inf,inf,inf
35,inf,inf,inf,inf
38,inf,inf,inf,inf
39,inf,inf,inf,inf
40,inf,inf,inf,inf
42,84.01,86.09,2.82,2.85
43,inf,inf,inf,inf
45,inf,inf,inf,inf
46,inf,inf,inf,inf
47,inf,inf,inf,inf
48,inf,inf,inf,inf
49,inf,inf,inf,inf
50,inf,inf,inf,inf
53,inf,inf,inf,inf
54,inf,inf,inf,inf
56,inf,inf,inf,inf
57,68.91,68.45,10.46,6.22
58,inf,inf,inf,inf
59,inf,inf,inf,inf
61,inf,inf,inf,inf
62,inf,inf,inf,inf
63,inf,inf,inf,inf
65,inf,inf,inf,inf
66,inf,inf,inf,inf
67,inf,inf,inf,inf
69,inf,inf,inf,inf
72,92.57,91.09,0.83,0.33
73,inf,inf,inf,inf
74,inf,inf,inf,inf
77,inf,inf,inf,inf
78,inf,inf,inf,inf
79,inf,inf,inf,inf
80,inf,inf,inf,inf
82,inf,inf,inf,inf
83,inf,inf,inf,inf
84,inf,inf,inf,inf
85,inf,inf,inf,inf
87,73.1,77.91,7.9,6.77
89,inf,inf,inf,inf
90,inf,inf,inf,inf
91,inf,inf,inf,inf
92,inf,inf,inf,inf
93,inf,inf,inf,inf
96,inf,inf,inf,inf
97,inf,inf,inf,inf
98,inf,inf,inf,inf
99,inf,inf,inf,inf
100,inf,inf,inf,inf
103,inf,inf,inf,inf
104,inf,inf,inf,inf
105,inf,inf,inf,inf
107,inf,inf,inf,inf
108,inf,inf,inf,inf
109,inf,inf,inf,inf
110,4.93,10.41,102.39,93.19
111,26.91,20.49,9.56,4.18
112,37.21,38.07,22.16,25.46
114,inf,inf,inf,inf
115,inf,inf,inf,inf
116,inf,inf,inf,inf
117,inf,inf,inf,inf
119,inf,inf,inf,inf
120,82.85,92.59,2.09,0.96
121,inf,inf,inf,inf
122,inf,inf,inf,inf
124,inf,inf,inf,inf
125,inf,inf,inf,inf
126,inf,inf,inf,inf
127,inf,inf,inf,inf
130,2.51,4.12,4.29,6.45
132,7.76,14.77,2.68,3.17
136,1.19,10.18,0.61,2.28
138,inf,inf,inf,inf
139,inf,inf,inf,inf
140,inf,inf,inf,inf
141,inf,inf,inf,inf
145,inf,inf,inf,inf
146,inf,inf,inf,inf
147,inf,inf,inf,inf
149,inf,inf,inf,inf
150,inf,inf,inf,inf
154,26.98,31.14,21.06,16.84
158,inf,inf,inf,inf
159,61.9,60.49,20.9,8.55
160,inf,inf,inf,inf
162,inf,inf,inf,inf
163,inf,inf,inf,inf
164,inf,inf,inf,inf
166,inf,inf,inf,inf
167,inf,inf,inf,inf
168,inf,inf,inf,inf
169,inf,inf,inf,inf
170,inf,inf,inf,inf
171,inf,inf,inf,inf
172,inf,inf,inf,inf
173,79.57,83.4,1.93,2.92
176,14.05,21.6,1.62,5.21
177,inf,inf,inf,inf
178,inf,inf,inf,inf
179,inf,inf,inf,inf
180,inf,inf,inf,inf
181,inf,inf,inf,inf
182,inf,inf,inf,inf
183,inf,inf,inf,inf
184,inf,inf,inf,inf
185,inf,inf,inf,inf
186,inf,inf,inf,inf
187,inf,inf,inf,inf
188,inf,inf,inf,inf
189,inf,inf,inf,inf
191,inf,inf,inf,inf
192,inf,inf,inf,inf
195,inf,inf,inf,inf
196,inf,inf,inf,inf
197,inf,inf,inf,inf
198,inf,inf,inf,inf
199,inf,inf,inf,inf
201,11.84,8.79,7.26,5.29
202,11.58,22.97,7.25,8.31
205,inf,inf,inf,inf
208,34.77,49.38,38.42,44.58
210,inf,inf,inf,inf
211,inf,inf,inf,inf
212,inf,inf,inf,inf
213,inf,inf,inf,inf
214,inf,inf,inf,inf
216,inf,inf,inf,inf
217,inf,inf,inf,inf
218,inf,inf,inf,inf
219,inf,inf,inf,inf
220,inf,inf,inf,inf
221,inf,inf,inf,inf
222,inf,inf,inf,inf
225,inf,inf,inf,inf
226,inf,inf,inf,inf
227,inf,inf,inf,inf
230,inf,inf,inf,inf
231,inf,inf,inf,inf
232,inf,inf,inf,inf
233,inf,inf,inf,inf
235,inf,inf,inf,inf
236,inf,inf,inf,inf
237,77.87,85.98,1.93,1.47
240,inf,inf,inf,inf
241,inf,inf,inf,inf
242,inf,inf,inf,inf
243,inf,inf,inf,inf
244,inf,inf,inf,inf
245,inf,inf,inf,inf
246,inf,inf,inf,inf
247,inf,inf,inf,inf
252,62.45,72.69,22.75,13.3
253,inf,inf,inf,inf
255,inf,inf,inf,inf
257,inf,inf,inf,inf
260,inf,inf,inf,inf
263,inf,inf,inf,inf
264,inf,inf,inf,inf
266,87.86,93.79,0.76,3.47
270,inf,inf,inf,inf
271,inf,inf,inf,inf
272,39.7,33.3,17.38,18.56
275,inf,inf,inf,inf
278,inf,inf,inf,inf
281,inf,inf,inf,inf
283,inf,inf,inf,inf
284,inf,inf,inf,inf
288,inf,inf,inf,inf
289,inf,inf,inf,inf
292,inf,inf,inf,inf
293,inf,inf,inf,inf
295,inf,inf,inf,inf
296,inf,inf,inf,inf
297,inf,inf,inf,inf
298,inf,inf,inf,inf
299,inf,inf,inf,inf
300,52.37,64.85,20.07,18.87
301,inf,inf,inf,inf
302,inf,inf,inf,inf
303,inf,inf,inf,inf
304,inf,inf,inf,inf
305,inf,inf,inf,inf
308,inf,inf,inf,inf
309,inf,inf,inf,inf
310,inf,inf,inf,inf
311,inf,inf,inf,inf
312,inf,inf,inf,inf
313,inf,inf,inf,inf
314,88.22,88.67,0.64,3.33
315,inf,inf,inf,inf
316,inf,inf,inf,inf
318,inf,inf,inf,inf
319,inf,inf,inf,inf
320,inf,inf,inf,inf
321,inf,inf,inf,inf
322,inf,inf,inf,inf
323,inf,inf,inf,inf
324,inf,inf,inf,inf
327,inf,inf,inf,inf
328,54.74,73.64,11.61,15.45
329,inf,inf,inf,inf
330,inf,inf,inf,inf
331,inf,inf,inf,inf
333,inf,inf,inf,inf
334,inf,inf,inf,inf
335,inf,inf,inf,inf
336,inf,inf,inf,inf
337,inf,inf,inf,inf
338,inf,inf,inf,inf
339,inf,inf,inf,inf
340,inf,inf,inf,inf
341,inf,inf,inf,inf
342,inf,inf,inf,inf
345,7.98,19.23,13.6,11.7
346,8.06,3.21,10.09,13.87
347,22.83,32.08,7.49,5.74
348,41.77,43.59,14.64,20.01
350,inf,inf,inf,inf
351,inf,inf,inf,inf
352,23.79,37.57,20.79,20.33
354,inf,inf,inf,inf
355,inf,inf,inf,inf
356,inf,inf,inf,inf
357,inf,inf,inf,inf
358,inf,inf,inf,inf
359,inf,inf,inf,inf
360,inf,inf,inf,inf
361,inf,inf,inf,inf
362,inf,inf,inf,inf
363,83.81,75.74,1.0,2.15
364,inf,inf,inf,inf
367,inf,inf,inf,inf
368,7.8,5.12,19.96,19.58
369,9.21,15.53,15.24,15.65
373,inf,inf,inf,inf
375,inf,inf,inf,inf
376,inf,inf,inf,inf
377,inf,inf,inf,inf
378,inf,inf,inf,inf
380,inf,inf,inf,inf
381,inf,inf,inf,inf
383,inf,inf,inf,inf
384,inf,inf,inf,inf
390,inf,inf,inf,inf
391,inf,inf,inf,inf
392,inf,inf,inf,inf
394,inf,inf,inf,inf
395,inf,inf,inf,inf
396,inf,inf,inf,inf
397,inf,inf,inf,inf
398,inf,inf,inf,inf
399,inf,inf,inf,inf
400,inf,inf,inf,inf
401,inf,inf,inf,inf
402,inf,inf,inf,inf
404,inf,inf,inf,inf
405,inf,inf,inf,inf
406,inf,inf,inf,inf
407,inf,inf,inf,inf
408,inf,inf,inf,inf
411,inf,inf,inf,inf
414,inf,inf,inf,inf
416,inf,inf,inf,inf
418,53.8,53.39,4.26,7.92
419,inf,inf,inf,inf
421,inf,inf,inf,inf
423,inf,inf,inf,inf
424,inf,inf,inf,inf
425,inf,inf,inf,inf
429,inf,inf,inf,inf
430,inf,inf,inf,inf
431,inf,inf,inf,inf
434,inf,inf,inf,inf
435,inf,inf,inf,inf
436,inf,inf,inf,inf
437,inf,inf,inf,inf
438,inf,inf,inf,inf
439,inf,inf,inf,inf
440,inf,inf,inf,inf
441,inf,inf,inf,inf
443,inf,inf,inf,inf
444,inf,inf,inf,inf
445,inf,inf,inf,inf
446,inf,inf,inf,inf
448,inf,inf,inf,inf
449,inf,inf,inf,inf
451,inf,inf,inf,inf
456,inf,inf,inf,inf
457,inf,inf,inf,inf
458,inf,inf,inf,inf
460,inf,inf,inf,inf
461,76.53,78.02,1.28,2.24
462,inf,inf,inf,inf
463,inf,inf,inf,inf
464,inf,inf,inf,inf
465,inf,inf,inf,inf
467,inf,inf,inf,inf
468,inf,inf,inf,inf
469,inf,inf,inf,inf
471,inf,inf,inf,inf
472,inf,inf,inf,inf
474,inf,inf,inf,inf
475,inf,inf,inf,inf
476,82.49,81.54,2.62,2.72
477,inf,inf,inf,inf
478,inf,inf,inf,inf
479,inf,inf,inf,inf
480,inf,inf,inf,inf
481,inf,inf,inf,inf
482,inf,inf,inf,inf
484,inf,inf,inf,inf
485,inf,inf,inf,inf
486,inf,inf,inf,inf
489,inf,inf,inf,inf
490,34.78,37.01,17.37,20.29
491,inf,inf,inf,inf
492,inf,inf,inf,inf
493,inf,inf,inf,inf
494,inf,inf,inf,inf
495,inf,inf,inf,inf
496,inf,inf,inf,inf
497,inf,inf,inf,inf
498,inf,inf,inf,inf
499,inf,inf,inf,inf
500,inf,inf,inf,inf
501,inf,inf,inf,inf
502,inf,inf,inf,inf
503,inf,inf,inf,inf
504,inf,inf,inf,inf
505,60.72,70.6,6.9,2.99
506,inf,inf,inf,inf
507,inf,inf,inf,inf
510,inf,inf,inf,inf
512,inf,inf,inf,inf
514,inf,inf,inf,inf
515,inf,inf,inf,inf
517,inf,inf,inf,inf
519,41.75,49.51,34.6,24.3
520,inf,inf,inf,inf
523,inf,inf,inf,inf
524,inf,inf,inf,inf
525,inf,inf,inf,inf
527,inf,inf,inf,inf
528,inf,inf,inf,inf
529,inf,inf,inf,inf
530,inf,inf,inf,inf
532,inf,inf,inf,inf
533,inf,inf,inf,inf
534,92.2,84.39,75.89,71.17
536,20.63,38.51,7.62,13.83
537,21.07,48.71,20.42,17.06
538,inf,inf,inf,inf
539,inf,inf,inf,inf
541,inf,inf,inf,inf
543,inf,inf,inf,inf
544,inf,inf,inf,inf
546,inf,inf,inf,inf
547,inf,inf,inf,inf
548,inf,inf,inf,inf
550,inf,inf,inf,inf
553,inf,inf,inf,inf
554,inf,inf,inf,inf
556,inf,inf,inf,inf
557,inf,inf,inf,inf
559,71.32,92.18,3.3,7.4
560,inf,inf,inf,inf
562,inf,inf,inf,inf
563,inf,inf,inf,inf
566,inf,inf,inf,inf
568,inf,inf,inf,inf
569,inf,inf,inf,inf
570,inf,inf,inf,inf
571,inf,inf,inf,inf
573,inf,inf,inf,inf
575,82.09,92.32,0.77,0.29
576,inf,inf,inf,inf
577,inf,inf,inf,inf
578,inf,inf,inf,inf
579,inf,inf,inf,inf
580,inf,inf,inf,inf
581,inf,inf,inf,inf
583,inf,inf,inf,inf
584,inf,inf,inf,inf
585,inf,inf,inf,inf
589,64.7,76.67,11.99,7.72
591,inf,inf,inf,inf
592,inf,inf,inf,inf
593,inf,inf,inf,inf
595,inf,inf,inf,inf
597,inf,inf,inf,inf
598,inf,inf,inf,inf
599,inf,inf,inf,inf
600,inf,inf,inf,inf
601,inf,inf,inf,inf
602,inf,inf,inf,inf
603,inf,inf,inf,inf
604,86.38,84.88,1.14,0.81
605,inf,inf,inf,inf
606,inf,inf,inf,inf
607,inf,inf,inf,inf
608,0.14,4.12,11.26,5.56
609,9.66,12.46,0.35,2.38
610,25.79,32.04,9.82,6.47
611,inf,inf,inf,inf
612,inf,inf,inf,inf
614,inf,inf,inf,inf
615,inf,inf,inf,inf
616,inf,inf,inf,inf
617,inf,inf,inf,inf
619,inf,inf,inf,inf
621,inf,inf,inf,inf
623,inf,inf,inf,inf
624,inf,inf,inf,inf
625,inf,inf,inf,inf
626,inf,inf,inf,inf
628,inf,inf,inf,inf
630,inf,inf,inf,inf
631,inf,inf,inf,inf
635,inf,inf,inf,inf
636,inf,inf,inf,inf
637,inf,inf,inf,inf
638,inf,inf,inf,inf
639,inf,inf,inf,inf
640,inf,inf,inf,inf
641,inf,inf,inf,inf
642,inf,inf,inf,inf
643,inf,inf,inf,inf
644,inf,inf,inf,inf
645,inf,inf,inf,inf
647,inf,inf,inf,inf
648,84.8,80.69,1.95,5.02
649,inf,inf,inf,inf
650,inf,inf,inf,inf
651,inf,inf,inf,inf
652,inf,inf,inf,inf
653,inf,inf,inf,inf
654,inf,inf,inf,inf
655,inf,inf,inf,inf
657,inf,inf,inf,inf
660,inf,inf,inf,inf
662,inf,inf,inf,inf
663,65.46,66.2,9.08,3.26
664,inf,inf,inf,inf
665,inf,inf,inf,inf
666,inf,inf,inf,inf
667,inf,inf,inf,inf
668,inf,inf,inf,inf
669,inf,inf,inf,inf
671,inf,inf,inf,inf
672,inf,inf,inf,inf
674,inf,inf,inf,inf
675,inf,inf,inf,inf
676,inf,inf,inf,inf
678,89.72,91.98,11.58,10.15
679,inf,inf,inf,inf
680,inf,inf,inf,inf
681,inf,inf,inf,inf
682,inf,inf,inf,inf
683,inf,inf,inf,inf
684,inf,inf,inf,inf
685,inf,inf,inf,inf
686,inf,inf,inf,inf
687,inf,inf,inf,inf
689,inf,inf,inf,inf
690,inf,inf,inf,inf
691,inf,inf,inf,inf
692,inf,inf,inf,inf
694,inf,inf,inf,inf
696,inf,inf,inf,inf
697,inf,inf,inf,inf
699,inf,inf,inf,inf
700,inf,inf,inf,inf
701,inf,inf,inf,inf
702,inf,inf,inf,inf
703,inf,inf,inf,inf
705,inf,inf,inf,inf
706,inf,inf,inf,inf
708,inf,inf,inf,inf
709,inf,inf,inf,inf
711,inf,inf,inf,inf
712,inf,inf,inf,inf
714,inf,inf,inf,inf
716,inf,inf,inf,inf
717,inf,inf,inf,inf
718,inf,inf,inf,inf
720,inf,inf,inf,inf
721,inf,inf,inf,inf
722,85.44,87.57,1.2,1.11
724,inf,inf,inf,inf
725,inf,inf,inf,inf
726,inf,inf,inf,inf
727,inf,inf,inf,inf
728,inf,inf,inf,inf
730,inf,inf,inf,inf
731,inf,inf,inf,inf
733,inf,inf,inf,inf
734,inf,inf,inf,inf
735,inf,inf,inf,inf
736,inf,inf,inf,inf
737,72.97,83.96,1.51,8.01
738,inf,inf,inf,inf
739,inf,inf,inf,inf
740,inf,inf,inf,inf
741,inf,inf,inf,inf
743,inf,inf,inf,inf
744,inf,inf,inf,inf
745,inf,inf,inf,inf
746,inf,inf,inf,inf
748,inf,inf,inf,inf
749,inf,inf,inf,inf
750,inf,inf,inf,inf
751,inf,inf,inf,inf
752,61.58,70.76,8.29,4.06
754,inf,inf,inf,inf
755,inf,inf,inf,inf
756,inf,inf,inf,inf
759,inf,inf,inf,inf
760,inf,inf,inf,inf
762,inf,inf,inf,inf
763,inf,inf,inf,inf
764,inf,inf,inf,inf
767,69.78,78.34,6.29,3.08
768,inf,inf,inf,inf
769,inf,inf,inf,inf
772,inf,inf,inf,inf
774,inf,inf,inf,inf
775,inf,inf,inf,inf
776,inf,inf,inf,inf
777,inf,inf,inf,inf
778,inf,inf,inf,inf
779,inf,inf,inf,inf
780,inf,inf,inf,inf
781,inf,inf,inf,inf
782,60.69,71.49,6.22,5.82
783,inf,inf,inf,inf
784,inf,inf,inf,inf
791,inf,inf,inf,inf
793,inf,inf,inf,inf
794,inf,inf,inf,inf
796,82.94,89.75,3.25,0.11
797,inf,inf,inf,inf
799,inf,inf,inf,inf
801,inf,inf,inf,inf
802,inf,inf,inf,inf
803,inf,inf,inf,inf
804,inf,inf,inf,inf
805,inf,inf,inf,inf
807,inf,inf,inf,inf
808,inf,inf,inf,inf
809,inf,inf,inf,inf
810,inf,inf,inf,inf
811,inf,inf,inf,inf
812,84.95,85.82,1.79,0.54
814,inf,inf,inf,inf
816,inf,inf,inf,inf
817,inf,inf,inf,inf
819,inf,inf,inf,inf
820,inf,inf,inf,inf
821,inf,inf,inf,inf
822,inf,inf,inf,inf
823,inf,inf,inf,inf
825,inf,inf,inf,inf
827,83.82,82.5,8.94,6.28
829,inf,inf,inf,inf
830,inf,inf,inf,inf
831,inf,inf,inf,inf
833,inf,inf,inf,inf
834,inf,inf,inf,inf
835,inf,inf,inf,inf
836,inf,inf,inf,inf
837,inf,inf,inf,inf
