,äÓñ{ïœêîÇÃÇ›,è⁄ç◊ïœêîÇ†ÇË
4,43.08,44.41
5,7.44,8.35
6,51.45,52.19
7,5.48,15.0
13,inf,inf
15,175.46,174.42
16,145.21,134.26
19,39.62,50.69
20,115.13,116.21
24,1.02,16.97
30,1.59,13.5
36,20.24,0.44
38,10.77,14.07
39,11.4,1.77
42,36.81,36.35
45,9.46,22.42
47,39.52,41.51
52,25.52,29.52
60,70.54,26.6
62,11.05,13.6
73,28.18,30.63
74,29.89,34.56
78,43.51,41.09
82,25.58,30.82
83,8.87,9.09
86,27.27,42.96
89,47.13,51.66
93,54.72,45.67
94,49.18,42.95
97,15.69,21.32
99,11.94,21.77
100,44.03,39.33
103,64.35,72.33
109,29.33,20.05
112,6.49,1.5
113,18.38,22.26
119,37.35,14.49
131,14.53,20.55
132,29.96,22.5
135,211.22,206.7
137,180.59,133.77
139,189.54,203.74
142,31.1,10.86
144,15.31,15.39
145,10.64,17.38
147,13.45,13.27
153,73.68,94.76
159,2.55,3.66
161,13.13,6.59
166,41.54,38.53
170,16.26,19.29
173,19.79,19.83
183,3.64,2.43
186,11.86,10.11
189,5.69,0.98
203,131.51,90.17
205,1.36,0.26
206,0.71,7.06
207,7.99,10.77
208,7.35,10.06
213,156.09,186.99
227,16.56,8.18
235,28.85,32.63
236,195.56,161.91
241,8.65,22.12
243,13.14,11.82
245,17.23,12.5
250,11.46,17.64
253,6.19,12.73
263,41.22,25.14
264,26.7,31.11
272,43.04,46.64
275,34.04,36.85
279,18.24,22.34
282,2.41,2.33
286,41.55,34.58
288,46.66,34.18
292,22.06,38.35
294,35.55,26.29
297,36.74,31.21
301,10.83,19.46
302,44.89,44.5
303,29.86,22.15
304,41.24,44.54
305,24.42,30.48
306,16.23,15.1
307,51.39,46.78
309,72.6,62.4
314,47.46,52.27
321,49.55,75.5
322,20.43,15.99
324,52.08,49.12
326,27.96,30.62
328,27.75,26.81
329,36.01,31.85
331,17.09,18.4
336,5.74,0.25
337,3.92,3.31
338,4.99,13.44
350,8.42,3.9
354,0.65,0.42
357,141.92,132.01
358,2.58,9.53
360,36.56,35.93
361,12.26,15.0
364,38.8,41.56
367,25.58,23.76
370,174.98,175.72
371,14.26,13.88
383,36.99,32.79
384,42.52,41.83
385,12.39,17.35
386,38.65,37.64
389,44.37,45.36
394,31.5,21.7
395,103.07,79.96
398,34.92,29.67
400,2.13,11.03
403,33.34,32.9
414,47.38,49.34
415,24.02,28.03
420,15.55,20.28
423,35.41,41.22
424,22.52,4.61
425,9.34,24.25
426,42.3,43.6
431,34.9,31.37
437,22.86,47.04
446,44.46,39.25
448,7.76,8.78
449,8.58,25.03
450,17.46,9.06
454,27.85,28.89
455,36.41,34.24
456,30.63,41.71
457,40.7,40.26
459,10.75,0.84
463,10.67,29.73
464,45.47,41.58
465,20.06,10.78
479,29.36,15.99
482,33.83,42.73
486,8.56,13.3
487,58.14,57.63
488,18.05,37.02
489,0.15,4.32
490,43.16,35.32
494,61.44,63.75
495,40.23,61.85
499,48.16,52.45
501,102.25,95.14
504,28.23,34.72
510,58.57,108.45
518,55.65,7.89
519,32.58,9.09
523,26.7,26.32
527,38.4,50.33
531,45.45,45.48
535,13.73,13.78
536,56.91,60.92
539,6.01,0.46
546,17.09,25.49
549,81.44,62.08
551,35.63,46.35
554,20.65,13.38
556,8.94,11.48
559,57.24,41.28
560,7.21,32.56
562,17.6,7.73
563,12.89,7.31
569,114.92,112.28
574,14.39,30.61
584,38.32,32.15
587,12.0,33.62
589,82.64,61.57
590,9.67,23.95
593,16.82,2.49
596,82.0,74.56
600,6.48,22.15
603,13.14,10.95
609,115.39,134.91
615,8.1,1.05
616,2.3,1.62
619,23.12,10.54
630,40.4,51.42
633,41.55,22.15
634,42.6,38.18
637,74.83,46.87
641,29.72,28.34
643,34.86,25.05
645,5.6,27.39
647,7.34,10.85
655,27.52,33.25
657,63.23,66.24
658,68.36,63.32
659,39.23,40.76
665,71.54,62.56
669,116.01,130.35
673,41.79,35.16
678,21.12,23.04
680,51.42,29.97
681,45.94,44.76
682,6.63,25.61
689,28.84,20.09
698,35.12,34.66
706,3.09,6.91
708,2.5,3.91
714,15.04,48.36
718,45.06,47.87
721,53.71,52.05
724,43.61,46.67
726,75.04,65.42
740,70.58,91.33
741,92.11,86.91
749,33.41,28.27
753,25.71,49.46
758,83.85,88.42
759,29.49,29.52
762,115.03,158.59
764,47.94,29.08
765,50.67,24.56
766,42.82,3.5
767,86.65,31.3
779,6.72,24.06
783,24.3,73.13
787,4.19,39.3
791,57.98,51.29
801,41.42,73.19
802,35.48,79.89
806,15.18,38.58
808,inf,inf
809,61.41,61.63
813,5.27,21.61
814,53.88,48.74
821,36.54,47.64
827,37.93,10.25
830,19.96,8.47
832,52.88,42.96
835,29.11,39.51
837,28.67,38.21
838,14.53,8.44
842,34.99,30.24
843,36.25,37.5
846,52.6,41.14
849,42.55,33.85
