,äÓñ{ïœêîÇÃÇ›,è⁄ç◊ïœêîÇ†ÇË
0,inf,inf
1,inf,inf
3,inf,inf
5,inf,inf
6,inf,inf
7,inf,inf
11,inf,inf
12,inf,inf
13,inf,inf
14,inf,inf
15,inf,inf
16,inf,inf
17,64.96,2.68
25,81.07,11.6
27,inf,inf
28,inf,inf
29,inf,inf
30,inf,inf
34,inf,inf
35,inf,inf
38,inf,inf
40,78.45,0.24
42,inf,inf
44,inf,inf
45,inf,inf
46,inf,inf
47,88.16,29.75
48,inf,inf
49,inf,inf
51,inf,inf
53,inf,inf
55,56.67,15.7
56,inf,inf
57,inf,inf
58,inf,inf
59,inf,inf
60,inf,inf
65,inf,inf
66,inf,inf
68,inf,inf
69,inf,inf
70,80.68,11.57
71,inf,inf
73,inf,inf
74,inf,inf
75,inf,inf
76,inf,inf
77,inf,inf
78,85.56,3.71
79,inf,inf
80,inf,inf
81,inf,inf
82,inf,inf
83,inf,inf
85,84.37,40.22
86,inf,inf
87,inf,inf
88,inf,inf
89,inf,inf
90,inf,inf
92,inf,inf
93,45.55,35.9
95,inf,inf
98,inf,inf
99,inf,inf
100,85.62,1.12
101,inf,inf
104,inf,inf
105,inf,inf
107,inf,inf
108,78.93,40.94
109,inf,inf
110,inf,inf
111,inf,inf
116,inf,inf
117,inf,inf
118,inf,inf
119,inf,inf
120,inf,inf
121,inf,inf
123,88.49,2.06
126,inf,inf
127,inf,inf
129,inf,inf
130,68.39,16.92
131,inf,inf
132,inf,inf
133,inf,inf
135,inf,inf
136,inf,inf
137,inf,inf
139,inf,inf
140,inf,inf
141,inf,inf
142,inf,inf
144,inf,inf
147,inf,inf
148,inf,inf
150,inf,inf
151,inf,inf
154,inf,inf
155,inf,inf
156,inf,inf
157,inf,inf
158,inf,inf
159,inf,inf
161,inf,inf
165,inf,inf
166,inf,inf
168,80.48,0.91
169,inf,inf
172,inf,inf
174,inf,inf
176,75.8,5.97
177,inf,inf
178,inf,inf
179,inf,inf
180,inf,inf
182,inf,inf
183,75.74,21.85
184,inf,inf
185,inf,inf
186,inf,inf
187,inf,inf
189,inf,inf
191,88.6,14.71
192,inf,inf
194,inf,inf
195,inf,inf
196,inf,inf
200,inf,inf
202,inf,inf
206,58.0,26.74
207,inf,inf
209,inf,inf
210,inf,inf
211,inf,inf
212,inf,inf
213,36.09,68.36
214,inf,inf
215,inf,inf
216,inf,inf
217,inf,inf
218,inf,inf
220,inf,inf
221,63.05,13.13
223,inf,inf
224,inf,inf
225,inf,inf
226,inf,inf
229,inf,inf
231,inf,inf
232,inf,inf
233,inf,inf
234,inf,inf
235,84.06,63.21
236,inf,inf
237,inf,inf
238,inf,inf
239,inf,inf
240,inf,inf
243,inf,inf
244,inf,inf
246,inf,inf
247,inf,inf
248,81.62,3.63
249,inf,inf
250,inf,inf
252,inf,inf
254,inf,inf
255,60.06,14.91
256,inf,inf
258,inf,inf
260,inf,inf
264,inf,inf
265,inf,inf
267,inf,inf
269,inf,inf
270,72.32,2.69
271,inf,inf
275,inf,inf
278,79.98,12.73
281,inf,inf
282,inf,inf
283,inf,inf
284,inf,inf
285,inf,inf
286,79.08,21.86
287,inf,inf
288,inf,inf
289,inf,inf
290,inf,inf
292,inf,inf
293,86.74,1.12
294,inf,inf
297,inf,inf
298,inf,inf
299,inf,inf
300,inf,inf
301,77.2,21.94
302,inf,inf
303,inf,inf
304,inf,inf
305,inf,inf
306,inf,inf
308,80.69,14.33
309,inf,inf
311,inf,inf
312,inf,inf
313,inf,inf
314,inf,inf
315,inf,inf
318,inf,inf
319,inf,inf
320,inf,inf
322,inf,inf
323,48.98,75.27
324,inf,inf
325,inf,inf
326,inf,inf
327,inf,inf
328,inf,inf
329,inf,inf
330,89.24,6.37
332,inf,inf
333,inf,inf
334,inf,inf
336,inf,inf
337,inf,inf
340,inf,inf
341,inf,inf
343,inf,inf
346,inf,inf
347,inf,inf
350,inf,inf
351,inf,inf
352,inf,inf
354,inf,inf
355,inf,inf
359,inf,inf
360,82.02,1.88
362,inf,inf
363,inf,inf
365,inf,inf
367,inf,inf
369,inf,inf
370,inf,inf
373,inf,inf
374,inf,inf
375,82.1,19.48
376,inf,inf
379,inf,inf
380,inf,inf
381,inf,inf
382,inf,inf
383,81.36,11.82
385,inf,inf
386,inf,inf
390,80.41,3.87
391,inf,inf
392,inf,inf
394,inf,inf
395,inf,inf
396,inf,inf
398,91.12,55.83
399,84.89,32.1
401,inf,inf
402,inf,inf
403,inf,inf
404,inf,inf
405,inf,inf
406,inf,inf
408,inf,inf
409,inf,inf
410,inf,inf
413,inf,inf
414,75.58,0.71
415,inf,inf
416,inf,inf
417,inf,inf
418,inf,inf
419,inf,inf
420,inf,inf
423,inf,inf
424,inf,inf
425,inf,inf
428,inf,inf
429,inf,inf
430,78.03,6.12
432,inf,inf
433,inf,inf
434,inf,inf
435,inf,inf
436,inf,inf
438,inf,inf
439,inf,inf
440,inf,inf
441,inf,inf
442,inf,inf
443,inf,inf
445,73.11,11.71
446,inf,inf
447,inf,inf
449,inf,inf
452,inf,inf
453,83.53,12.74
454,inf,inf
456,inf,inf
457,inf,inf
458,inf,inf
459,inf,inf
462,inf,inf
463,inf,inf
464,inf,inf
466,inf,inf
467,inf,inf
468,39.02,56.11
469,inf,inf
472,inf,inf
473,inf,inf
475,85.26,21.61
476,inf,inf
477,inf,inf
478,inf,inf
479,inf,inf
480,inf,inf
482,inf,inf
483,91.02,5.99
484,inf,inf
485,inf,inf
487,inf,inf
490,inf,inf
491,53.88,19.34
493,inf,inf
495,inf,inf
497,inf,inf
498,68.87,4.8
499,inf,inf
500,inf,inf
501,inf,inf
502,inf,inf
503,inf,inf
504,inf,inf
507,inf,inf
508,inf,inf
509,inf,inf
512,inf,inf
515,inf,inf
516,inf,inf
517,inf,inf
518,inf,inf
519,inf,inf
520,inf,inf
521,26.97,6.97
522,inf,inf
523,inf,inf
524,inf,inf
525,inf,inf
526,inf,inf
527,inf,inf
528,inf,inf
529,76.07,1.88
531,inf,inf
532,inf,inf
536,90.78,7.74
537,inf,inf
539,inf,inf
541,inf,inf
542,inf,inf
543,inf,inf
544,62.85,8.11
546,inf,inf
547,inf,inf
548,inf,inf
550,inf,inf
551,82.39,21.54
552,inf,inf
555,inf,inf
556,inf,inf
558,inf,inf
559,71.89,0.92
560,inf,inf
562,inf,inf
563,inf,inf
565,inf,inf
566,inf,inf
567,61.85,19.88
568,inf,inf
570,inf,inf
572,inf,inf
573,inf,inf
575,inf,inf
576,inf,inf
577,inf,inf
579,inf,inf
580,inf,inf
581,inf,inf
583,inf,inf
587,inf,inf
589,41.1,40.9
590,inf,inf
591,inf,inf
592,inf,inf
594,inf,inf
595,inf,inf
596,inf,inf
597,37.97,52.7
599,inf,inf
600,inf,inf
602,inf,inf
603,inf,inf
605,inf,inf
606,inf,inf
607,inf,inf
608,inf,inf
609,inf,inf
612,47.88,18.51
613,inf,inf
614,inf,inf
615,inf,inf
619,inf,inf
620,71.06,29.85
621,inf,inf
622,inf,inf
623,inf,inf
624,inf,inf
625,inf,inf
627,81.38,13.58
628,inf,inf
629,inf,inf
630,inf,inf
633,inf,inf
634,inf,inf
635,55.62,10.07
637,inf,inf
638,inf,inf
639,inf,inf
640,inf,inf
642,80.51,12.86
643,inf,inf
644,inf,inf
645,inf,inf
646,inf,inf
647,inf,inf
648,inf,inf
649,inf,inf
650,90.34,2.74
651,inf,inf
652,inf,inf
653,inf,inf
654,inf,inf
655,inf,inf
656,inf,inf
658,inf,inf
659,inf,inf
660,inf,inf
662,inf,inf
664,inf,inf
665,65.37,24.19
667,inf,inf
668,inf,inf
670,inf,inf
671,inf,inf
672,inf,inf
673,77.7,1.15
675,inf,inf
676,inf,inf
677,inf,inf
678,inf,inf
679,inf,inf
681,inf,inf
682,inf,inf
683,inf,inf
685,inf,inf
687,inf,inf
689,inf,inf
690,inf,inf
691,inf,inf
692,inf,inf
693,inf,inf
694,inf,inf
695,42.14,11.41
697,inf,inf
699,inf,inf
700,inf,inf
704,inf,inf
705,inf,inf
706,inf,inf
707,inf,inf
709,inf,inf
710,inf,inf
712,inf,inf
713,inf,inf
714,inf,inf
715,inf,inf
717,inf,inf
718,75.54,2.26
720,inf,inf
721,inf,inf
722,inf,inf
723,inf,inf
724,inf,inf
726,78.65,5.82
727,inf,inf
728,inf,inf
729,inf,inf
730,inf,inf
731,inf,inf
732,inf,inf
733,68.88,9.83
734,inf,inf
735,inf,inf
736,inf,inf
737,inf,inf
738,inf,inf
739,inf,inf
740,inf,inf
741,68.8,10.11
742,inf,inf
743,inf,inf
745,inf,inf
746,inf,inf
749,81.1,4.98
750,inf,inf
751,inf,inf
752,inf,inf
753,inf,inf
754,inf,inf
755,inf,inf
756,36.71,31.11
757,inf,inf
758,inf,inf
760,inf,inf
761,inf,inf
764,30.53,71.51
766,inf,inf
767,inf,inf
768,inf,inf
770,inf,inf
771,72.65,12.58
772,inf,inf
775,inf,inf
777,inf,inf
779,79.71,14.2
780,inf,inf
781,inf,inf
782,inf,inf
783,inf,inf
784,inf,inf
787,inf,inf
789,inf,inf
790,inf,inf
792,inf,inf
794,80.11,2.06
796,inf,inf
