,äÓñ{ïœêîÇÃÇ›,è⁄ç◊ïœêîÇ†ÇË
2,inf,inf
4,77.15,3.21
8,6.64,10.03
9,inf,inf
10,25.52,14.17
18,inf,inf
19,51.79,4.66
20,inf,inf
21,inf,inf
22,inf,inf
23,85.1,3.06
24,inf,inf
26,inf,inf
31,inf,inf
32,inf,inf
33,inf,inf
36,inf,inf
37,inf,inf
39,inf,inf
41,inf,inf
43,55.72,3.69
50,65.1,1.68
52,80.61,2.81
54,inf,inf
61,81.86,5.04
62,inf,inf
63,40.82,8.87
64,inf,inf
67,65.09,3.2
72,63.92,0.66
84,inf,inf
91,inf,inf
94,inf,inf
96,52.14,0.02
97,inf,inf
102,81.67,11.09
103,inf,inf
106,inf,inf
112,4.43,51.25
113,12.35,39.95
114,inf,inf
115,78.09,11.66
122,52.25,2.94
124,inf,inf
125,inf,inf
128,20.73,8.34
134,inf,inf
138,inf,inf
143,90.16,3.33
145,inf,inf
146,inf,inf
149,49.21,13.79
152,61.82,7.65
153,74.42,16.66
160,26.25,8.76
162,inf,inf
163,inf,inf
164,64.07,0.8
167,46.38,10.65
170,inf,inf
171,63.41,1.37
173,49.52,11.12
175,143.18,47.41
181,9.38,16.32
188,inf,inf
190,59.37,0.61
193,inf,inf
197,inf,inf
198,45.09,26.08
199,9.94,50.35
201,3.92,6.59
203,16.14,9.98
204,115.81,32.39
205,46.68,5.51
208,25.51,30.91
219,inf,inf
222,14.77,75.85
227,inf,inf
228,inf,inf
230,88.08,7.22
241,inf,inf
242,inf,inf
245,inf,inf
251,19.36,4.12
253,inf,inf
257,inf,inf
259,86.54,1.23
261,inf,inf
262,inf,inf
263,inf,inf
266,86.84,13.04
268,inf,inf
272,81.68,6.67
273,74.02,8.62
274,57.17,15.29
276,11.5,8.88
277,53.34,4.23
279,52.95,5.65
280,inf,inf
291,inf,inf
295,54.14,48.51
296,33.89,5.16
307,inf,inf
310,67.58,0.79
316,inf,inf
317,60.24,0.09
321,inf,inf
331,39.08,2.59
335,inf,inf
338,inf,inf
339,46.33,4.93
342,204.52,61.58
344,25.54,15.96
345,26.92,15.71
348,73.22,17.42
349,24.56,32.59
353,4.96,1.28
356,inf,inf
357,inf,inf
358,inf,inf
361,inf,inf
364,inf,inf
366,37.79,18.04
368,32.13,9.72
371,inf,inf
372,24.15,5.84
377,inf,inf
378,inf,inf
384,inf,inf
387,inf,inf
388,44.04,0.31
389,55.99,0.13
393,55.79,0.86
397,84.81,4.9
400,inf,inf
407,81.22,0.33
411,inf,inf
412,45.25,0.15
421,65.66,5.57
422,inf,inf
426,inf,inf
427,inf,inf
431,inf,inf
437,51.13,6.51
444,13.19,4.66
448,42.66,18.53
450,inf,inf
451,inf,inf
455,inf,inf
460,71.21,3.72
461,89.21,4.35
465,75.81,5.54
470,inf,inf
471,inf,inf
474,inf,inf
481,inf,inf
486,113.26,28.42
488,44.06,1.8
489,inf,inf
492,9.2,22.39
494,inf,inf
496,71.15,17.41
505,80.59,16.52
506,65.13,2.36
510,inf,inf
511,3.69,22.33
513,inf,inf
514,inf,inf
530,inf,inf
533,inf,inf
534,24.11,31.5
535,348.88,51.76
538,inf,inf
540,62.56,18.5
545,61.92,11.35
549,inf,inf
553,inf,inf
554,inf,inf
557,inf,inf
561,81.97,0.49
564,inf,inf
569,inf,inf
571,inf,inf
574,inf,inf
578,inf,inf
582,92.73,4.86
584,50.72,0.97
585,inf,inf
586,inf,inf
588,66.02,7.49
593,inf,inf
598,inf,inf
601,inf,inf
604,97.84,10.02
610,53.88,5.78
611,inf,inf
616,inf,inf
617,inf,inf
618,inf,inf
626,63.95,4.66
631,inf,inf
632,47.36,6.72
636,inf,inf
641,inf,inf
657,inf,inf
661,inf,inf
663,64.54,2.51
666,inf,inf
669,46.2,0.62
674,85.51,0.79
680,inf,inf
684,inf,inf
686,inf,inf
688,inf,inf
696,inf,inf
698,inf,inf
701,inf,inf
702,inf,inf
703,inf,inf
708,36.0,14.37
711,88.71,25.21
716,inf,inf
719,inf,inf
725,inf,inf
744,inf,inf
747,inf,inf
748,96.11,0.07
759,inf,inf
762,inf,inf
763,68.48,5.47
765,inf,inf
769,inf,inf
773,inf,inf
774,118.15,31.13
776,157.68,15.45
778,139.14,0.02
785,inf,inf
786,140.41,0.97
788,inf,inf
791,inf,inf
793,62.25,1.8
795,88.47,2.6
798,58.59,2.71
802,inf,inf
812,70.02,2.25
814,inf,inf
824,111.79,2.57
827,72.11,1.79
829,inf,inf
831,75.75,16.92
833,inf,inf
836,71.69,1.21
840,inf,inf
841,57.37,0.49
842,82.12,2.37
843,inf,inf
847,inf,inf
856,67.83,22.35
857,inf,inf
860,inf,inf
866,inf,inf
867,inf,inf
870,inf,inf
871,70.54,10.06
872,inf,inf
873,inf,inf
876,74.3,2.18
878,inf,inf
879,69.45,12.84
881,inf,inf
882,86.2,3.5
885,76.3,1.54
886,inf,inf
891,inf,inf
899,inf,inf
913,inf,inf
