,ì˙éû,é¿ê—,êÑíË,åé,îN
0,2021-04-01 00:00:00,0.0,0.0,4,2021
1,2021-04-01 01:00:00,0.0,0.0,4,2021
2,2021-04-01 02:00:00,0.0,0.0,4,2021
3,2021-04-01 03:00:00,0.0,0.0,4,2021
4,2021-04-01 04:00:00,1.0,0.97,4,2021
5,2021-04-01 05:00:00,0.0,0.0,4,2021
6,2021-04-01 06:00:00,0.0,0.0,4,2021
7,2021-04-01 07:00:00,0.0,0.0,4,2021
8,2021-04-01 08:00:00,0.0,0.0,4,2021
9,2021-04-01 09:00:00,0.0,0.0,4,2021
10,2021-04-01 10:00:00,0.0,0.0,4,2021
11,2021-04-01 11:00:00,0.0,0.0,4,2021
12,2021-04-01 12:00:00,0.0,0.0,4,2021
13,2021-04-01 13:00:00,0.0,0.0,4,2021
14,2021-04-01 14:00:00,0.0,0.0,4,2021
15,2021-04-01 15:00:00,0.0,0.0,4,2021
16,2021-04-01 16:00:00,0.0,0.0,4,2021
17,2021-04-01 17:00:00,0.0,0.0,4,2021
18,2021-04-01 18:00:00,0.0,0.0,4,2021
19,2021-04-01 19:00:00,0.0,0.0,4,2021
20,2021-04-01 20:00:00,0.0,0.0,4,2021
21,2021-04-01 21:00:00,0.0,0.0,4,2021
22,2021-04-01 22:00:00,0.0,0.0,4,2021
23,2021-04-01 23:00:00,1.0,0.97,4,2021
24,2021-04-02 00:00:00,0.0,0.0,4,2021
25,2021-04-02 01:00:00,0.0,0.0,4,2021
26,2021-04-02 02:00:00,0.0,0.0,4,2021
27,2021-04-02 03:00:00,0.0,0.0,4,2021
28,2021-04-02 04:00:00,0.0,0.0,4,2021
29,2021-04-02 05:00:00,0.0,0.0,4,2021
30,2021-04-02 06:00:00,0.0,0.0,4,2021
31,2021-04-02 07:00:00,0.0,0.0,4,2021
32,2021-04-02 08:00:00,0.0,0.0,4,2021
33,2021-04-02 09:00:00,0.0,0.0,4,2021
34,2021-04-02 10:00:00,0.0,0.0,4,2021
35,2021-04-02 11:00:00,0.0,0.0,4,2021
36,2021-04-02 12:00:00,0.0,0.0,4,2021
37,2021-04-02 13:00:00,0.0,0.0,4,2021
38,2021-04-02 14:00:00,0.0,0.0,4,2021
39,2021-04-02 15:00:00,0.0,0.0,4,2021
40,2021-04-02 16:00:00,0.0,0.0,4,2021
41,2021-04-02 17:00:00,0.0,0.0,4,2021
42,2021-04-02 18:00:00,0.0,0.0,4,2021
43,2021-04-02 19:00:00,1.0,0.97,4,2021
44,2021-04-02 20:00:00,0.0,0.0,4,2021
45,2021-04-02 21:00:00,0.0,0.0,4,2021
46,2021-04-02 22:00:00,0.0,0.0,4,2021
47,2021-04-02 23:00:00,0.0,0.0,4,2021
48,2021-04-03 00:00:00,0.0,0.0,4,2021
49,2021-04-03 01:00:00,0.0,0.0,4,2021
50,2021-04-03 02:00:00,0.0,0.0,4,2021
