,äÓñ{ïœêîÇÃÇ›,è⁄ç◊ïœêîÇ†ÇË
0,41.85,10.47
1,inf,inf
2,inf,inf
3,inf,inf
4,inf,inf
5,37.69,19.33
7,inf,inf
8,inf,inf
9,inf,inf
10,13.73,7.59
13,inf,inf
14,inf,inf
16,inf,inf
17,inf,inf
20,1.63,7.93
21,inf,inf
22,inf,inf
23,inf,inf
25,55.79,8.14
27,inf,inf
28,inf,inf
32,inf,inf
35,inf,inf
36,31.32,130.99
37,inf,inf
38,inf,inf
39,inf,inf
40,inf,inf
41,20.28,67.05
42,inf,inf
43,inf,inf
44,inf,inf
47,inf,inf
49,inf,inf
51,53.84,16.53
52,inf,inf
54,inf,inf
55,inf,inf
56,32.4,44.87
57,inf,inf
58,inf,inf
61,27.94,70.37
63,inf,inf
64,inf,inf
65,inf,inf
66,58.17,31.79
67,inf,inf
68,inf,inf
69,inf,inf
70,inf,inf
72,inf,inf
73,inf,inf
74,inf,inf
79,inf,inf
81,14.14,29.14
83,inf,inf
85,inf,inf
86,inf,inf
87,30.73,75.54
88,inf,inf
89,inf,inf
90,inf,inf
91,inf,inf
92,53.99,26.86
93,inf,inf
95,inf,inf
96,inf,inf
97,52.41,10.48
98,inf,inf
100,inf,inf
102,48.88,18.05
103,inf,inf
104,inf,inf
105,inf,inf
107,6.21,8.96
112,10.49,18.02
114,inf,inf
115,inf,inf
116,inf,inf
117,34.12,33.82
119,inf,inf
120,inf,inf
121,inf,inf
123,51.36,27.54
124,inf,inf
125,inf,inf
126,inf,inf
127,inf,inf
128,33.92,4.52
130,inf,inf
131,inf,inf
132,inf,inf
134,68.69,64.87
135,inf,inf
137,inf,inf
138,inf,inf
139,27.27,5.28
140,inf,inf
142,inf,inf
143,inf,inf
145,53.45,13.89
146,inf,inf
147,inf,inf
149,inf,inf
150,52.04,1.94
151,inf,inf
153,inf,inf
154,inf,inf
156,16.36,78.28
157,inf,inf
159,inf,inf
161,8.55,71.72
162,inf,inf
163,inf,inf
166,inf,inf
167,57.87,7.37
169,inf,inf
171,inf,inf
174,inf,inf
175,inf,inf
176,inf,inf
178,13.94,98.47
180,inf,inf
181,inf,inf
183,0.96,0.16
186,inf,inf
187,inf,inf
188,inf,inf
189,19.97,68.97
190,inf,inf
191,inf,inf
192,inf,inf
193,inf,inf
194,57.15,10.47
196,inf,inf
197,inf,inf
198,inf,inf
199,inf,inf
200,9.65,15.33
201,6.16,27.52
202,1.03,10.93
203,2.71,9.78
204,5.32,10.95
205,5.27,11.56
207,8.09,20.24
208,21.86,26.49
209,0.75,7.0
210,inf,inf
211,inf,inf
212,27.75,24.59
217,inf,inf
218,inf,inf
219,inf,inf
220,37.99,12.64
221,inf,inf
223,inf,inf
224,inf,inf
225,6.67,13.25
226,1.76,4.07
228,9.57,12.95
231,2.1,0.46
232,6.15,2.65
234,inf,inf
235,inf,inf
239,inf,inf
240,inf,inf
242,62.33,8.28
243,inf,inf
246,inf,inf
247,inf,inf
248,17.35,56.75
249,7.58,12.99
251,0.85,0.02
252,8.42,3.02
253,0.18,5.26
254,0.26,9.59
255,0.65,3.67
257,2.13,5.8
259,inf,inf
260,inf,inf
261,inf,inf
262,45.91,30.52
263,inf,inf
264,inf,inf
266,inf,inf
267,inf,inf
268,64.7,2.17
269,inf,inf
270,inf,inf
271,inf,inf
272,inf,inf
275,1.86,2.4
276,4.48,8.52
278,0.06,1.56
279,3.27,14.07
280,0.4,7.5
282,inf,inf
284,inf,inf
285,inf,inf
286,35.43,5.74
287,inf,inf
288,inf,inf
289,inf,inf
290,inf,inf
291,62.93,33.07
292,inf,inf
293,inf,inf
294,inf,inf
295,inf,inf
296,inf,inf
298,3.36,7.27
299,11.21,17.59
300,12.28,19.41
301,53.84,134.45
302,6.71,25.82
306,47.51,67.69
307,inf,inf
308,inf,inf
309,inf,inf
310,inf,inf
311,inf,inf
313,inf,inf
315,inf,inf
316,inf,inf
317,30.77,0.32
318,inf,inf
320,inf,inf
323,27.44,90.44
324,10.13,18.7
325,3.49,9.2
326,3.59,5.61
327,10.14,14.35
329,9.73,21.99
330,inf,inf
331,inf,inf
333,46.23,77.22
337,inf,inf
338,inf,inf
339,inf,inf
340,inf,inf
344,inf,inf
346,4.96,11.95
348,4.32,3.0
350,1.03,6.22
351,5.78,7.6
353,0.03,8.86
355,inf,inf
356,inf,inf
358,inf,inf
359,46.35,23.9
361,inf,inf
362,inf,inf
364,inf,inf
366,inf,inf
367,inf,inf
368,10.65,14.81
369,0.41,21.06
370,6.78,6.94
371,5.52,1.14
372,3.36,21.05
373,4.73,29.11
376,14.79,13.79
377,1.35,5.41
378,25.12,98.21
379,inf,inf
380,inf,inf
382,inf,inf
383,inf,inf
384,51.83,2.06
385,inf,inf
387,inf,inf
388,inf,inf
390,inf,inf
391,inf,inf
392,inf,inf
393,2.87,59.35
394,3.73,14.93
395,0.65,34.53
396,12.06,6.05
398,3.27,2.69
400,9.03,19.48
402,inf,inf
403,inf,inf
404,inf,inf
406,43.32,29.84
407,inf,inf
408,inf,inf
409,inf,inf
410,inf,inf
414,inf,inf
415,inf,inf
416,inf,inf
417,2.26,34.13
419,0.64,14.41
420,6.69,22.56
421,2.09,10.24
422,0.07,6.7
423,2.99,8.26
424,1.92,15.63
425,1.81,13.44
426,inf,inf
427,inf,inf
428,inf,inf
429,19.23,91.72
430,inf,inf
431,inf,inf
432,inf,inf
435,32.97,18.59
436,inf,inf
437,inf,inf
438,inf,inf
441,19.77,28.49
442,13.16,17.05
443,2.33,3.64
