,äÓñ{ïœêîÇÃÇ›,+ê›íËâ∑ìx,+ãÛí≤â“ì≠éûä‘,ëSïœêîÇ†ÇË
0,inf,inf,inf,inf
3,inf,inf,inf,inf
5,inf,inf,inf,inf
6,inf,inf,inf,inf
7,83.41,45.0,16.71,41.96
10,inf,inf,inf,inf
12,90.14,68.58,11.08,28.41
13,inf,inf,inf,inf
15,inf,inf,inf,inf
16,inf,inf,inf,inf
19,inf,inf,inf,inf
22,inf,inf,inf,inf
24,inf,inf,inf,inf
25,inf,inf,inf,inf
26,inf,inf,inf,inf
27,inf,inf,inf,inf
31,inf,inf,inf,inf
32,inf,inf,inf,inf
33,inf,inf,inf,inf
35,inf,inf,inf,inf
40,76.2,63.16,7.05,13.87
41,inf,inf,inf,inf
42,inf,inf,inf,inf
43,inf,inf,inf,inf
45,74.02,69.66,10.07,8.24
46,inf,inf,inf,inf
47,inf,inf,inf,inf
48,inf,inf,inf,inf
49,inf,inf,inf,inf
51,87.07,83.3,7.68,10.27
52,inf,inf,inf,inf
53,inf,inf,inf,inf
56,73.05,81.97,22.99,34.82
57,inf,inf,inf,inf
58,inf,inf,inf,inf
60,inf,inf,inf,inf
61,78.62,64.32,22.09,11.91
62,inf,inf,inf,inf
64,inf,inf,inf,inf
65,inf,inf,inf,inf
66,inf,inf,inf,inf
67,72.7,77.76,1.66,7.82
68,inf,inf,inf,inf
70,inf,inf,inf,inf
71,inf,inf,inf,inf
72,73.19,74.1,3.97,7.0
74,inf,inf,inf,inf
75,inf,inf,inf,inf
76,inf,inf,inf,inf
77,inf,inf,inf,inf
78,67.84,68.26,8.94,9.91
79,inf,inf,inf,inf
81,inf,inf,inf,inf
82,inf,inf,inf,inf
85,inf,inf,inf,inf
86,inf,inf,inf,inf
87,inf,inf,inf,inf
88,inf,inf,inf,inf
89,61.63,52.9,16.68,23.04
91,inf,inf,inf,inf
94,90.85,91.15,19.14,19.92
96,inf,inf,inf,inf
97,inf,inf,inf,inf
99,77.6,66.95,1.93,7.88
100,inf,inf,inf,inf
101,inf,inf,inf,inf
102,inf,inf,inf,inf
103,inf,inf,inf,inf
105,78.03,75.16,1.03,6.59
106,inf,inf,inf,inf
107,inf,inf,inf,inf
108,inf,inf,inf,inf
110,65.75,60.86,29.18,22.88
112,inf,inf,inf,inf
113,inf,inf,inf,inf
114,inf,inf,inf,inf
115,67.58,77.52,4.26,21.36
116,inf,inf,inf,inf
117,inf,inf,inf,inf
118,inf,inf,inf,inf
121,73.99,72.44,1.14,20.23
122,inf,inf,inf,inf
124,inf,inf,inf,inf
125,inf,inf,inf,inf
126,27.8,36.88,30.1,26.43
127,inf,inf,inf,inf
128,inf,inf,inf,inf
129,inf,inf,inf,inf
130,inf,inf,inf,inf
132,inf,inf,inf,inf
134,inf,inf,inf,inf
135,inf,inf,inf,inf
136,inf,inf,inf,inf
137,77.74,88.9,0.32,22.8
138,inf,inf,inf,inf
140,inf,inf,inf,inf
141,inf,inf,inf,inf
146,inf,inf,inf,inf
147,72.35,68.43,5.96,3.17
148,inf,inf,inf,inf
149,inf,inf,inf,inf
151,inf,inf,inf,inf
152,45.48,42.21,19.45,50.29
154,inf,inf,inf,inf
155,inf,inf,inf,inf
156,inf,inf,inf,inf
157,inf,inf,inf,inf
158,64.27,60.13,9.59,8.24
160,inf,inf,inf,inf
162,inf,inf,inf,inf
163,70.16,67.69,15.97,20.96
164,inf,inf,inf,inf
165,inf,inf,inf,inf
168,74.67,73.06,1.6,2.86
169,inf,inf,inf,inf
170,inf,inf,inf,inf
171,inf,inf,inf,inf
172,inf,inf,inf,inf
173,83.36,78.86,0.91,0.22
174,inf,inf,inf,inf
175,inf,inf,inf,inf
176,inf,inf,inf,inf
177,inf,inf,inf,inf
179,53.96,55.43,2.19,15.99
180,inf,inf,inf,inf
181,inf,inf,inf,inf
182,inf,inf,inf,inf
184,71.83,69.84,1.54,21.67
186,inf,inf,inf,inf
187,inf,inf,inf,inf
188,inf,inf,inf,inf
189,75.01,56.19,3.27,16.42
190,inf,inf,inf,inf
191,inf,inf,inf,inf
192,inf,inf,inf,inf
193,inf,inf,inf,inf
194,76.17,80.38,1.06,5.34
195,inf,inf,inf,inf
196,inf,inf,inf,inf
197,inf,inf,inf,inf
198,inf,inf,inf,inf
199,inf,inf,inf,inf
200,61.29,45.05,33.82,32.29
201,inf,inf,inf,inf
203,inf,inf,inf,inf
206,inf,inf,inf,inf
208,inf,inf,inf,inf
209,inf,inf,inf,inf
210,85.66,66.08,31.51,34.16
211,inf,inf,inf,inf
214,inf,inf,inf,inf
215,67.38,74.96,13.27,23.23
216,inf,inf,inf,inf
217,inf,inf,inf,inf
218,inf,inf,inf,inf
219,inf,inf,inf,inf
221,64.91,79.48,8.69,7.59
222,inf,inf,inf,inf
223,inf,inf,inf,inf
224,inf,inf,inf,inf
225,inf,inf,inf,inf
227,inf,inf,inf,inf
228,inf,inf,inf,inf
229,inf,inf,inf,inf
230,inf,inf,inf,inf
231,37.21,48.06,19.05,31.84
232,inf,inf,inf,inf
233,inf,inf,inf,inf
234,inf,inf,inf,inf
235,inf,inf,inf,inf
236,79.98,67.09,0.57,9.24
237,inf,inf,inf,inf
238,inf,inf,inf,inf
239,inf,inf,inf,inf
241,inf,inf,inf,inf
242,71.62,70.39,4.6,0.99
245,inf,inf,inf,inf
246,inf,inf,inf,inf
247,21.88,3.89,82.1,66.16
248,inf,inf,inf,inf
249,inf,inf,inf,inf
252,28.97,55.24,34.72,32.38
253,inf,inf,inf,inf
255,inf,inf,inf,inf
256,inf,inf,inf,inf
257,18.64,35.17,36.69,68.43
258,inf,inf,inf,inf
261,inf,inf,inf,inf
264,inf,inf,inf,inf
266,inf,inf,inf,inf
267,inf,inf,inf,inf
268,75.55,81.87,0.33,2.8
269,inf,inf,inf,inf
270,inf,inf,inf,inf
271,inf,inf,inf,inf
272,inf,inf,inf,inf
273,62.69,54.93,13.51,24.98
274,inf,inf,inf,inf
275,inf,inf,inf,inf
276,inf,inf,inf,inf
277,inf,inf,inf,inf
279,inf,inf,inf,inf
280,inf,inf,inf,inf
281,inf,inf,inf,inf
282,inf,inf,inf,inf
283,inf,inf,inf,inf
284,69.37,75.85,23.28,13.61
287,inf,inf,inf,inf
288,inf,inf,inf,inf
289,79.04,76.96,0.84,8.17
290,inf,inf,inf,inf
292,inf,inf,inf,inf
293,inf,inf,inf,inf
294,inf,inf,inf,inf
295,77.18,64.84,20.91,8.65
296,inf,inf,inf,inf
297,inf,inf,inf,inf
298,inf,inf,inf,inf
300,55.91,27.18,27.53,23.76
301,inf,inf,inf,inf
302,inf,inf,inf,inf
303,inf,inf,inf,inf
306,39.94,46.41,8.92,19.38
308,inf,inf,inf,inf
309,inf,inf,inf,inf
311,86.78,73.28,8.36,10.84
313,inf,inf,inf,inf
314,inf,inf,inf,inf
318,inf,inf,inf,inf
319,inf,inf,inf,inf
320,inf,inf,inf,inf
321,inf,inf,inf,inf
322,3.48,2.01,50.01,72.79
323,inf,inf,inf,inf
324,inf,inf,inf,inf
325,inf,inf,inf,inf
327,34.14,48.76,27.08,50.04
328,inf,inf,inf,inf
329,inf,inf,inf,inf
330,inf,inf,inf,inf
331,inf,inf,inf,inf
332,inf,inf,inf,inf
335,inf,inf,inf,inf
336,inf,inf,inf,inf
337,inf,inf,inf,inf
338,67.08,63.11,2.53,14.19
342,inf,inf,inf,inf
343,101.86,4.09,90.77,73.08
345,inf,inf,inf,inf
348,inf,inf,inf,inf
349,72.14,70.4,9.12,13.64
352,inf,inf,inf,inf
353,inf,inf,inf,inf
355,inf,inf,inf,inf
356,inf,inf,inf,inf
357,inf,inf,inf,inf
359,inf,inf,inf,inf
360,73.89,65.57,1.93,3.54
362,inf,inf,inf,inf
364,inf,inf,inf,inf
365,78.76,66.61,27.2,35.45
367,inf,inf,inf,inf
369,inf,inf,inf,inf
370,72.9,54.59,20.77,4.87
371,inf,inf,inf,inf
373,inf,inf,inf,inf
374,inf,inf,inf,inf
375,inf,inf,inf,inf
376,80.1,86.7,6.31,1.13
377,inf,inf,inf,inf
379,inf,inf,inf,inf
381,72.99,71.1,11.35,11.65
382,inf,inf,inf,inf
383,inf,inf,inf,inf
384,inf,inf,inf,inf
385,inf,inf,inf,inf
386,inf,inf,inf,inf
387,82.84,79.08,5.08,9.61
388,inf,inf,inf,inf
390,inf,inf,inf,inf
392,75.19,73.28,0.85,11.09
393,inf,inf,inf,inf
394,inf,inf,inf,inf
395,inf,inf,inf,inf
400,inf,inf,inf,inf
401,inf,inf,inf,inf
402,inf,inf,inf,inf
403,61.8,64.1,2.07,2.48
404,inf,inf,inf,inf
406,inf,inf,inf,inf
408,inf,inf,inf,inf
409,67.67,69.11,0.97,7.34
410,inf,inf,inf,inf
411,inf,inf,inf,inf
412,inf,inf,inf,inf
413,inf,inf,inf,inf
416,inf,inf,inf,inf
417,inf,inf,inf,inf
418,inf,inf,inf,inf
419,32.15,14.31,63.5,7.54
421,inf,inf,inf,inf
423,inf,inf,inf,inf
425,53.43,27.07,4.33,3.03
426,inf,inf,inf,inf
428,inf,inf,inf,inf
429,inf,inf,inf,inf
431,inf,inf,inf,inf
432,inf,inf,inf,inf
433,inf,inf,inf,inf
434,inf,inf,inf,inf
435,67.11,64.67,25.59,2.91
436,inf,inf,inf,inf
437,inf,inf,inf,inf
438,inf,inf,inf,inf
440,inf,inf,inf,inf
443,inf,inf,inf,inf
444,inf,inf,inf,inf
446,70.1,69.84,15.0,7.34
448,inf,inf,inf,inf
449,inf,inf,inf,inf
451,72.91,80.45,20.01,5.13
452,inf,inf,inf,inf
453,inf,inf,inf,inf
455,inf,inf,inf,inf
456,inf,inf,inf,inf
457,80.19,81.72,4.35,3.67
458,inf,inf,inf,inf
459,inf,inf,inf,inf
461,inf,inf,inf,inf
462,26.36,48.17,4.13,10.33
463,inf,inf,inf,inf
465,inf,inf,inf,inf
468,35.64,43.32,36.58,27.8
469,inf,inf,inf,inf
470,inf,inf,inf,inf
472,inf,inf,inf,inf
473,46.79,44.06,5.31,6.14
474,inf,inf,inf,inf
475,inf,inf,inf,inf
476,inf,inf,inf,inf
478,inf,inf,inf,inf
482,inf,inf,inf,inf
483,inf,inf,inf,inf
484,74.18,65.45,3.61,3.75
486,inf,inf,inf,inf
488,inf,inf,inf,inf
490,inf,inf,inf,inf
491,inf,inf,inf,inf
492,inf,inf,inf,inf
494,inf,inf,inf,inf
496,inf,inf,inf,inf
497,inf,inf,inf,inf
498,inf,inf,inf,inf
499,inf,inf,inf,inf
500,68.29,71.61,6.79,5.54
503,inf,inf,inf,inf
504,inf,inf,inf,inf
505,inf,inf,inf,inf
506,59.46,64.25,19.61,3.75
507,inf,inf,inf,inf
508,inf,inf,inf,inf
511,68.55,68.44,12.2,16.0
513,inf,inf,inf,inf
515,inf,inf,inf,inf
516,inf,inf,inf,inf
517,17.01,39.81,12.89,14.58
518,inf,inf,inf,inf
519,inf,inf,inf,inf
521,inf,inf,inf,inf
522,41.83,21.67,10.7,23.68
526,inf,inf,inf,inf
527,inf,inf,inf,inf
528,76.91,77.94,3.52,1.86
529,inf,inf,inf,inf
530,inf,inf,inf,inf
532,inf,inf,inf,inf
533,73.37,64.11,38.85,35.41
534,inf,inf,inf,inf
535,inf,inf,inf,inf
536,inf,inf,inf,inf
539,inf,inf,inf,inf
541,inf,inf,inf,inf
542,inf,inf,inf,inf
543,inf,inf,inf,inf
544,78.49,71.52,14.16,26.69
545,inf,inf,inf,inf
546,inf,inf,inf,inf
547,inf,inf,inf,inf
549,78.65,67.33,13.22,4.94
551,inf,inf,inf,inf
552,inf,inf,inf,inf
554,inf,inf,inf,inf
555,86.07,83.84,4.96,5.63
556,inf,inf,inf,inf
557,inf,inf,inf,inf
559,inf,inf,inf,inf
560,66.4,86.9,26.48,36.51
561,inf,inf,inf,inf
562,inf,inf,inf,inf
563,inf,inf,inf,inf
564,inf,inf,inf,inf
565,inf,inf,inf,inf
566,77.12,70.42,15.35,30.92
567,inf,inf,inf,inf
568,inf,inf,inf,inf
