,äÓñ{ïœêîÇÃÇ›,+ê›íËâ∑ìx,+ãÛí≤â“ì≠éûä‘,ëSïœêîÇ†ÇË
1,inf,inf,inf,inf
2,76.75,83.04,4.36,12.13
3,inf,inf,inf,inf
6,inf,inf,inf,inf
10,inf,inf,inf,inf
17,inf,inf,inf,inf
21,inf,inf,inf,inf
32,inf,inf,inf,inf
34,125.32,108.7,12.87,16.8
37,inf,inf,inf,inf
39,inf,inf,inf,inf
41,inf,inf,inf,inf
42,inf,inf,inf,inf
49,inf,inf,inf,inf
60,inf,inf,inf,inf
61,105.32,122.23,3.35,8.7
62,inf,inf,inf,inf
69,inf,inf,inf,inf
84,inf,inf,inf,inf
86,inf,inf,inf,inf
87,inf,inf,inf,inf
95,inf,inf,inf,inf
100,inf,inf,inf,inf
103,inf,inf,inf,inf
105,97.46,89.62,18.02,21.97
108,inf,inf,inf,inf
121,74.96,73.78,0.47,3.14
122,inf,inf,inf,inf
126,4.47,27.42,114.15,201.29
128,inf,inf,inf,inf
138,inf,inf,inf,inf
140,inf,inf,inf,inf
147,81.71,80.15,2.33,3.64
149,inf,inf,inf,inf
152,75.08,73.05,34.24,56.01
153,inf,inf,inf,inf
156,inf,inf,inf,inf
159,inf,inf,inf,inf
160,inf,inf,inf,inf
163,105.52,85.77,12.61,20.31
165,inf,inf,inf,inf
167,inf,inf,inf,inf
171,inf,inf,inf,inf
179,115.09,112.63,3.8,36.06
182,inf,inf,inf,inf
183,inf,inf,inf,inf
185,inf,inf,inf,inf
188,inf,inf,inf,inf
189,85.61,84.31,10.04,20.65
193,inf,inf,inf,inf
194,78.02,79.05,7.26,4.46
196,inf,inf,inf,inf
197,inf,inf,inf,inf
201,inf,inf,inf,inf
204,inf,inf,inf,inf
205,100.18,107.42,38.18,5.2
213,inf,inf,inf,inf
215,81.8,106.82,20.66,5.82
218,inf,inf,inf,inf
219,inf,inf,inf,inf
226,11.13,30.88,49.98,76.9
228,inf,inf,inf,inf
244,inf,inf,inf,inf
246,inf,inf,inf,inf
252,58.87,45.93,84.46,152.76
256,inf,inf,inf,inf
267,inf,inf,inf,inf
268,84.75,82.12,0.14,0.49
276,inf,inf,inf,inf
280,inf,inf,inf,inf
285,inf,inf,inf,inf
292,inf,inf,inf,inf
293,inf,inf,inf,inf
294,inf,inf,inf,inf
297,inf,inf,inf,inf
299,inf,inf,inf,inf
302,inf,inf,inf,inf
303,inf,inf,inf,inf
308,inf,inf,inf,inf
309,inf,inf,inf,inf
319,inf,inf,inf,inf
320,inf,inf,inf,inf
321,inf,inf,inf,inf
324,inf,inf,inf,inf
328,inf,inf,inf,inf
330,inf,inf,inf,inf
331,inf,inf,inf,inf
333,84.49,83.65,11.45,13.51
338,80.32,81.91,10.2,5.05
339,inf,inf,inf,inf
340,inf,inf,inf,inf
341,inf,inf,inf,inf
344,inf,inf,inf,inf
345,inf,inf,inf,inf
348,inf,inf,inf,inf
351,inf,inf,inf,inf
353,inf,inf,inf,inf
363,inf,inf,inf,inf
365,84.59,86.78,11.71,29.27
366,inf,inf,inf,inf
375,inf,inf,inf,inf
376,91.17,63.31,19.26,27.72
383,inf,inf,inf,inf
391,inf,inf,inf,inf
392,90.35,99.04,5.43,1.79
394,inf,inf,inf,inf
395,inf,inf,inf,inf
396,inf,inf,inf,inf
397,inf,inf,inf,inf
398,85.26,88.23,21.36,25.62
399,inf,inf,inf,inf
400,inf,inf,inf,inf
407,inf,inf,inf,inf
409,70.71,85.82,6.77,9.73
410,inf,inf,inf,inf
413,inf,inf,inf,inf
428,inf,inf,inf,inf
429,inf,inf,inf,inf
430,82.42,91.0,6.61,2.76
433,inf,inf,inf,inf
436,inf,inf,inf,inf
442,inf,inf,inf,inf
448,inf,inf,inf,inf
452,inf,inf,inf,inf
455,inf,inf,inf,inf
456,inf,inf,inf,inf
457,83.53,86.88,0.21,1.15
460,inf,inf,inf,inf
461,inf,inf,inf,inf
462,82.27,96.06,48.47,36.06
465,inf,inf,inf,inf
469,inf,inf,inf,inf
470,inf,inf,inf,inf
474,inf,inf,inf,inf
479,89.5,88.36,5.36,20.02
483,inf,inf,inf,inf
487,inf,inf,inf,inf
490,inf,inf,inf,inf
491,inf,inf,inf,inf
493,inf,inf,inf,inf
494,inf,inf,inf,inf
495,19.33,34.04,58.16,41.88
500,75.71,79.03,9.39,15.7
505,inf,inf,inf,inf
506,94.54,82.16,33.29,38.19
510,inf,inf,inf,inf
513,inf,inf,inf,inf
514,inf,inf,inf,inf
515,inf,inf,inf,inf
516,inf,inf,inf,inf
529,inf,inf,inf,inf
533,91.03,94.12,2.32,0.28
536,inf,inf,inf,inf
537,inf,inf,inf,inf
538,98.16,88.85,14.4,19.58
541,inf,inf,inf,inf
544,100.16,85.5,3.5,5.49
545,inf,inf,inf,inf
547,inf,inf,inf,inf
548,inf,inf,inf,inf
550,inf,inf,inf,inf
552,inf,inf,inf,inf
553,inf,inf,inf,inf
556,inf,inf,inf,inf
558,inf,inf,inf,inf
559,inf,inf,inf,inf
562,inf,inf,inf,inf
565,inf,inf,inf,inf
566,69.62,94.4,12.94,6.01
567,inf,inf,inf,inf
568,inf,inf,inf,inf
572,inf,inf,inf,inf
581,inf,inf,inf,inf
587,63.57,96.04,34.75,46.54
594,inf,inf,inf,inf
595,inf,inf,inf,inf
606,inf,inf,inf,inf
607,inf,inf,inf,inf
620,60.93,58.68,60.08,51.11
622,inf,inf,inf,inf
627,inf,inf,inf,inf
628,inf,inf,inf,inf
638,inf,inf,inf,inf
649,inf,inf,inf,inf
665,inf,inf,inf,inf
666,inf,inf,inf,inf
667,inf,inf,inf,inf
669,80.77,81.55,1.85,1.65
670,inf,inf,inf,inf
672,inf,inf,inf,inf
673,inf,inf,inf,inf
674,81.55,88.83,6.8,5.47
683,inf,inf,inf,inf
685,86.68,53.61,52.84,63.84
686,inf,inf,inf,inf
702,inf,inf,inf,inf
705,inf,inf,inf,inf
708,inf,inf,inf,inf
710,inf,inf,inf,inf
714,inf,inf,inf,inf
722,inf,inf,inf,inf
723,84.98,85.75,3.8,16.03
724,inf,inf,inf,inf
726,inf,inf,inf,inf
727,inf,inf,inf,inf
729,inf,inf,inf,inf
732,inf,inf,inf,inf
739,9.66,58.67,36.38,41.46
741,inf,inf,inf,inf
743,inf,inf,inf,inf
744,inf,inf,inf,inf
745,85.87,85.08,0.73,6.83
749,inf,inf,inf,inf
757,inf,inf,inf,inf
758,inf,inf,inf,inf
760,inf,inf,inf,inf
771,inf,inf,inf,inf
773,inf,inf,inf,inf
776,inf,inf,inf,inf
781,inf,inf,inf,inf
784,inf,inf,inf,inf
787,inf,inf,inf,inf
790,inf,inf,inf,inf
792,inf,inf,inf,inf
793,84.03,79.5,11.06,0.63
795,inf,inf,inf,inf
800,inf,inf,inf,inf
807,inf,inf,inf,inf
808,inf,inf,inf,inf
812,inf,inf,inf,inf
813,inf,inf,inf,inf
816,inf,inf,inf,inf
819,inf,inf,inf,inf
823,inf,inf,inf,inf
825,inf,inf,inf,inf
835,inf,inf,inf,inf
836,inf,inf,inf,inf
839,inf,inf,inf,inf
843,inf,inf,inf,inf
845,inf,inf,inf,inf
849,inf,inf,inf,inf
853,46.89,12.98,43.52,72.8
855,inf,inf,inf,inf
858,49.82,42.27,3.38,31.78
859,inf,inf,inf,inf
864,84.34,86.77,4.41,0.19
865,inf,inf,inf,inf
