,äÓñ{ïœêîÇÃÇ›,+ê›íËâ∑ìx,+ãÛí≤â“ì≠éûä‘,ëSïœêîÇ†ÇË
0,inf,inf,inf,inf
1,inf,inf,inf,inf
3,82.26,81.88,1.77,4.61
4,inf,inf,inf,inf
5,inf,inf,inf,inf
6,inf,inf,inf,inf
7,inf,inf,inf,inf
8,46.74,28.35,23.53,24.03
9,inf,inf,inf,inf
10,inf,inf,inf,inf
11,inf,inf,inf,inf
12,inf,inf,inf,inf
13,inf,inf,inf,inf
14,inf,inf,inf,inf
15,inf,inf,inf,inf
17,inf,inf,inf,inf
19,inf,inf,inf,inf
20,inf,inf,inf,inf
21,inf,inf,inf,inf
23,87.24,83.19,2.69,6.48
24,inf,inf,inf,inf
25,inf,inf,inf,inf
26,inf,inf,inf,inf
27,inf,inf,inf,inf
28,inf,inf,inf,inf
30,51.69,54.05,2.52,1.58
32,inf,inf,inf,inf
33,inf,inf,inf,inf
34,inf,inf,inf,inf
35,inf,inf,inf,inf
37,inf,inf,inf,inf
38,58.64,41.9,12.34,0.66
39,inf,inf,inf,inf
40,inf,inf,inf,inf
41,inf,inf,inf,inf
45,80.39,87.43,0.27,0.61
46,inf,inf,inf,inf
47,inf,inf,inf,inf
48,inf,inf,inf,inf
50,inf,inf,inf,inf
51,inf,inf,inf,inf
52,85.8,78.35,0.21,0.13
54,inf,inf,inf,inf
55,40.78,41.49,4.31,7.4
56,inf,inf,inf,inf
58,inf,inf,inf,inf
59,inf,inf,inf,inf
61,29.67,46.97,14.32,1.49
62,inf,inf,inf,inf
64,inf,inf,inf,inf
65,inf,inf,inf,inf
66,inf,inf,inf,inf
67,85.04,85.27,5.41,4.74
69,inf,inf,inf,inf
71,inf,inf,inf,inf
72,inf,inf,inf,inf
73,inf,inf,inf,inf
74,81.8,85.82,1.68,1.02
75,inf,inf,inf,inf
76,inf,inf,inf,inf
77,inf,inf,inf,inf
79,inf,inf,inf,inf
80,inf,inf,inf,inf
81,73.35,72.84,0.56,10.58
82,inf,inf,inf,inf
83,inf,inf,inf,inf
85,inf,inf,inf,inf
87,inf,inf,inf,inf
89,82.61,93.27,1.5,8.99
90,inf,inf,inf,inf
92,inf,inf,inf,inf
94,inf,inf,inf,inf
95,inf,inf,inf,inf
96,79.87,70.35,0.7,2.0
97,inf,inf,inf,inf
98,inf,inf,inf,inf
100,inf,inf,inf,inf
101,inf,inf,inf,inf
102,51.17,41.82,5.99,10.6
103,inf,inf,inf,inf
105,inf,inf,inf,inf
106,inf,inf,inf,inf
107,inf,inf,inf,inf
108,57.05,50.4,32.06,22.35
109,inf,inf,inf,inf
111,inf,inf,inf,inf
112,inf,inf,inf,inf
116,inf,inf,inf,inf
117,inf,inf,inf,inf
118,inf,inf,inf,inf
120,inf,inf,inf,inf
121,inf,inf,inf,inf
122,86.31,80.64,12.44,1.34
124,inf,inf,inf,inf
125,inf,inf,inf,inf
127,30.55,41.9,71.48,48.97
128,inf,inf,inf,inf
129,21.62,4.06,62.82,42.97
130,26.21,1.19,67.3,35.64
131,inf,inf,inf,inf
132,inf,inf,inf,inf
135,inf,inf,inf,inf
136,inf,inf,inf,inf
138,inf,inf,inf,inf
139,inf,inf,inf,inf
140,84.64,85.21,2.03,3.7
141,inf,inf,inf,inf
142,inf,inf,inf,inf
143,inf,inf,inf,inf
144,inf,inf,inf,inf
145,inf,inf,inf,inf
146,inf,inf,inf,inf
148,inf,inf,inf,inf
149,inf,inf,inf,inf
150,30.13,27.09,20.92,13.81
152,45.6,6.39,30.97,44.32
153,7.95,9.74,14.37,10.01
154,51.29,52.1,28.23,40.28
155,17.64,15.99,16.93,12.57
157,inf,inf,inf,inf
160,48.85,54.24,5.21,1.88
161,inf,inf,inf,inf
162,inf,inf,inf,inf
166,inf,inf,inf,inf
167,79.04,83.24,13.43,7.73
168,inf,inf,inf,inf
169,inf,inf,inf,inf
171,inf,inf,inf,inf
172,inf,inf,inf,inf
173,inf,inf,inf,inf
174,50.92,62.88,16.07,23.3
176,15.11,17.64,52.81,49.54
177,20.77,1.92,20.04,19.57
178,inf,inf,inf,inf
179,10.73,30.66,13.86,26.62
180,19.58,46.03,20.04,10.22
181,inf,inf,inf,inf
183,56.7,60.62,0.97,3.71
184,inf,inf,inf,inf
186,inf,inf,inf,inf
187,inf,inf,inf,inf
188,inf,inf,inf,inf
189,inf,inf,inf,inf
190,inf,inf,inf,inf
193,inf,inf,inf,inf
194,inf,inf,inf,inf
195,inf,inf,inf,inf
196,inf,inf,inf,inf
197,inf,inf,inf,inf
201,25.35,16.48,26.26,18.08
203,inf,inf,inf,inf
204,2.41,8.48,22.62,29.04
205,38.37,36.2,8.85,6.71
206,inf,inf,inf,inf
207,63.1,69.46,31.77,28.41
208,inf,inf,inf,inf
209,inf,inf,inf,inf
210,inf,inf,inf,inf
211,77.47,74.11,37.36,26.46
212,47.94,49.05,17.81,12.5
215,78.77,78.37,40.44,32.9
216,73.14,48.64,1.69,0.51
217,inf,inf,inf,inf
218,inf,inf,inf,inf
219,inf,inf,inf,inf
222,21.86,29.62,13.93,8.07
223,inf,inf,inf,inf
224,inf,inf,inf,inf
226,inf,inf,inf,inf
227,inf,inf,inf,inf
230,38.17,59.0,21.63,21.07
231,inf,inf,inf,inf
234,inf,inf,inf,inf
236,inf,inf,inf,inf
237,78.56,78.44,3.83,3.32
238,inf,inf,inf,inf
239,inf,inf,inf,inf
242,inf,inf,inf,inf
243,inf,inf,inf,inf
244,67.83,73.61,12.08,7.08
245,inf,inf,inf,inf
246,inf,inf,inf,inf
247,inf,inf,inf,inf
248,inf,inf,inf,inf
250,inf,inf,inf,inf
251,48.85,49.71,2.98,0.77
252,inf,inf,inf,inf
255,inf,inf,inf,inf
256,inf,inf,inf,inf
257,inf,inf,inf,inf
259,81.25,82.87,1.75,14.39
261,inf,inf,inf,inf
262,inf,inf,inf,inf
263,inf,inf,inf,inf
264,inf,inf,inf,inf
265,inf,inf,inf,inf
268,inf,inf,inf,inf
269,inf,inf,inf,inf
271,23.91,33.54,1.43,1.68
272,48.27,61.05,29.41,31.61
274,20.91,32.05,24.14,14.04
275,inf,inf,inf,inf
276,10.99,34.24,21.44,12.98
278,inf,inf,inf,inf
279,inf,inf,inf,inf
280,inf,inf,inf,inf
281,60.91,77.26,2.22,1.82
282,inf,inf,inf,inf
283,inf,inf,inf,inf
285,inf,inf,inf,inf
286,inf,inf,inf,inf
287,inf,inf,inf,inf
289,inf,inf,inf,inf
291,inf,inf,inf,inf
292,inf,inf,inf,inf
293,inf,inf,inf,inf
297,61.13,59.85,21.1,12.41
298,inf,inf,inf,inf
299,inf,inf,inf,inf
300,inf,inf,inf,inf
302,62.74,68.56,4.47,2.66
303,inf,inf,inf,inf
304,inf,inf,inf,inf
305,inf,inf,inf,inf
307,inf,inf,inf,inf
308,inf,inf,inf,inf
309,inf,inf,inf,inf
310,86.18,87.23,0.87,1.01
311,inf,inf,inf,inf
312,inf,inf,inf,inf
313,inf,inf,inf,inf
314,inf,inf,inf,inf
316,inf,inf,inf,inf
318,inf,inf,inf,inf
319,inf,inf,inf,inf
320,inf,inf,inf,inf
321,inf,inf,inf,inf
322,32.19,22.35,9.36,0.57
325,inf,inf,inf,inf
327,inf,inf,inf,inf
329,inf,inf,inf,inf
330,inf,inf,inf,inf
332,inf,inf,inf,inf
333,74.77,87.1,13.81,9.06
334,inf,inf,inf,inf
336,inf,inf,inf,inf
337,inf,inf,inf,inf
338,inf,inf,inf,inf
339,inf,inf,inf,inf
340,68.04,80.08,5.22,2.84
341,inf,inf,inf,inf
344,30.42,39.39,22.51,21.53
345,4.86,11.5,1.82,10.01
347,11.47,9.18,29.96,25.29
348,5.03,11.73,27.74,20.45
350,inf,inf,inf,inf
352,inf,inf,inf,inf
353,inf,inf,inf,inf
354,inf,inf,inf,inf
356,inf,inf,inf,inf
357,inf,inf,inf,inf
359,inf,inf,inf,inf
360,inf,inf,inf,inf
361,inf,inf,inf,inf
363,inf,inf,inf,inf
365,inf,inf,inf,inf
366,13.31,8.75,34.26,35.95
368,6.97,6.87,72.11,60.24
370,inf,inf,inf,inf
371,inf,inf,inf,inf
372,35.33,42.55,19.93,13.61
373,inf,inf,inf,inf
375,58.03,59.45,4.55,4.51
376,inf,inf,inf,inf
377,inf,inf,inf,inf
378,inf,inf,inf,inf
380,inf,inf,inf,inf
381,inf,inf,inf,inf
382,81.88,87.92,0.25,0.81
383,inf,inf,inf,inf
384,inf,inf,inf,inf
385,inf,inf,inf,inf
386,inf,inf,inf,inf
387,inf,inf,inf,inf
388,inf,inf,inf,inf
390,50.53,47.07,6.2,5.45
391,inf,inf,inf,inf
392,57.5,66.39,6.55,1.05
393,65.71,75.73,5.91,2.28
394,inf,inf,inf,inf
395,56.96,67.78,2.66,4.53
396,inf,inf,inf,inf
397,77.42,79.7,5.75,1.23
398,inf,inf,inf,inf
400,inf,inf,inf,inf
401,inf,inf,inf,inf
402,inf,inf,inf,inf
403,inf,inf,inf,inf
404,inf,inf,inf,inf
408,inf,inf,inf,inf
411,inf,inf,inf,inf
412,inf,inf,inf,inf
416,inf,inf,inf,inf
418,inf,inf,inf,inf
419,inf,inf,inf,inf
420,inf,inf,inf,inf
421,66.54,76.71,13.7,15.52
423,inf,inf,inf,inf
425,inf,inf,inf,inf
426,inf,inf,inf,inf
428,84.83,76.85,2.42,13.01
429,inf,inf,inf,inf
431,inf,inf,inf,inf
432,inf,inf,inf,inf
433,inf,inf,inf,inf
435,87.1,79.76,13.28,0.08
436,inf,inf,inf,inf
437,inf,inf,inf,inf
438,inf,inf,inf,inf
439,9.54,3.29,22.6,45.88
440,inf,inf,inf,inf
441,inf,inf,inf,inf
444,30.95,36.81,3.79,6.03
445,41.06,25.41,0.02,7.71
447,inf,inf,inf,inf
448,inf,inf,inf,inf
450,inf,inf,inf,inf
451,inf,inf,inf,inf
452,inf,inf,inf,inf
453,87.39,86.64,5.04,6.03
455,inf,inf,inf,inf
456,inf,inf,inf,inf
458,inf,inf,inf,inf
459,inf,inf,inf,inf
460,77.05,83.04,5.15,4.23
461,inf,inf,inf,inf
462,39.19,30.42,17.46,26.73
463,11.82,21.06,4.52,18.75
466,43.79,24.66,21.27,8.47
467,inf,inf,inf,inf
468,inf,inf,inf,inf
469,inf,inf,inf,inf
471,inf,inf,inf,inf
473,49.5,47.37,5.15,2.32
474,inf,inf,inf,inf
475,inf,inf,inf,inf
476,inf,inf,inf,inf
477,inf,inf,inf,inf
478,inf,inf,inf,inf
479,inf,inf,inf,inf
480,88.91,84.93,2.69,7.7
481,inf,inf,inf,inf
482,inf,inf,inf,inf
483,inf,inf,inf,inf
485,inf,inf,inf,inf
486,57.41,46.17,1.73,3.21
487,inf,inf,inf,inf
488,inf,inf,inf,inf
492,36.12,0.85,7.58,11.1
494,inf,inf,inf,inf
495,inf,inf,inf,inf
496,inf,inf,inf,inf
498,inf,inf,inf,inf
499,84.02,86.31,0.33,0.03
500,inf,inf,inf,inf
501,inf,inf,inf,inf
502,inf,inf,inf,inf
503,inf,inf,inf,inf
505,inf,inf,inf,inf
506,38.79,55.79,13.88,3.87
507,inf,inf,inf,inf
508,inf,inf,inf,inf
514,inf,inf,inf,inf
515,inf,inf,inf,inf
516,inf,inf,inf,inf
518,35.64,45.3,0.32,1.75
519,inf,inf,inf,inf
520,inf,inf,inf,inf
522,inf,inf,inf,inf
523,inf,inf,inf,inf
524,inf,inf,inf,inf
525,78.93,86.82,0.13,0.8
526,inf,inf,inf,inf
527,inf,inf,inf,inf
529,inf,inf,inf,inf
532,79.43,84.5,1.96,1.44
533,inf,inf,inf,inf
534,inf,inf,inf,inf
536,inf,inf,inf,inf
537,31.86,46.82,5.47,7.81
540,inf,inf,inf,inf
541,27.78,43.13,5.67,3.34
542,inf,inf,inf,inf
543,inf,inf,inf,inf
544,inf,inf,inf,inf
546,inf,inf,inf,inf
548,85.06,77.69,0.37,4.25
550,inf,inf,inf,inf
551,inf,inf,inf,inf
552,inf,inf,inf,inf
556,inf,inf,inf,inf
557,inf,inf,inf,inf
558,inf,inf,inf,inf
560,inf,inf,inf,inf
562,inf,inf,inf,inf
563,62.58,55.72,11.9,8.58
564,inf,inf,inf,inf
565,inf,inf,inf,inf
566,inf,inf,inf,inf
567,inf,inf,inf,inf
569,inf,inf,inf,inf
570,86.86,89.8,0.92,1.28
571,inf,inf,inf,inf
573,inf,inf,inf,inf
574,inf,inf,inf,inf
578,inf,inf,inf,inf
579,inf,inf,inf,inf
580,inf,inf,inf,inf
581,inf,inf,inf,inf
582,inf,inf,inf,inf
583,inf,inf,inf,inf
584,83.05,62.82,3.17,7.25
585,inf,inf,inf,inf
586,inf,inf,inf,inf
588,inf,inf,inf,inf
589,inf,inf,inf,inf
590,inf,inf,inf,inf
591,80.23,61.03,6.08,0.86
592,inf,inf,inf,inf
593,inf,inf,inf,inf
594,inf,inf,inf,inf
595,inf,inf,inf,inf
596,inf,inf,inf,inf
597,inf,inf,inf,inf
598,inf,inf,inf,inf
599,64.37,83.38,3.74,0.89
600,inf,inf,inf,inf
601,inf,inf,inf,inf
602,inf,inf,inf,inf
603,inf,inf,inf,inf
604,inf,inf,inf,inf
605,inf,inf,inf,inf
606,0.94,22.68,37.97,43.82
607,inf,inf,inf,inf
608,inf,inf,inf,inf
609,inf,inf,inf,inf
610,40.75,19.21,5.99,4.84
611,inf,inf,inf,inf
612,31.97,46.33,10.61,5.97
614,inf,inf,inf,inf
615,inf,inf,inf,inf
620,inf,inf,inf,inf
621,inf,inf,inf,inf
622,inf,inf,inf,inf
623,inf,inf,inf,inf
625,inf,inf,inf,inf
628,inf,inf,inf,inf
629,inf,inf,inf,inf
630,inf,inf,inf,inf
631,inf,inf,inf,inf
632,inf,inf,inf,inf
634,inf,inf,inf,inf
635,inf,inf,inf,inf
636,inf,inf,inf,inf
637,inf,inf,inf,inf
638,inf,inf,inf,inf
639,inf,inf,inf,inf
640,64.28,72.96,0.14,3.35
643,inf,inf,inf,inf
644,inf,inf,inf,inf
645,inf,inf,inf,inf
646,inf,inf,inf,inf
647,86.11,78.36,0.48,1.83
648,inf,inf,inf,inf
650,inf,inf,inf,inf
652,inf,inf,inf,inf
653,inf,inf,inf,inf
655,inf,inf,inf,inf
657,inf,inf,inf,inf
658,53.99,55.07,8.73,9.54
659,inf,inf,inf,inf
660,44.49,54.33,0.5,10.23
661,inf,inf,inf,inf
662,inf,inf,inf,inf
663,60.68,52.66,0.64,0.59
666,inf,inf,inf,inf
667,inf,inf,inf,inf
668,inf,inf,inf,inf
669,inf,inf,inf,inf
670,81.09,81.06,2.46,0.51
672,inf,inf,inf,inf
673,inf,inf,inf,inf
674,inf,inf,inf,inf
676,inf,inf,inf,inf
677,80.91,78.63,2.25,0.42
682,inf,inf,inf,inf
683,inf,inf,inf,inf
684,inf,inf,inf,inf
685,83.36,95.65,7.31,6.25
686,inf,inf,inf,inf
689,inf,inf,inf,inf
690,inf,inf,inf,inf
692,81.15,82.34,2.37,1.41
693,inf,inf,inf,inf
695,inf,inf,inf,inf
696,inf,inf,inf,inf
697,inf,inf,inf,inf
699,inf,inf,inf,inf
700,69.9,80.89,2.2,1.31
704,inf,inf,inf,inf
705,inf,inf,inf,inf
706,inf,inf,inf,inf
708,30.76,27.82,14.01,3.7
710,inf,inf,inf,inf
712,inf,inf,inf,inf
713,inf,inf,inf,inf
714,70.18,66.01,6.97,7.4
715,inf,inf,inf,inf
720,inf,inf,inf,inf
722,76.28,83.26,8.58,4.66
723,inf,inf,inf,inf
724,inf,inf,inf,inf
725,inf,inf,inf,inf
726,inf,inf,inf,inf
727,inf,inf,inf,inf
728,inf,inf,inf,inf
729,49.58,53.46,23.15,13.58
730,77.89,74.08,11.57,16.01
731,inf,inf,inf,inf
732,inf,inf,inf,inf
735,inf,inf,inf,inf
737,inf,inf,inf,inf
738,inf,inf,inf,inf
739,inf,inf,inf,inf
740,61.14,47.93,18.22,13.84
746,inf,inf,inf,inf
747,inf,inf,inf,inf
748,77.78,76.56,7.63,9.01
752,inf,inf,inf,inf
755,56.3,67.44,3.59,4.86
756,inf,inf,inf,inf
757,inf,inf,inf,inf
759,inf,inf,inf,inf
762,inf,inf,inf,inf
763,55.6,58.9,4.5,13.15
764,inf,inf,inf,inf
765,inf,inf,inf,inf
766,inf,inf,inf,inf
769,inf,inf,inf,inf
770,67.35,72.13,3.04,5.43
771,inf,inf,inf,inf
772,inf,inf,inf,inf
776,inf,inf,inf,inf
777,inf,inf,inf,inf
779,inf,inf,inf,inf
780,inf,inf,inf,inf
781,inf,inf,inf,inf
782,inf,inf,inf,inf
785,inf,inf,inf,inf
789,inf,inf,inf,inf
790,inf,inf,inf,inf
791,inf,inf,inf,inf
793,81.66,80.04,1.56,6.41
794,inf,inf,inf,inf
796,inf,inf,inf,inf
799,inf,inf,inf,inf
800,inf,inf,inf,inf
803,inf,inf,inf,inf
804,inf,inf,inf,inf
807,inf,inf,inf,inf
808,inf,inf,inf,inf
809,63.39,70.07,1.81,10.35
811,inf,inf,inf,inf
812,inf,inf,inf,inf
814,inf,inf,inf,inf
817,inf,inf,inf,inf
