,äÓñ{ïœêîÇÃÇ›,+ê›íËâ∑ìx,+ãÛí≤â“ì≠éûä‘,ëSïœêîÇ†ÇË
0,inf,inf,inf,inf
2,inf,inf,inf,inf
3,inf,inf,inf,inf
4,inf,inf,inf,inf
5,inf,inf,inf,inf
6,inf,inf,inf,inf
8,inf,inf,inf,inf
11,inf,inf,inf,inf
14,inf,inf,inf,inf
15,inf,inf,inf,inf
16,inf,inf,inf,inf
17,inf,inf,inf,inf
21,inf,inf,inf,inf
22,inf,inf,inf,inf
27,inf,inf,inf,inf
28,inf,inf,inf,inf
29,inf,inf,inf,inf
30,94.61,96.21,6.0,5.06
32,inf,inf,inf,inf
33,inf,inf,inf,inf
35,inf,inf,inf,inf
36,inf,inf,inf,inf
37,inf,inf,inf,inf
39,inf,inf,inf,inf
40,inf,inf,inf,inf
41,inf,inf,inf,inf
42,inf,inf,inf,inf
43,inf,inf,inf,inf
44,inf,inf,inf,inf
48,inf,inf,inf,inf
50,95.17,95.96,3.51,3.05
52,inf,inf,inf,inf
53,inf,inf,inf,inf
54,inf,inf,inf,inf
57,inf,inf,inf,inf
59,inf,inf,inf,inf
60,inf,inf,inf,inf
61,inf,inf,inf,inf
62,inf,inf,inf,inf
64,inf,inf,inf,inf
65,inf,inf,inf,inf
66,inf,inf,inf,inf
67,inf,inf,inf,inf
68,inf,inf,inf,inf
70,95.87,92.78,3.17,3.05
72,inf,inf,inf,inf
73,inf,inf,inf,inf
76,inf,inf,inf,inf
78,inf,inf,inf,inf
80,inf,inf,inf,inf
81,inf,inf,inf,inf
82,inf,inf,inf,inf
83,inf,inf,inf,inf
84,inf,inf,inf,inf
85,inf,inf,inf,inf
87,inf,inf,inf,inf
91,inf,inf,inf,inf
96,inf,inf,inf,inf
97,inf,inf,inf,inf
98,inf,inf,inf,inf
100,inf,inf,inf,inf
101,inf,inf,inf,inf
102,inf,inf,inf,inf
103,inf,inf,inf,inf
104,inf,inf,inf,inf
105,inf,inf,inf,inf
106,inf,inf,inf,inf
107,8.49,5.63,19.66,14.42
108,1.08,1.45,20.84,16.45
110,54.07,54.32,22.46,18.54
113,41.78,45.03,23.13,25.21
114,inf,inf,inf,inf
115,inf,inf,inf,inf
116,inf,inf,inf,inf
118,inf,inf,inf,inf
119,inf,inf,inf,inf
121,inf,inf,inf,inf
123,inf,inf,inf,inf
124,inf,inf,inf,inf
126,inf,inf,inf,inf
128,6.18,11.03,14.16,13.31
129,50.7,53.67,52.21,61.52
130,16.91,18.26,18.21,15.17
131,24.38,15.89,28.41,24.67
132,33.8,33.76,30.76,36.2
133,40.78,47.55,29.86,30.84
135,2.95,2.36,18.39,15.68
136,28.84,36.33,32.38,37.39
137,43.22,44.8,32.86,33.96
138,inf,inf,inf,inf
140,inf,inf,inf,inf
141,inf,inf,inf,inf
142,inf,inf,inf,inf
143,inf,inf,inf,inf
145,inf,inf,inf,inf
