,äÓñ{ïœêîÇÃÇ›,+ê›íËâ∑ìx,+ãÛí≤â“ì≠éûä‘,ëSïœêîÇ†ÇË
0,inf,inf,inf,inf
4,67.77,71.78,1.4,1.61
5,inf,inf,inf,inf
7,inf,inf,inf,inf
8,43.19,13.69,9.67,11.39
9,inf,inf,inf,inf
11,inf,inf,inf,inf
12,inf,inf,inf,inf
13,inf,inf,inf,inf
14,25.09,26.16,8.16,8.67
15,inf,inf,inf,inf
16,53.69,39.04,2.25,6.51
18,inf,inf,inf,inf
19,61.6,61.14,0.17,0.79
20,inf,inf,inf,inf
22,inf,inf,inf,inf
23,66.08,65.43,1.33,0.66
24,inf,inf,inf,inf
25,51.62,54.87,0.17,1.26
26,inf,inf,inf,inf
27,inf,inf,inf,inf
28,54.27,51.77,0.02,1.19
29,inf,inf,inf,inf
30,63.98,62.11,5.91,14.65
31,inf,inf,inf,inf
33,inf,inf,inf,inf
35,inf,inf,inf,inf
36,inf,inf,inf,inf
38,40.87,39.28,10.24,11.7
40,13.15,26.29,7.03,8.84
43,54.74,61.49,0.41,0.82
44,46.13,50.61,0.18,0.18
45,66.18,48.5,0.23,0.36
46,inf,inf,inf,inf
47,inf,inf,inf,inf
48,inf,inf,inf,inf
50,61.31,62.91,0.45,0.08
51,inf,inf,inf,inf
52,68.55,60.2,0.45,0.08
53,inf,inf,inf,inf
54,inf,inf,inf,inf
55,42.83,40.21,6.84,7.04
56,inf,inf,inf,inf
57,51.52,47.21,2.99,5.3
58,inf,inf,inf,inf
59,inf,inf,inf,inf
63,34.55,26.3,0.11,5.32
64,inf,inf,inf,inf
65,inf,inf,inf,inf
66,64.99,72.72,5.82,5.07
67,70.56,69.75,0.67,5.11
68,inf,inf,inf,inf
70,67.93,62.7,0.21,1.88
71,inf,inf,inf,inf
72,62.04,63.58,0.34,0.32
73,inf,inf,inf,inf
74,69.21,63.86,0.36,0.45
75,inf,inf,inf,inf
76,inf,inf,inf,inf
77,inf,inf,inf,inf
78,inf,inf,inf,inf
79,inf,inf,inf,inf
80,inf,inf,inf,inf
81,55.61,43.45,9.05,14.58
82,52.59,40.42,9.4,4.39
83,42.14,51.71,0.21,3.95
85,inf,inf,inf,inf
88,inf,inf,inf,inf
89,68.02,78.73,3.66,3.38
