,äÓñ{ïœêîÇÃÇ›,+ê›íËâ∑ìx,+ãÛí≤â“ì≠éûä‘,ëSïœêîÇ†ÇË
0,19.45,35.28,26.02,30.17
1,13.39,15.82,15.62,15.81
3,0.79,10.06,21.32,21.34
4,6.52,19.85,5.58,7.19
5,21.75,35.06,12.59,11.71
6,21.88,8.42,4.94,3.06
7,49.18,68.53,42.08,31.88
8,7.73,2.41,3.24,0.31
11,6.43,10.86,3.37,0.38
13,3.43,9.01,2.45,3.71
14,5.55,8.25,2.57,3.25
15,2.07,0.44,0.92,1.77
16,5.03,1.1,2.3,1.95
17,0.24,2.79,4.25,1.34
18,17.93,15.0,5.4,5.41
20,40.24,37.68,0.85,3.63
21,14.61,5.29,40.26,39.35
22,44.93,67.39,44.79,32.96
24,115.64,109.9,43.8,32.8
25,17.1,30.13,15.01,16.16
26,19.61,29.67,14.74,16.1
28,25.67,36.58,21.19,19.05
29,32.21,36.27,10.68,2.99
30,16.98,9.78,13.17,12.52
31,7.47,10.65,15.9,2.81
35,4.79,4.41,3.42,1.64
38,0.38,8.54,0.11,1.91
39,2.71,1.06,1.69,0.26
40,1.65,4.41,4.95,4.19
42,88.51,116.93,24.19,16.57
43,24.94,10.65,7.13,4.06
45,14.07,11.03,17.68,8.65
46,50.65,51.21,42.51,30.08
47,3.49,18.45,0.01,8.02
48,26.81,48.34,15.82,23.63
49,8.85,1.87,9.78,17.61
50,12.76,28.62,23.12,16.58
53,24.06,24.3,0.38,4.01
54,101.18,71.35,24.42,62.84
56,6.09,12.1,3.95,5.95
57,11.22,14.42,4.62,7.14
58,6.64,10.29,1.25,1.59
59,3.39,11.24,5.32,5.14
61,2.18,4.85,2.1,2.05
62,1.59,3.83,0.67,2.97
63,2.36,2.73,0.05,2.2
65,0.13,0.34,2.82,0.59
66,13.47,19.03,7.82,14.85
67,25.23,26.18,12.47,7.29
69,19.1,37.87,30.54,27.3
72,23.98,33.98,4.92,1.46
73,43.66,41.09,23.98,19.64
74,39.23,31.05,22.34,15.6
77,19.06,4.55,11.03,6.61
78,25.4,43.85,9.39,2.13
79,60.8,109.03,22.24,7.41
80,9.61,6.61,8.83,0.32
82,1.53,3.56,6.69,0.01
83,1.45,1.71,7.28,4.17
84,6.51,7.81,6.45,4.37
85,13.64,5.71,12.6,1.29
87,19.67,29.33,11.61,1.47
89,11.2,22.13,4.29,9.74
90,9.75,10.31,20.32,16.08
91,87.56,156.25,18.75,19.12
92,20.61,14.11,17.26,6.94
93,9.35,12.33,1.91,15.7
96,1.55,16.91,5.21,15.95
97,15.35,7.6,7.0,6.71
98,96.14,107.97,15.39,11.74
99,40.69,32.19,32.66,44.58
100,39.74,48.32,8.39,10.51
103,1.7,4.73,11.84,9.11
104,43.8,57.96,15.94,14.84
105,8.67,10.41,3.96,1.28
107,4.49,3.67,3.29,3.43
108,4.2,2.94,5.38,5.36
109,0.8,3.46,1.01,1.79
110,0.34,3.27,0.27,0.6
111,1.97,6.23,3.12,1.76
112,1.89,0.77,8.5,5.28
114,2.23,8.54,2.35,3.29
115,2.08,1.22,10.29,12.37
116,11.98,12.43,26.65,16.35
117,17.83,19.12,0.54,3.07
119,172.22,202.66,37.69,24.68
120,15.12,13.24,4.37,12.41
121,5.32,7.34,12.12,22.53
122,15.52,13.79,16.87,10.94
124,14.44,9.72,36.74,33.58
125,7.45,48.33,14.15,11.98
126,27.76,8.31,8.79,7.38
127,35.22,48.86,6.06,5.85
130,6.02,27.96,11.95,7.93
132,0.78,8.23,7.05,5.06
136,0.44,2.11,0.11,1.27
138,33.88,47.09,29.26,19.99
139,28.25,24.29,3.54,3.96
140,7.77,9.98,4.93,1.51
141,0.1,1.83,19.77,12.36
145,5.97,17.01,7.45,3.16
146,27.92,16.61,20.79,23.23
147,17.53,17.2,16.87,10.01
149,89.0,110.15,18.85,6.12
150,3.45,17.01,3.34,4.71
154,3.11,5.15,2.06,0.66
158,2.25,1.65,3.41,2.49
159,1.58,3.16,2.76,2.0
160,7.91,3.57,2.36,3.39
162,1.97,9.43,4.89,1.79
163,13.56,21.24,14.52,14.4
164,9.39,23.79,11.45,4.57
166,153.86,163.2,29.54,31.8
167,31.82,144.35,4.5,20.6
168,22.2,38.8,4.62,6.91
169,3.28,10.06,10.06,14.01
170,186.81,145.19,46.32,11.18
171,9.97,7.72,18.47,3.42
172,13.79,4.92,14.35,18.68
173,13.98,23.21,13.65,3.35
176,1.77,1.5,14.04,5.11
177,22.68,48.43,0.34,8.28
178,9.82,27.05,3.01,1.7
179,4.69,8.66,1.04,1.47
180,0.62,2.38,0.61,1.22
181,2.4,5.43,5.18,5.48
182,5.15,11.82,1.37,1.35
183,1.83,5.58,8.52,7.48
184,8.87,14.24,7.66,5.98
185,2.06,0.98,2.06,0.15
186,10.66,17.26,8.33,5.48
187,9.57,0.73,7.74,1.3
188,15.25,18.75,12.75,7.41
189,9.31,12.12,11.45,1.97
191,12.98,5.31,12.94,9.89
192,24.63,61.1,88.29,33.3
195,138.55,109.19,31.01,4.74
196,92.03,153.27,36.97,54.86
197,8.62,11.66,20.35,2.57
198,22.38,26.19,30.93,16.85
199,0.96,11.39,5.14,1.79
201,10.17,3.6,9.66,3.28
202,7.54,12.88,7.05,2.83
205,1.28,1.9,2.71,3.96
208,8.88,6.78,3.65,2.13
210,8.95,10.66,2.17,4.2
211,24.81,27.08,2.62,2.48
212,5.68,0.57,9.19,11.22
213,18.06,19.18,27.36,22.22
214,50.68,36.47,29.51,16.31
216,21.41,22.08,14.02,12.82
217,54.2,53.01,37.07,13.25
218,8.37,10.46,0.43,5.1
219,9.48,1.91,10.65,11.08
220,13.92,35.72,0.55,28.52
221,20.18,31.77,0.78,9.48
222,111.22,108.45,23.15,53.56
225,2.39,9.27,7.3,3.03
226,4.47,10.6,1.35,1.98
227,4.94,9.51,5.47,4.21
230,2.46,1.21,8.18,6.63
231,13.18,18.14,1.17,0.96
232,13.74,9.91,0.05,7.13
233,24.34,24.03,6.88,0.58
235,5.6,0.58,5.44,2.64
236,21.57,20.07,6.26,4.99
237,21.16,12.75,7.05,2.65
