,äÓñ{ïœêîÇÃÇ›,+ê›íËâ∑ìx,+ãÛí≤â“ì≠éûä‘,ëSïœêîÇ†ÇË
0,inf,inf,inf,inf
2,inf,inf,inf,inf
3,inf,inf,inf,inf
4,inf,inf,inf,inf
5,inf,inf,inf,inf
7,78.16,68.15,20.18,29.14
9,21.54,21.75,1.1,5.03
11,0.57,15.12,2.09,8.1
12,0.4,7.7,12.63,25.04
14,8.38,20.21,25.1,23.12
15,2.1,12.22,15.53,24.54
17,3.48,5.85,9.34,13.66
18,99.28,61.63,70.49,73.42
19,31.54,36.1,31.48,31.36
20,inf,inf,inf,inf
22,inf,inf,inf,inf
23,inf,inf,inf,inf
24,inf,inf,inf,inf
25,84.96,84.54,4.54,4.69
26,inf,inf,inf,inf
27,inf,inf,inf,inf
28,inf,inf,inf,inf
29,inf,inf,inf,inf
30,82.42,77.77,21.14,32.22
31,inf,inf,inf,inf
32,inf,inf,inf,inf
34,33.44,14.27,41.2,22.88
36,2.45,15.87,1.61,10.79
37,24.92,26.48,34.59,25.99
38,8.03,12.88,12.86,9.48
40,21.73,14.45,34.71,38.09
43,6.34,6.12,6.1,3.42
45,41.03,40.21,68.62,64.8
46,inf,inf,inf,inf
47,inf,inf,inf,inf
48,inf,inf,inf,inf
50,inf,inf,inf,inf
51,87.45,81.51,1.03,4.23
52,inf,inf,inf,inf
54,inf,inf,inf,inf
56,inf,inf,inf,inf
57,31.5,37.43,27.81,31.57
58,32.49,22.24,41.76,31.52
60,21.13,17.86,30.02,24.26
61,10.48,17.6,12.37,13.87
62,30.07,28.02,25.87,25.52
63,35.04,34.48,24.03,27.35
65,18.45,9.92,20.45,5.87
66,117.84,91.71,100.67,115.29
68,inf,inf,inf,inf
71,inf,inf,inf,inf
72,inf,inf,inf,inf
73,inf,inf,inf,inf
75,inf,inf,inf,inf
76,79.81,79.95,0.4,2.79
78,inf,inf,inf,inf
79,inf,inf,inf,inf
80,inf,inf,inf,inf
81,12.06,22.57,21.48,24.49
84,9.25,8.8,15.13,19.61
85,8.6,9.39,12.21,13.53
86,34.47,32.79,27.04,27.63
87,0.7,4.44,0.77,0.1
88,9.99,19.58,13.54,21.06
89,14.64,5.23,13.12,8.12
91,84.49,70.5,126.49,100.8
92,3.86,10.84,79.56,56.94
93,26.56,10.35,61.51,49.74
96,inf,inf,inf,inf
97,inf,inf,inf,inf
98,89.24,84.02,1.54,1.08
100,inf,inf,inf,inf
101,inf,inf,inf,inf
103,inf,inf,inf,inf
106,inf,inf,inf,inf
108,inf,inf,inf,inf
109,16.3,21.64,8.95,15.13
111,26.67,31.9,19.56,19.4
112,31.69,39.93,56.35,63.9
114,23.03,19.58,60.4,60.75
115,72.06,56.17,47.46,49.21
116,inf,inf,inf,inf
118,inf,inf,inf,inf
119,inf,inf,inf,inf
120,inf,inf,inf,inf
121,85.31,84.0,2.48,1.9
122,inf,inf,inf,inf
