,äÓñ{ïœêîÇÃÇ›,+ê›íËâ∑ìx,+ãÛí≤â“ì≠éûä‘,ëSïœêîÇ†ÇË
0,inf,inf,inf,inf
2,92.14,93.63,8.46,0.43
4,inf,inf,inf,inf
10,67.7,68.49,78.76,76.62
14,4.99,3.35,3.77,8.23
18,inf,inf,inf,inf
19,inf,inf,inf,inf
20,inf,inf,inf,inf
21,70.46,87.49,25.1,33.83
22,inf,inf,inf,inf
23,inf,inf,inf,inf
41,80.19,69.59,81.08,64.9
47,104.53,97.36,7.33,1.28
48,inf,inf,inf,inf
50,inf,inf,inf,inf
51,inf,inf,inf,inf
59,3.91,5.15,1.48,1.87
64,49.04,50.35,42.19,41.82
66,inf,inf,inf,inf
96,89.99,91.1,5.41,19.35
98,inf,inf,inf,inf
103,inf,inf,inf,inf
106,8.06,14.36,64.44,30.37
107,inf,inf,inf,inf
111,inf,inf,inf,inf
113,58.88,61.17,31.47,27.91
114,inf,inf,inf,inf
118,inf,inf,inf,inf
119,inf,inf,inf,inf
120,inf,inf,inf,inf
127,inf,inf,inf,inf
128,inf,inf,inf,inf
130,inf,inf,inf,inf
133,inf,inf,inf,inf
134,inf,inf,inf,inf
138,inf,inf,inf,inf
139,inf,inf,inf,inf
144,inf,inf,inf,inf
145,inf,inf,inf,inf
146,87.75,89.1,0.75,24.19
149,inf,inf,inf,inf
154,46.42,31.01,30.19,30.89
157,26.74,30.2,32.62,26.62
161,13.63,12.04,20.2,24.6
162,inf,inf,inf,inf
163,47.2,32.56,99.11,102.84
167,inf,inf,inf,inf
171,88.99,89.01,5.36,27.32
173,inf,inf,inf,inf
178,14.17,15.13,11.83,10.45
181,11.66,15.57,7.6,9.5
189,inf,inf,inf,inf
190,inf,inf,inf,inf
196,inf,inf,inf,inf
201,104.69,143.82,198.24,162.87
202,36.09,30.19,18.41,16.92
209,16.36,31.43,11.4,10.88
211,inf,inf,inf,inf
216,inf,inf,inf,inf
218,91.93,94.47,4.43,10.03
219,inf,inf,inf,inf
220,inf,inf,inf,inf
224,17.68,15.11,6.13,10.2
229,8.79,7.32,5.25,2.45
231,21.72,36.78,24.71,19.93
232,18.45,27.44,11.97,1.61
242,inf,inf,inf,inf
246,inf,inf,inf,inf
248,16.7,6.45,12.21,4.61
253,18.0,16.88,18.38,20.5
255,7.29,2.81,3.79,9.4
257,87.1,87.67,104.3,90.22
258,64.18,81.12,76.83,80.19
259,inf,inf,inf,inf
261,inf,inf,inf,inf
262,inf,inf,inf,inf
263,inf,inf,inf,inf
264,inf,inf,inf,inf
266,inf,inf,inf,inf
271,inf,inf,inf,inf
272,inf,inf,inf,inf
274,inf,inf,inf,inf
275,inf,inf,inf,inf
290,inf,inf,inf,inf
292,inf,inf,inf,inf
302,18.5,26.23,112.47,124.94
304,inf,inf,inf,inf
309,inf,inf,inf,inf
311,inf,inf,inf,inf
312,inf,inf,inf,inf
313,inf,inf,inf,inf
327,21.44,22.44,17.51,18.59
328,23.72,20.48,27.01,19.91
329,4.18,3.67,5.77,5.95
330,inf,inf,inf,inf
332,inf,inf,inf,inf
337,inf,inf,inf,inf
342,inf,inf,inf,inf
343,11.19,15.24,17.43,18.57
344,2.44,10.92,3.75,9.22
346,41.08,20.96,66.49,40.99
348,23.79,21.22,24.21,25.57
354,inf,inf,inf,inf
356,inf,inf,inf,inf
364,inf,inf,inf,inf
367,inf,inf,inf,inf
368,inf,inf,inf,inf
369,17.76,21.83,0.37,6.87
370,121.37,131.7,123.9,98.85
374,10.23,12.91,17.49,22.7
378,inf,inf,inf,inf
380,inf,inf,inf,inf
387,inf,inf,inf,inf
388,inf,inf,inf,inf
390,inf,inf,inf,inf
392,28.11,27.24,22.24,24.4
393,117.25,134.04,146.83,132.98
396,34.22,19.58,25.92,28.55
398,0.23,9.27,10.58,22.71
399,5.99,0.19,1.2,1.14
403,inf,inf,inf,inf
408,inf,inf,inf,inf
409,inf,inf,inf,inf
413,inf,inf,inf,inf
414,inf,inf,inf,inf
415,67.59,66.78,116.49,109.38
416,54.84,35.94,84.11,67.6
419,18.67,18.02,24.79,25.63
421,14.63,21.59,14.34,5.06
422,22.25,25.15,21.91,17.66
423,25.44,24.18,29.54,29.88
428,82.12,83.76,11.07,7.59
436,inf,inf,inf,inf
438,inf,inf,inf,inf
442,inf,inf,inf,inf
444,inf,inf,inf,inf
453,inf,inf,inf,inf
459,inf,inf,inf,inf
466,inf,inf,inf,inf
468,inf,inf,inf,inf
471,inf,inf,inf,inf
474,inf,inf,inf,inf
475,inf,inf,inf,inf
479,inf,inf,inf,inf
480,97.27,88.38,24.71,28.52
486,inf,inf,inf,inf
487,40.97,39.16,22.59,16.79
490,7.85,11.39,19.87,19.68
491,41.52,42.07,37.02,27.46
493,2.45,0.42,2.27,3.68
513,71.99,77.8,109.72,71.62
514,11.18,13.06,15.24,11.87
516,9.95,12.36,1.51,0.08
522,64.84,46.7,92.55,117.94
523,inf,inf,inf,inf
524,inf,inf,inf,inf
527,inf,inf,inf,inf
