,äÓñ{ïœêîÇÃÇ›,+ê›íËâ∑ìx,+ãÛí≤â“ì≠éûä‘,ëSïœêîÇ†ÇË
5,inf,inf,inf,inf
6,inf,inf,inf,inf
17,inf,inf,inf,inf
18,inf,inf,inf,inf
28,inf,inf,inf,inf
30,inf,inf,inf,inf
31,inf,inf,inf,inf
34,inf,inf,inf,inf
35,inf,inf,inf,inf
41,inf,inf,inf,inf
48,inf,inf,inf,inf
50,inf,inf,inf,inf
51,94.05,94.05,0.0,0.0
53,inf,inf,inf,inf
55,inf,inf,inf,inf
56,inf,inf,inf,inf
57,inf,inf,inf,inf
65,inf,inf,inf,inf
66,inf,inf,inf,inf
69,inf,inf,inf,inf
70,inf,inf,inf,inf
71,inf,inf,inf,inf
76,inf,inf,inf,inf
77,inf,inf,inf,inf
82,inf,inf,inf,inf
83,inf,inf,inf,inf
89,inf,inf,inf,inf
95,inf,inf,inf,inf
96,inf,inf,inf,inf
99,inf,inf,inf,inf
103,inf,inf,inf,inf
105,inf,inf,inf,inf
112,inf,inf,inf,inf
114,inf,inf,inf,inf
122,inf,inf,inf,inf
124,inf,inf,inf,inf
135,inf,inf,inf,inf
141,inf,inf,inf,inf
145,inf,inf,inf,inf
146,inf,inf,inf,inf
151,inf,inf,inf,inf
157,inf,inf,inf,inf
167,inf,inf,inf,inf
171,inf,inf,inf,inf
175,inf,inf,inf,inf
179,inf,inf,inf,inf
181,inf,inf,inf,inf
182,95.08,95.08,0.0,0.0
183,inf,inf,inf,inf
185,inf,inf,inf,inf
188,inf,inf,inf,inf
190,inf,inf,inf,inf
201,inf,inf,inf,inf
203,inf,inf,inf,inf
207,inf,inf,inf,inf
209,inf,inf,inf,inf
215,inf,inf,inf,inf
218,inf,inf,inf,inf
219,inf,inf,inf,inf
222,inf,inf,inf,inf
224,inf,inf,inf,inf
231,inf,inf,inf,inf
233,inf,inf,inf,inf
236,inf,inf,inf,inf
239,inf,inf,inf,inf
244,inf,inf,inf,inf
245,inf,inf,inf,inf
246,inf,inf,inf,inf
247,inf,inf,inf,inf
255,inf,inf,inf,inf
260,inf,inf,inf,inf
268,inf,inf,inf,inf
269,inf,inf,inf,inf
270,inf,inf,inf,inf
272,inf,inf,inf,inf
277,inf,inf,inf,inf
278,inf,inf,inf,inf
281,inf,inf,inf,inf
282,inf,inf,inf,inf
283,inf,inf,inf,inf
286,inf,inf,inf,inf
290,inf,inf,inf,inf
291,inf,inf,inf,inf
293,95.43,95.43,0.0,0.0
296,inf,inf,inf,inf
301,inf,inf,inf,inf
305,inf,inf,inf,inf
307,inf,inf,inf,inf
308,inf,inf,inf,inf
313,inf,inf,inf,inf
321,inf,inf,inf,inf
324,inf,inf,inf,inf
326,inf,inf,inf,inf
333,inf,inf,inf,inf
335,inf,inf,inf,inf
339,inf,inf,inf,inf
341,inf,inf,inf,inf
346,inf,inf,inf,inf
347,inf,inf,inf,inf
349,inf,inf,inf,inf
359,94.19,94.19,0.0,0.0
364,inf,inf,inf,inf
365,inf,inf,inf,inf
368,inf,inf,inf,inf
371,inf,inf,inf,inf
372,inf,inf,inf,inf
374,inf,inf,inf,inf
376,inf,inf,inf,inf
377,inf,inf,inf,inf
379,inf,inf,inf,inf
381,94.94,94.94,0.0,0.0
383,inf,inf,inf,inf
384,inf,inf,inf,inf
389,inf,inf,inf,inf
390,inf,inf,inf,inf
391,inf,inf,inf,inf
392,inf,inf,inf,inf
395,inf,inf,inf,inf
401,inf,inf,inf,inf
402,95.31,95.31,0.0,0.0
406,inf,inf,inf,inf
410,inf,inf,inf,inf
413,inf,inf,inf,inf
415,inf,inf,inf,inf
422,inf,inf,inf,inf
426,inf,inf,inf,inf
427,inf,inf,inf,inf
430,inf,inf,inf,inf
432,inf,inf,inf,inf
436,inf,inf,inf,inf
438,inf,inf,inf,inf
439,inf,inf,inf,inf
451,inf,inf,inf,inf
452,inf,inf,inf,inf
456,inf,inf,inf,inf
458,inf,inf,inf,inf
462,inf,inf,inf,inf
464,inf,inf,inf,inf
470,inf,inf,inf,inf
473,inf,inf,inf,inf
474,inf,inf,inf,inf
