,äÓñ{ïœêîÇÃÇ›,+ê›íËâ∑ìx,+ãÛí≤â“ì≠éûä‘,ëSïœêîÇ†ÇË
0,inf,inf,inf,inf
2,inf,inf,inf,inf
3,58.03,61.39,0.19,0.98
4,inf,inf,inf,inf
5,inf,inf,inf,inf
7,46.25,47.28,1.11,3.99
9,3.46,1.77,5.83,3.67
11,inf,inf,inf,inf
12,24.19,16.56,4.2,8.19
14,54.34,33.43,6.74,15.41
15,68.51,42.38,10.49,8.32
17,44.63,60.6,1.68,1.82
18,inf,inf,inf,inf
19,inf,inf,inf,inf
20,inf,inf,inf,inf
22,inf,inf,inf,inf
23,inf,inf,inf,inf
24,inf,inf,inf,inf
25,59.83,61.68,0.21,0.37
26,inf,inf,inf,inf
27,62.14,56.03,0.21,0.37
28,inf,inf,inf,inf
29,62.03,58.11,0.21,0.37
30,25.83,21.38,1.76,1.06
31,11.56,9.67,5.6,7.36
32,1.02,20.37,0.48,5.69
34,54.98,28.63,4.06,6.29
36,47.92,35.55,5.5,11.08
37,22.59,25.0,17.96,19.41
38,61.29,37.67,5.53,5.53
40,31.49,14.67,3.26,3.97
43,inf,inf,inf,inf
45,inf,inf,inf,inf
46,inf,inf,inf,inf
47,62.06,62.25,0.58,0.49
48,58.57,62.63,0.42,0.97
50,inf,inf,inf,inf
51,63.76,65.75,0.12,0.97
52,inf,inf,inf,inf
54,inf,inf,inf,inf
56,39.89,32.16,2.18,7.39
57,46.7,48.65,9.62,5.07
58,50.09,41.67,6.29,12.11
60,82.59,88.29,3.79,0.45
61,21.38,22.43,14.41,17.85
62,24.11,23.38,9.02,7.03
63,35.16,33.24,9.54,4.19
65,inf,inf,inf,inf
66,inf,inf,inf,inf
68,inf,inf,inf,inf
71,inf,inf,inf,inf
72,inf,inf,inf,inf
73,63.12,63.09,1.39,2.69
75,inf,inf,inf,inf
76,inf,inf,inf,inf
78,39.8,45.55,1.02,0.69
79,inf,inf,inf,inf
80,19.12,1.82,2.82,0.96
81,10.9,2.46,4.4,4.01
84,43.72,42.23,2.91,3.15
85,13.94,17.91,4.36,4.89
86,14.19,2.14,3.9,4.46
87,7.0,2.45,3.19,0.87
88,inf,inf,inf,inf
89,inf,inf,inf,inf
91,55.74,61.64,0.71,0.64
92,inf,inf,inf,inf
93,inf,inf,inf,inf
96,inf,inf,inf,inf
97,64.33,61.07,0.91,0.69
98,64.33,57.11,0.91,0.69
100,inf,inf,inf,inf
101,inf,inf,inf,inf
103,inf,inf,inf,inf
106,51.93,31.99,3.46,3.67
108,inf,inf,inf,inf
109,7.05,8.91,1.48,5.79
111,inf,inf,inf,inf
112,58.49,54.98,1.5,2.02
114,63.74,63.36,0.66,0.43
115,inf,inf,inf,inf
116,56.39,58.13,0.58,0.44
118,60.04,60.64,0.58,0.32
119,inf,inf,inf,inf
120,inf,inf,inf,inf
121,56.26,62.7,0.64,0.38
122,inf,inf,inf,inf
