,äÓñ{ïœêîÇÃÇ›,+ê›íËâ∑ìx,+ãÛí≤â“ì≠éûä‘,ëSïœêîÇ†ÇË
0,32.46,24.8,4.75,2.67
1,31.87,27.3,2.14,13.26
2,1.18,6.92,13.09,15.06
3,5.48,21.05,11.42,15.42
4,1.23,2.87,16.94,13.48
7,16.4,10.77,10.77,16.89
8,9.17,4.81,6.98,10.01
9,0.1,0.3,2.31,1.0
10,2.93,0.4,0.26,2.87
11,3.82,2.94,1.75,1.32
12,3.41,2.61,2.58,1.72
13,0.57,0.56,1.13,0.14
14,1.61,2.02,0.43,4.01
15,0.82,2.5,2.13,0.24
16,5.23,0.89,2.3,2.22
19,15.76,9.46,17.04,12.72
20,1.73,6.34,16.67,12.56
21,6.74,8.9,2.98,7.62
22,8.33,14.95,3.22,2.64
23,33.08,20.37,10.18,9.43
24,113.53,102.27,12.83,35.93
25,9.15,19.27,8.88,0.86
26,158.04,105.54,6.8,44.73
27,45.08,32.67,5.8,4.74
29,34.31,49.16,11.37,13.81
32,0.31,1.76,0.14,1.02
33,4.71,0.67,1.81,2.02
36,1.81,0.56,0.53,3.22
37,1.72,1.68,1.36,4.24
38,4.47,1.54,2.95,3.35
39,4.24,1.51,1.8,2.09
40,1.75,2.01,1.99,2.49
42,15.72,5.5,6.87,9.54
43,8.99,4.85,2.04,6.06
44,2.33,10.3,9.19,2.56
45,15.04,7.16,10.3,13.84
46,137.76,140.87,1.3,15.86
47,30.47,32.15,7.42,0.46
49,36.4,20.98,0.7,0.57
52,54.4,34.6,4.02,0.81
54,23.7,26.42,22.97,6.08
58,0.21,1.39,2.2,2.37
59,4.12,1.38,0.01,0.02
60,1.89,0.42,0.89,0.74
61,0.57,0.13,0.71,0.41
62,0.96,0.54,2.12,0.4
63,1.47,0.7,1.54,1.58
64,3.13,2.34,0.67,0.79
67,7.28,1.45,6.96,3.27
68,40.96,18.58,33.55,39.83
72,19.82,23.88,12.88,12.98
73,61.48,21.03,15.06,23.9
74,16.05,25.05,9.93,17.87
75,3.16,6.65,2.14,4.21
78,2.22,10.29,5.57,22.46
79,14.17,0.92,1.79,4.64
80,5.14,0.56,4.46,12.9
81,6.11,1.83,0.45,0.37
84,0.27,0.03,1.26,4.76
85,2.22,1.32,0.63,1.58
86,1.0,0.87,0.4,0.33
87,3.1,1.41,3.12,2.2
88,21.15,7.24,0.4,3.12
90,7.79,6.76,8.6,6.06
91,11.19,7.43,4.71,10.87
92,7.41,9.83,2.18,6.83
93,10.35,0.89,5.09,3.27
94,5.32,2.55,21.24,19.9
97,27.94,21.61,1.82,6.68
98,5.52,1.58,3.99,3.85
100,193.58,113.04,7.52,47.48
101,8.01,10.21,2.46,4.96
102,82.07,45.93,17.04,8.56
104,53.66,20.66,30.21,52.31
106,5.0,2.0,3.51,1.34
107,0.28,2.7,0.15,2.13
108,12.53,7.48,5.77,9.97
109,2.28,1.68,5.27,11.42
110,0.37,1.51,1.6,4.69
111,1.5,1.22,4.17,3.07
113,15.58,2.82,2.45,0.71
115,81.49,45.37,1.15,24.21
116,15.37,29.39,6.56,1.87
117,118.25,82.21,19.53,40.78
118,3.23,0.66,7.45,4.75
119,25.3,22.56,5.79,7.92
120,19.2,18.4,3.87,1.63
121,41.11,29.08,1.57,2.55
123,136.66,41.67,35.91,16.48
125,12.67,12.2,0.68,0.48
126,48.41,38.24,3.64,6.26
127,65.96,43.82,32.56,32.48
128,64.13,79.77,39.85,103.77
129,4.69,14.77,24.35,26.77
130,33.32,9.7,23.15,26.35
131,4.31,0.06,2.44,14.28
132,7.29,0.25,1.26,4.32
133,9.72,11.06,5.93,2.36
134,58.09,50.31,3.48,19.27
136,2.27,11.2,2.29,12.87
137,19.13,5.61,5.69,1.82
138,27.26,13.73,19.16,15.19
139,3.53,0.67,2.94,9.4
140,21.32,4.66,2.19,4.94
142,21.42,14.24,7.6,9.4
143,28.47,27.6,26.54,34.98
144,11.78,0.03,4.5,3.86
147,32.67,22.92,4.96,5.57
148,14.73,1.73,2.18,4.83
149,26.85,39.71,22.68,27.76
150,81.38,71.07,32.08,9.0
152,78.09,57.76,47.05,55.94
153,3.85,1.06,1.19,5.37
154,0.57,0.88,4.37,8.33
155,3.64,1.31,1.24,1.32
156,0.84,0.45,1.23,1.6
158,5.02,2.68,0.72,1.72
159,0.9,0.48,1.47,0.26
160,1.5,3.26,2.21,4.26
161,3.72,0.1,0.92,1.41
162,0.94,11.46,9.2,4.16
163,9.91,13.37,17.33,13.95
164,2.81,10.85,3.72,2.84
165,18.2,9.76,10.18,17.1
166,7.82,7.78,6.47,15.0
168,126.05,93.98,24.34,36.18
169,27.96,14.97,1.62,4.45
170,35.58,22.62,5.2,8.36
172,3.76,16.01,0.48,2.47
173,12.67,5.29,3.39,5.95
174,70.56,58.13,27.16,5.33
176,0.21,1.34,1.26,3.19
177,4.33,0.55,0.69,1.38
178,0.98,0.04,0.16,1.46
180,1.72,0.37,0.05,1.46
184,0.28,0.07,0.23,3.79
186,0.7,2.12,3.07,7.3
187,9.38,9.01,1.25,2.22
189,99.38,59.59,27.7,19.08
191,79.19,42.98,36.34,30.4
192,25.61,15.09,0.01,1.3
193,15.63,18.24,7.06,5.67
194,154.1,159.38,15.63,28.15
195,28.78,18.66,2.72,2.84
196,36.48,34.33,1.39,1.14
197,15.44,19.18,2.16,0.16
198,77.68,39.89,17.06,20.53
199,6.29,5.57,0.02,4.06
200,0.14,0.49,2.84,2.69
202,3.89,2.27,3.7,5.44
204,2.43,1.03,0.11,4.52
205,7.79,2.6,2.71,4.17
206,3.51,2.76,1.78,3.34
208,1.3,2.94,1.08,3.37
210,10.81,6.33,2.62,5.32
211,2.64,4.71,8.24,17.0
212,2.32,3.21,10.06,10.04
213,28.07,22.07,5.56,11.41
214,6.39,19.55,18.84,20.87
216,112.49,91.8,19.15,11.18
217,30.95,36.64,0.61,8.27
220,1.37,5.4,5.87,4.02
221,20.73,22.19,8.7,2.2
223,11.54,3.08,9.73,15.32
225,5.19,3.11,1.75,2.88
226,0.81,1.18,1.19,1.27
227,2.46,1.61,1.51,0.71
228,2.58,1.44,1.63,2.27
229,2.91,0.71,1.2,2.21
230,3.55,1.74,1.77,0.3
232,0.92,0.18,0.2,0.71
234,14.13,4.69,2.74,7.17
235,7.07,1.83,3.62,5.48
237,0.12,0.18,5.33,7.68
238,54.52,30.83,2.79,10.47
240,0.57,12.36,25.61,24.92
241,51.35,53.06,9.88,12.13
242,22.9,16.06,1.14,5.91
243,2.04,7.26,3.69,5.18
248,3.06,4.31,5.55,5.63
249,1.65,0.43,0.38,0.5
250,2.34,2.12,0.2,0.66
251,4.54,0.64,1.09,0.48
252,3.54,1.97,1.26,2.97
253,0.25,0.78,0.54,2.02
254,2.52,2.4,0.12,1.75
256,1.36,0.17,0.74,0.69
257,0.23,0.34,0.26,0.94
258,5.39,9.15,9.47,13.84
259,4.15,3.86,6.96,4.68
261,2.26,2.79,15.38,24.99
262,33.37,43.74,9.28,10.4
263,21.15,6.52,5.38,0.89
264,27.57,30.07,2.57,5.56
265,3.62,2.58,8.1,6.51
266,10.48,1.81,3.37,0.27
267,28.6,26.44,0.29,2.91
271,32.01,22.21,10.11,8.57
273,3.18,1.08,1.65,1.2
274,5.96,3.24,1.04,1.03
275,2.3,1.9,1.4,1.69
276,1.47,0.63,0.28,1.13
279,0.48,1.64,0.27,1.44
280,3.62,1.17,1.66,0.47
284,2.02,0.44,28.16,23.53
285,12.31,3.88,7.03,7.39
287,145.92,143.87,17.51,18.62
288,26.68,22.5,4.22,1.27
289,27.25,15.6,21.11,19.1
292,140.53,89.65,19.56,12.48
294,5.17,8.5,8.28,9.98
295,3.39,1.72,7.75,15.01
297,11.41,5.83,4.83,0.97
298,0.16,0.15,1.39,0.08
299,19.47,7.45,0.62,3.53
300,12.21,4.02,6.2,0.28
302,0.88,3.64,8.3,18.24
303,5.69,1.38,3.0,4.22
304,6.73,0.28,0.3,0.46
306,24.37,12.0,9.0,9.93
309,134.53,123.93,27.27,55.48
310,27.83,19.68,0.64,15.19
311,26.87,21.51,13.52,9.39
312,32.25,10.73,6.99,6.06
314,0.76,12.27,1.44,2.06
315,22.6,12.42,2.94,4.11
316,22.42,13.31,1.16,4.22
317,5.86,8.11,3.23,1.21
318,2.84,5.85,14.34,14.89
319,0.07,8.73,3.5,9.04
320,9.1,3.55,20.33,40.12
322,4.03,2.36,3.6,4.43
323,5.76,2.25,1.44,5.24
325,3.07,2.26,0.84,2.92
