EHP種類,夏期平均室内温度,夏期最高室内温度,夏期最低室内温度
EHP1-1,25.34743852459031,27.82,20.06
EHP1-2,25.98343579234988,28.200000000000003,19.0
EHP1-3,25.70386782786892,27.799999999999997,20.0
EHPK-1,26.132428278688554,29.5,20.433333333333334
EHPK-2,25.604713114754134,29.433333333333337,18.13333333333333
EHPK-3,27.242315573770522,32.8,19.866666666666667
GHEX-1,25.774487704918045,29.666666666666668,17.700000000000003
GHEX-2,25.75928961748641,31.950000000000003,21.95
GHEX-3,25.843545081967235,30.85,21.1
GHEX-4,0.0,0.0,0.0
GHEX-5,27.52252390710394,32.95,21.950000000000003
EHP2-2,25.249986338797935,27.820000000000004,13.7
EHP2-3,25.675375683060146,27.7,18.7
EHP2-5,25.328893442623013,30.75,15.75
EHP2-4,25.60568647541,27.625000000000004,16.25
EHP2-1,26.2589480874318,28.266666666666666,15.433333333333332
EHP2-6,26.044228142076673,28.8,21.0
EHP3-2,24.804221311475523,27.2,17.880000000000003
EHP3-3,24.23235997267765,27.35,17.25
EHP3-5,23.775204918032898,28.2,13.45
EHP3-4,24.898326502732345,27.8,17.45
EHP3-1,24.663262750455512,27.0,9.066666666666666
EHP3-6,24.42780054644824,27.3,19.1
EHP4-2,26.29771174863398,29.22,14.040000000000001
EHP4-3,27.815010245901764,33.3,18.85
EHP4-5,27.364361338797835,31.5,17.9
EHP4-4,27.68165983606567,33.150000000000006,16.95
EHP4-1,26.483367486338953,28.899999999999995,0.0
EHP4-6,26.546550546448227,28.9,19.2
EHP5-2,25.895416666666744,29.580000000000002,17.339999999999996
EHP5-1,25.614330601092973,29.46,14.6
EHP5-3,27.472233606557445,32.8,18.4
EHP6-2,28.59788592896184,35.65,22.880000000000003
EHP6-1,27.835788080601148,35.0375,0.0
EHP6-3,29.58275273224059,37.95,22.35
